CKG|SKP,|SKP|IST|URC|CKG|
CKG|SSH,|SSH|IST|URC|CKG|
CKG|STR,|STR|IST|URC|CKG|
CKG|SVX,|SVX|IST|URC|CKG|
CKG|SYZ,|SYZ|IST|URC|CKG|
CKG|SZG,|SZG|IST|URC|CKG|
CKG|TBZ,|TBZ|IST|URC|CKG|
CKG|TGD,|TGD|IST|URC|CKG|
CKG|TIA,|TIA|IST|URC|CKG|
CKG|TIF,|TIF|IST|URC|CKG|
CKG|TIP,|TIP|IST|URC|CKG|
CKG|TLL,|TLL|IST|URC|CKG|
CKG|TLS,|TLS|IST|URC|CKG|
CKG|TRN,|TRN|IST|URC|CKG|
CKG|TUN,|TUN|IST|URC|CKG|
CKG|TXL,|TXL|IST|URC|CKG|
CKG|UFA,|UFA|IST|URC|CKG|
CKG|VAS,|VAS|SAW|TBS|URC|CKG|
CKG|VCE,|VCE|IST|URC|CKG|
CKG|YNB,|YNB|IST|URC|CKG|
CKG|ZAG,|ZAG|IST|URC|CKG|
CKG|MGQ,|MGQ|JIB|IST|URC|CKG|
CKG|CPT,|CPT|JNB|IST|URC|CKG|
CKG|MBA,|MBA|JRO|IST|URC|CKG|
CKG|NDJ,|NDJ|KAN|IST|URC|CKG|
CKG|CMB,|CMB|MLE|CAN|CKG|
CKG|ADE,|ADE|SAH|IST|URC|CKG|
CKG|ASF,|ASF|SAW|TBS|URC|CKG|
CKG|STW,|STW|SAW|TBS|URC|CKG|
CKG|LFW,|LFW|ABJ|OUA|NIM|IST|URC|CKG|
CKG|CEC,|CEC|SFO|PEK|CKG|
CKG|SMF,|SMF|SFO|PEK|CKG|
CKG|CDR,|CDR|AIA|DEN|YVR|PEK|CKG|
CKG|FMN,|FMN|DEN|YVR|PEK|CKG|
CKG|JST,|JST|IAD|PEK|CKG|
CKG|JHW,|JHW|CLE|YYZ|PEK|CKG|
CKG|SHD,|SHD|IAD|PEK|CKG|
CKG|PTY,|PTY|ORD|PEK|CKG|
CKG|FNA,|FNA|BRU|IST|URC|CKG|
CKG|SXB,|SXB|BRU|IST|URC|CKG|
CKG|ACV,|ACV|SFO|PEK|CKG|
CKG|MGW,|MGW|IAD|PEK|CKG|
CKG|ALB,|ALB|EWR|PEK|CKG|
CKG|AUS,|AUS|DEN|YVR|PEK|CKG|
CKG|BFD,|BFD|CLE|YYZ|PEK|CKG|
CKG|BUF,|BUF|CLE|YYZ|PEK|CKG|
CKG|CHS,|CHS|ORD|PEK|CKG|
CKG|DAY,|DAY|ORD|PEK|CKG|
CKG|DUJ,|DUJ|CLE|YYZ|PEK|CKG|
CKG|ERI,|ERI|CLE|YYZ|PEK|CKG|
CKG|FKL,|FKL|CLE|YYZ|PEK|CKG|
CKG|FNT,|FNT|CLE|YYZ|PEK|CKG|
CKG|GRR,|GRR|ORD|PEK|CKG|
CKG|GSP,|GSP|ORD|PEK|CKG|
CKG|PBI,|PBI|ATL|ORD|PEK|CKG|
CKG|PKB,|PKB|CLE|YYZ|PEK|CKG|
CKG|RIC,|RIC|IAD|PEK|CKG|
CKG|SDF,|SDF|ORD|PEK|CKG|
CKG|GUM,|GUM|HKG|CAN|CKG|
