PSP|LYA,|LYA|KHN|DLC|ICN|SFO|PSP|
PSP|LYG,|LYG|HSN|PEK|SFO|PSP|
PSP|LZH,|LZH|CAN|PVG|SFO|PSP|
PSP|MEL,|MEL|SYD|LAX|PSP|
PSP|MIG,|MIG|CSX|ICN|SFO|PSP|
PSP|MLE,|MLE|CAN|PVG|SFO|PSP|
PSP|MNL,|MNL|GUM|HNL|LAX|PSP|
PSP|MXZ,|MXZ|CAN|PVG|SFO|PSP|
PSP|NAO,|NAO|PEK|SFO|PSP|
PSP|NGB,|NGB|DLC|ICN|SFO|PSP|
PSP|NKG,|NKG|DLC|ICN|SFO|PSP|
PSP|NNY,|NNY|CGO|PEK|SFO|PSP|
PSP|PEN,|PEN|CAN|PVG|SFO|PSP|
PSP|PER,|PER|CAN|PVG|SFO|PSP|
PSP|PNH,|PNH|CAN|PVG|SFO|PSP|
PSP|REP,|REP|CAN|PVG|SFO|PSP|
PSP|RGN,|RGN|CAN|PVG|SFO|PSP|
PSP|SGN,|SGN|HKG|SFO|PSP|
PSP|SHA,|SHA|PEK|SFO|PSP|
PSP|SIN,|SIN|NRT|SFO|PSP|
PSP|SVO,|SVO|URC|PEK|SFO|PSP|
PSP|SYX,|SYX|PVG|SFO|PSP|
PSP|TAO,|TAO|DLC|ICN|SFO|PSP|
PSP|TEN,|TEN|PEK|SFO|PSP|
PSP|TNA,|TNA|DLC|ICN|SFO|PSP|
PSP|TPE,|TPE|SFO|PSP|
PSP|TSN,|TSN|DLC|ICN|SFO|PSP|
PSP|TXN,|TXN|DLC|ICN|SFO|PSP|
PSP|TYN,|TYN|DLC|ICN|SFO|PSP|
PSP|WNZ,|WNZ|CGO|PEK|SFO|PSP|
PSP|WUX,|WUX|CAN|PVG|SFO|PSP|
PSP|XFN,|XFN|CAN|PVG|SFO|PSP|
PSP|XIY,|XIY|PEK|SFO|PSP|
PSP|XUZ,|XUZ|LYG|HSN|PEK|SFO|PSP|
PSP|YIH,|YIH|CKG|PEK|SFO|PSP|
PSP|YIW,|YIW|PEK|SFO|PSP|
PSP|YNT,|YNT|SHE|ICN|SFO|PSP|
PSP|YNZ,|YNZ|DLC|ICN|SFO|PSP|
PSP|YTY,|YTY|DLC|ICN|SFO|PSP|
