SZX|NIM,|NIM|IST|URC|CKG|SZX|
SZX|NJF,|NJF|IST|URC|CKG|SZX|
SZX|NSI,|NSI|IST|URC|CKG|SZX|
SZX|NUE,|NUE|IST|URC|CKG|SZX|
SZX|ODS,|ODS|IST|URC|CKG|SZX|
SZX|ORN,|ORN|IST|URC|CKG|SZX|
SZX|OTP,|OTP|IST|URC|CKG|SZX|
SZX|PRG,|PRG|IST|URC|CKG|SZX|
SZX|PRN,|PRN|IST|URC|CKG|SZX|
SZX|RIX,|RIX|IST|URC|CKG|SZX|
SZX|ROV,|ROV|IST|URC|CKG|SZX|
SZX|RTM,|RTM|IST|URC|CKG|SZX|
SZX|RUH,|RUH|IST|URC|CKG|SZX|
SZX|SAH,|SAH|IST|URC|CKG|SZX|
SZX|SJJ,|SJJ|IST|URC|CKG|SZX|
SZX|SKG,|SKG|IST|URC|CKG|SZX|
SZX|SKP,|SKP|IST|URC|CKG|SZX|
SZX|SSH,|SSH|IST|URC|CKG|SZX|
SZX|STR,|STR|IST|URC|CKG|SZX|
SZX|SVX,|SVX|IST|URC|CKG|SZX|
SZX|SYZ,|SYZ|IST|URC|CKG|SZX|
SZX|SZG,|SZG|IST|URC|CKG|SZX|
SZX|TBZ,|TBZ|IST|URC|CKG|SZX|
SZX|TGD,|TGD|IST|URC|CKG|SZX|
SZX|TIA,|TIA|IST|URC|CKG|SZX|
SZX|TIF,|TIF|IST|URC|CKG|SZX|
SZX|TIP,|TIP|IST|URC|CKG|SZX|
SZX|TLL,|TLL|IST|URC|CKG|SZX|
SZX|TLS,|TLS|IST|URC|CKG|SZX|
SZX|TRN,|TRN|IST|URC|CKG|SZX|
SZX|TUN,|TUN|IST|URC|CKG|SZX|
SZX|TXL,|TXL|IST|URC|CKG|SZX|
SZX|UFA,|UFA|IST|URC|CKG|SZX|
SZX|VAS,|VAS|SAW|TBS|URC|CKG|SZX|
SZX|VCE,|VCE|IST|URC|CKG|SZX|
SZX|YNB,|YNB|IST|URC|CKG|SZX|
SZX|ZAG,|ZAG|IST|URC|CKG|SZX|
SZX|MGQ,|MGQ|JIB|IST|URC|CKG|SZX|
SZX|CPT,|CPT|JNB|IST|URC|CKG|SZX|
SZX|MBA,|MBA|JRO|IST|URC|CKG|SZX|
SZX|NDJ,|NDJ|KAN|IST|URC|CKG|SZX|
