CAN|CHS,|CHS|ORD|PEK|CAN|
CAN|DAY,|DAY|ORD|PEK|CAN|
CAN|DUJ,|DUJ|CLE|YYZ|PEK|CAN|
CAN|ERI,|ERI|CLE|YYZ|PEK|CAN|
CAN|FKL,|FKL|CLE|YYZ|PEK|CAN|
CAN|FNT,|FNT|CLE|YYZ|PEK|CAN|
CAN|GRR,|GRR|ORD|PEK|CAN|
CAN|GSP,|GSP|ORD|PEK|CAN|
CAN|PBI,|PBI|ATL|ORD|PEK|CAN|
CAN|PKB,|PKB|CLE|YYZ|PEK|CAN|
CAN|RIC,|RIC|IAD|PEK|CAN|
CAN|SDF,|SDF|ORD|PEK|CAN|
CAN|GUM,|GUM|HKG|CAN|
CAN|WRL,|WRL|CYS|DEN|YVR|CAN|
CAN|LBL,|CAN|
CAN|ABQ,|ABQ|SEA|ICN|CAN|
CAN|AIA,|AIA|DEN|YVR|CAN|
CAN|ALS,|ALS|DEN|YVR|CAN|
CAN|AMA,|AMA|DEN|YVR|CAN|
CAN|ANC,|ANC|SEA|ICN|CAN|
CAN|ASE,|ASE|DEN|YVR|CAN|
CAN|BFL,|BFL|SFO|PVG|CAN|
CAN|BHM,|BHM|ORD|PEK|CAN|
CAN|BIL,|BIL|DEN|YVR|CAN|
CAN|BIS,|BIS|DEN|YVR|CAN|
CAN|BOI,|BOI|SFO|PVG|CAN|
CAN|BUR,|BUR|SFO|PVG|CAN|
CAN|BZN,|BZN|DEN|YVR|CAN|
CAN|CID,|CID|ORD|PEK|CAN|
CAN|COD,|COD|DEN|YVR|CAN|
CAN|COS,|COS|DEN|YVR|CAN|
CAN|CPR,|CPR|DEN|YVR|CAN|
CAN|CYS,|CYS|DEN|YVR|CAN|
CAN|DIK,|DIK|DEN|YVR|CAN|
CAN|DRO,|DRO|DEN|YVR|CAN|
CAN|DSM,|DSM|ORD|PEK|CAN|
CAN|EGE,|EGE|DEN|YVR|CAN|
CAN|ELP,|ELP|LAS|SFO|PVG|CAN|
CAN|EUG,|EUG|PDX|SEA|ICN|CAN|
CAN|FAR,|FAR|DEN|YVR|CAN|
CAN|FAT,|FAT|SFO|PVG|CAN|
CAN|FCA,|FCA|DEN|YVR|CAN|
CAN|FSD,|FSD|DEN|YVR|CAN|
CAN|GCC,|GCC|DEN|YVR|CAN|
CAN|GEG,|GEG|BOI|SFO|PVG|CAN|
CAN|GJT,|GJT|DEN|YVR|CAN|
CAN|GTF,|GTF|DEN|YVR|CAN|
CAN|GUC,|GUC|DEN|YVR|CAN|
CAN|HDN,|HDN|DEN|YVR|CAN|
CAN|HLN,|HLN|DEN|YVR|CAN|
CAN|HSV,|HSV|ORD|PEK|CAN|
CAN|ICT,|ICT|DEN|YVR|CAN|
CAN|IDA,|IDA|DEN|YVR|CAN|
CAN|ISN,|ISN|DEN|YVR|CAN|
CAN|JAC,|JAC|DEN|YVR|CAN|
