SXM|FUG,|FUG|CAN|PEK|EWR|SXM|
SXM|FUK,|FUK|ICN|JFK|IAD|SXM|
SXM|HAK,|HAK|PEK|EWR|SXM|
SXM|HAN,|HAN|PEK|EWR|SXM|
SXM|HDG,|HDG|CAN|PEK|EWR|SXM|
SXM|HET,|HET|DLC|PEK|EWR|SXM|
SXM|HFE,|HFE|XIY|PEK|EWR|SXM|
SXM|HJJ,|HJJ|CSX|PEK|EWR|SXM|
SXM|HKT,|HKT|KWE|PEK|EWR|SXM|
SXM|HRB,|HRB|PEK|EWR|SXM|
SXM|HZH,|HZH|CAN|PEK|EWR|SXM|
SXM|JIU,|JIU|CAN|PEK|EWR|SXM|
SXM|JJN,|JJN|PEK|EWR|SXM|
SXM|JNG,|JNG|CAN|PEK|EWR|SXM|
SXM|KHN,|KHN|DLC|PEK|EWR|SXM|
SXM|KIX,|KIX|SFO|ORD|SXM|
SXM|KOW,|KOW|PEK|EWR|SXM|
SXM|KTM,|KTM|IST|BHX|EWR|SXM|
SXM|KUL,|KUL|CAN|PEK|EWR|SXM|
SXM|KWE,|KWE|PEK|EWR|SXM|
SXM|KWL,|KWL|PEK|EWR|SXM|
SXM|LHW,|LHW|CGO|PEK|EWR|SXM|
SXM|LYA,|LYA|KHN|DLC|PEK|EWR|SXM|
SXM|LYG,|LYG|HSN|PEK|EWR|SXM|
SXM|LZH,|LZH|CAN|PEK|EWR|SXM|
SXM|MEL,|MEL|SYD|LAX|ORD|SXM|
SXM|MIG,|MIG|CSX|PEK|EWR|SXM|
SXM|MLE,|MLE|IST|BHX|EWR|SXM|
SXM|MNL,|MNL|XMN|PEK|EWR|SXM|
SXM|MXZ,|MXZ|CAN|PEK|EWR|SXM|
SXM|NAO,|NAO|PEK|EWR|SXM|
SXM|NGB,|NGB|PEK|EWR|SXM|
SXM|NKG,|NKG|DLC|PEK|EWR|SXM|
SXM|NNY,|NNY|CGO|PEK|EWR|SXM|
SXM|PEN,|PEN|CAN|PEK|EWR|SXM|
SXM|PER,|PER|CAN|PEK|EWR|SXM|
SXM|PNH,|PNH|CAN|PEK|EWR|SXM|
SXM|REP,|REP|CAN|PEK|EWR|SXM|
SXM|RGN,|RGN|CAN|PEK|EWR|SXM|
SXM|SGN,|SGN|CAN|PEK|EWR|SXM|
SXM|SHA,|SHA|PEK|EWR|SXM|
SXM|SIN,|SIN|CAN|PEK|EWR|SXM|
SXM|SVO,|SVO|URC|TSE|FRA|EWR|SXM|
SXM|SYX,|SYX|PEK|EWR|SXM|
