GDL|NNY,|NNY|CGO|PEK|SFO|GDL|
GDL|PEN,|PEN|CAN|LAX|GDL|
GDL|PER,|PER|CAN|LAX|GDL|
GDL|PNH,|PNH|CAN|LAX|GDL|
GDL|REP,|REP|CAN|LAX|GDL|
GDL|RGN,|RGN|CAN|LAX|GDL|
GDL|SGN,|SGN|HKG|SFO|GDL|
GDL|SHA,|SHA|PEK|SFO|GDL|
GDL|SIN,|SIN|NRT|LAX|GDL|
GDL|SVO,|SVO|URC|PEK|SFO|GDL|
GDL|SYX,|SYX|PVG|LAX|GDL|
GDL|TAO,|TAO|DLC|ICN|SFO|GDL|
GDL|TEN,|TEN|PEK|SFO|GDL|
GDL|TNA,|TNA|DLC|ICN|SFO|GDL|
GDL|TPE,|TPE|SFO|GDL|
GDL|TSN,|TSN|DLC|ICN|SFO|GDL|
GDL|TXN,|TXN|DLC|ICN|SFO|GDL|
GDL|TYN,|TYN|DLC|ICN|SFO|GDL|
GDL|WNZ,|WNZ|CGO|PEK|SFO|GDL|
GDL|WUX,|WUX|CAN|LAX|GDL|
GDL|XFN,|XFN|CAN|LAX|GDL|
GDL|XIY,|XIY|PEK|SFO|GDL|
GDL|XUZ,|XUZ|LYG|HSN|PEK|SFO|GDL|
GDL|YIH,|YIH|CKG|PEK|SFO|GDL|
GDL|YIW,|YIW|PEK|SFO|GDL|
GDL|YNT,|YNT|SHE|ICN|SFO|GDL|
GDL|YNZ,|YNZ|DLC|ICN|SFO|GDL|
GDL|YTY,|YTY|DLC|ICN|SFO|GDL|
GDL|ZHA,|ZHA|CAN|LAX|GDL|
GDL|ZYI,|ZYI|PEK|SFO|GDL|
GDL|BAV,|BAV|SJW|DLC|ICN|SFO|GDL|
GDL|CJU,|CJU|DLC|ICN|SFO|GDL|
GDL|DSN,|DSN|CGO|PEK|SFO|GDL|
GDL|HMI,|HMI|CGO|PEK|SFO|GDL|
GDL|INC,|INC|PEK|SFO|GDL|
GDL|KHH,|KHH|WUH|ICN|SFO|GDL|
GDL|UYN,|UYN|CGO|PEK|SFO|GDL|
GDL|XNN,|XNN|PEK|SFO|GDL|
GDL|ZUH,|ZUH|PVG|LAX|GDL|
GDL|YNJ,|YNJ|ICN|SFO|GDL|
GDL|DAT,|DAT|CIH|PEK|SFO|GDL|
GDL|JHG,|JHG|CKG|PEK|SFO|GDL|
GDL|LJG,|LJG|CKG|PEK|SFO|GDL|
GDL|LXA,|LXA|XIY|PEK|SFO|GDL|
GDL|YCU,|YCU|CSX|ICN|SFO|GDL|
GDL|LZO,|LZO|CSX|ICN|SFO|GDL|
GDL|MDG,|MDG|ICN|SFO|GDL|
GDL|NGO,|NGO|ICN|SFO|GDL|
GDL|TOY,|TOY|DLC|ICN|SFO|GDL|
GDL|MFM,|MFM|HGH|DLC|ICN|SFO|GDL|
GDL|TGO,|TGO|HET|DLC|ICN|SFO|GDL|
GDL|XIL,|XIL|HET|DLC|ICN|SFO|GDL|
GDL|HEK,|HEK|HRB|ICN|SFO|GDL|
GDL|KIJ,|KIJ|HRB|ICN|SFO|GDL|
GDL|LDS,|LDS|HRB|ICN|SFO|GDL|
GDL|OHE,|OHE|HRB|ICN|SFO|GDL|
GDL|HSN,|HSN|PEK|SFO|GDL|
GDL|DLU,|DLU|KMG|PEK|SFO|GDL|
GDL|SYM,|SYM|KMG|PEK|SFO|GDL|
GDL|ZAT,|ZAT|KMG|PEK|SFO|GDL|
GDL|LUN,|LUN|NBO|ZRH|YUL|IAH|GDL|
GDL|AOG,|AOG|PEK|SFO|GDL|
GDL|GMP,|GMP|PEK|SFO|GDL|
GDL|ISB,|ISB|IST|IAH|GDL|
GDL|TAS,|TAS|IST|IAH|GDL|
GDL|WUS,|WUS|PEK|SFO|GDL|
GDL|JMU,|JMU|PVG|LAX|GDL|
GDL|NDG,|NDG|PVG|LAX|GDL|
GDL|JXA,|JXA|SHE|ICN|SFO|GDL|
GDL|PUS,|PUS|SHE|ICN|SFO|GDL|
GDL|BKI,|BKI|SZX|PVG|LAX|GDL|
GDL|AKU,|AKU|URC|PEK|SFO|GDL|
GDL|ALA,|ALA|TSE|FRA|IAH|GDL|
GDL|ASB,|ASB|GYD|FRA|IAH|GDL|
GDL|DNH,|DNH|XIY|PEK|SFO|GDL|
GDL|DYU,|DYU|IST|IAH|GDL|
GDL|FRU,|FRU|IST|IAH|GDL|
GDL|GYD,|GYD|FRA|IAH|GDL|
GDL|HTN,|HTN|URC|PEK|SFO|GDL|
GDL|IKA,|IKA|SAW|VIE|YYZ|IAH|GDL|
GDL|KCA,|KCA|URC|PEK|SFO|GDL|
GDL|KHG,|KHG|URC|PEK|SFO|GDL|
GDL|KRL,|KRL|URC|PEK|SFO|GDL|
GDL|KRY,|KRY|URC|PEK|SFO|GDL|
GDL|LBD,|LBD|URC|PEK|SFO|GDL|
GDL|NLT,|NLT|URC|PEK|SFO|GDL|
GDL|OSS,|OSS|IST|IAH|GDL|
GDL|OVB,|OVB|IST|IAH|GDL|
GDL|TBS,|TBS|SAW|VIE|YYZ|IAH|GDL|
GDL|TCG,|TCG|URC|PEK|SFO|GDL|
GDL|TSE,|TSE|FRA|IAH|GDL|
GDL|YIN,|YIN|URC|PEK|SFO|GDL|
GDL|ENH,|ENH|WUH|ICN|SFO|GDL|
GDL|ENY,|ENY|XIY|PEK|SFO|GDL|
GDL|WXN,|WXN|XIY|PEK|SFO|GDL|
GDL|BLL,|BLL|IST|IAH|GDL|
GDL|ESB,|ESB|VIE|YYZ|IAH|GDL|
GDL|SAW,|SAW|VIE|YYZ|IAH|GDL|
GDL|HAM,|HAM|EWR|IAH|GDL|
GDL|HRE,|HRE|ADD|JED|FRA|IAH|GDL|
GDL|JUB,|JUB|CAI|JFK|IAD|IAH|GDL|
GDL|SSG,|SSG|DLA|BRU|YUL|IAH|GDL|
GDL|BGW,|BGW|ESB|VIE|YYZ|IAH|GDL|
GDL|EBL,|EBL|IST|IAH|GDL|
GDL|VKO,|VKO|IST|IAH|GDL|
GDL|MCT,|MCT|AUH|YYZ|IAH|GDL|
GDL|AYT,|AYT|IST|IAH|GDL|
GDL|SCQ,|SCQ|BIO|IST|IAH|GDL|
GDL|AAL,|AAL|IST|IAH|GDL|
GDL|AOE,|AOE|BRU|YUL|IAH|GDL|
GDL|JNB,|JNB|DKR|IAD|IAH|GDL|
GDL|LBV,|LBV|DLA|BRU|YUL|IAH|GDL|
GDL|ADA,|ADA|SAW|VIE|YYZ|IAH|GDL|
GDL|ADB,|ADB|HAM|EWR|IAH|GDL|
GDL|ADF,|ADF|ESB|VIE|YYZ|IAH|GDL|
GDL|AJI,|AJI|ESB|VIE|YYZ|IAH|GDL|
GDL|BAL,|BAL|ESB|VIE|YYZ|IAH|GDL|
GDL|BJV,|BJV|IST|IAH|GDL|
GDL|CKZ,|CKZ|ESB|VIE|YYZ|IAH|GDL|
GDL|DIY,|DIY|ESB|VIE|YYZ|IAH|GDL|
GDL|ECN,|ECN|IST|IAH|GDL|
GDL|ERC,|ERC|ESB|VIE|YYZ|IAH|GDL|
GDL|ERZ,|ERZ|ESB|VIE|YYZ|IAH|GDL|
GDL|EZS,|EZS|ESB|VIE|YYZ|IAH|GDL|
GDL|GNY,|GNY|ESB|VIE|YYZ|IAH|GDL|
GDL|GZP,|GZP|ESB|VIE|YYZ|IAH|GDL|
GDL|GZT,|GZT|ESB|VIE|YYZ|IAH|GDL|
GDL|HTY,|HTY|SAW|VIE|YYZ|IAH|GDL|
GDL|KCM,|KCM|ESB|VIE|YYZ|IAH|GDL|
GDL|KSY,|KSY|ESB|VIE|YYZ|IAH|GDL|
GDL|MLX,|MLX|ESB|VIE|YYZ|IAH|GDL|
GDL|MQM,|MQM|ESB|VIE|YYZ|IAH|GDL|
GDL|MSR,|MSR|ESB|VIE|YYZ|IAH|GDL|
GDL|TEQ,|TEQ|ESB|VIE|YYZ|IAH|GDL|
GDL|TZX,|TZX|ESB|VIE|YYZ|IAH|GDL|
GDL|VAN,|VAN|ESB|VIE|YYZ|IAH|GDL|
GDL|ULN,|ULN|FRU|IST|IAH|GDL|
GDL|HIJ,|HIJ|ICN|SFO|GDL|
GDL|VVO,|VVO|ICN|SFO|GDL|
GDL|ACC,|ACC|IST|IAH|GDL|
GDL|AER,|AER|IST|IAH|GDL|
GDL|AGP,|AGP|IST|IAH|GDL|
GDL|ALG,|ALG|IST|IAH|GDL|
GDL|AMM,|AMM|IST|IAH|GDL|
GDL|AQJ,|AQJ|IST|IAH|GDL|
GDL|ARN,|ARN|EWR|IAH|GDL|
GDL|ASR,|ASR|SAW|VIE|YYZ|IAH|GDL|
GDL|ATH,|ATH|IST|IAH|GDL|
GDL|BAH,|BAH|IST|IAH|GDL|
GDL|BEG,|BEG|IST|IAH|GDL|
GDL|BEN,|BEN|IST|IAH|GDL|
GDL|BEY,|BEY|IST|IAH|GDL|
GDL|BHX,|BHX|EWR|IAH|GDL|
GDL|BIO,|BIO|IST|IAH|GDL|
GDL|BLQ,|BLQ|IST|IAH|GDL|
GDL|BOM,|BOM|EWR|IAH|GDL|
GDL|BRE,|BRE|IST|IAH|GDL|
GDL|BSL,|BSL|IST|IAH|GDL|
GDL|BSR,|BSR|IST|IAH|GDL|
GDL|BUD,|BUD|IST|IAH|GDL|
GDL|BUS,|BUS|IST|IAH|GDL|
GDL|CAI,|CAI|JFK|IAD|IAH|GDL|
GDL|CGN,|CGN|IST|IAH|GDL|
GDL|CMN,|CMN|IST|IAH|GDL|
GDL|CND,|CND|IST|IAH|GDL|
GDL|DAR,|DAR|NBO|ZRH|YUL|IAH|GDL|
GDL|DLM,|DLM|IST|IAH|GDL|
GDL|DMM,|DMM|IST|IAH|GDL|
GDL|DNK,|DNK|IST|IAH|GDL|
GDL|DNZ,|DNZ|IST|IAH|GDL|
GDL|DOK,|DOK|IST|IAH|GDL|
GDL|DUS,|DUS|ORD|IAH|GDL|
GDL|EDI,|EDI|EWR|IAH|GDL|
GDL|ELQ,|ELQ|IST|IAH|GDL|
GDL|FDH,|FDH|IST|IAH|GDL|
GDL|GOA,|GOA|IST|IAH|GDL|
GDL|GOT,|GOT|BRU|YUL|IAH|GDL|
GDL|HAJ,|HAJ|BRU|YUL|IAH|GDL|
GDL|HBE,|HBE|IST|IAH|GDL|
GDL|HEL,|HEL|IST|IAH|GDL|
GDL|HRG,|HRG|IST|IAH|GDL|
GDL|IFN,|IFN|IST|IAH|GDL|
GDL|ISE,|ISE|IST|IAH|GDL|
GDL|ISU,|ISU|IST|IAH|GDL|
GDL|JIB,|JIB|IST|IAH|GDL|
GDL|JRO,|JRO|IST|IAH|GDL|
GDL|KAN,|KAN|IST|IAH|GDL|
GDL|KBL,|KBL|IST|IAH|GDL|
GDL|KBP,|KBP|IST|IAH|GDL|
GDL|KFS,|KFS|IST|IAH|GDL|
GDL|KHI,|KHI|IST|IAH|GDL|
GDL|KIV,|KIV|IST|IAH|GDL|
GDL|KRT,|KRT|IST|IAH|GDL|
GDL|KSH,|KSH|IST|IAH|GDL|
GDL|KVD,|KVD|IST|IAH|GDL|
GDL|KWI,|KWI|SAW|VIE|YYZ|IAH|GDL|
GDL|KYA,|KYA|IST|IAH|GDL|
GDL|KZN,|KZN|IST|IAH|GDL|
GDL|KZR,|KZR|IST|IAH|GDL|
GDL|LED,|LED|VIE|YYZ|IAH|GDL|
GDL|LEJ,|LEJ|IST|IAH|GDL|
GDL|LGW,|LGW|IST|IAH|GDL|
GDL|LHE,|LHE|IST|IAH|GDL|
GDL|LIS,|LIS|EWR|IAH|GDL|
GDL|LJU,|LJU|IST|IAH|GDL|
GDL|LOS,|LOS|IAH|GDL|
GDL|LUX,|LUX|IST|IAH|GDL|
GDL|LWO,|LWO|IST|IAH|GDL|
GDL|LYS,|LYS|IST|IAH|GDL|
GDL|MAD,|MAD|EWR|IAH|GDL|
GDL|MAN,|MAN|EWR|IAH|GDL|
GDL|MED,|MED|IST|IAH|GDL|
GDL|MHD,|MHD|IST|IAH|GDL|
GDL|MLA,|MLA|IST|IAH|GDL|
GDL|MRS,|MRS|IST|IAH|GDL|
GDL|MSQ,|MSQ|IST|IAH|GDL|
GDL|MXP,|MXP|EWR|IAH|GDL|
GDL|MZH,|MZH|IST|IAH|GDL|
GDL|MZR,|MZR|IST|IAH|GDL|
GDL|NAJ,|NAJ|IST|IAH|GDL|
GDL|NAV,|NAV|IST|IAH|GDL|
GDL|NCE,|NCE|IST|IAH|GDL|
GDL|NIM,|NIM|IST|IAH|GDL|
GDL|NJF,|NJF|IST|IAH|GDL|
GDL|NSI,|NSI|BRU|YUL|IAH|GDL|
GDL|NUE,|NUE|IST|IAH|GDL|
GDL|ODS,|ODS|IST|IAH|GDL|
GDL|ORN,|ORN|IST|IAH|GDL|
GDL|OTP,|OTP|IST|IAH|GDL|
GDL|PRG,|PRG|BRU|YUL|IAH|GDL|
GDL|PRN,|PRN|IST|IAH|GDL|
GDL|RIX,|RIX|IST|IAH|GDL|
GDL|ROV,|ROV|IST|IAH|GDL|
GDL|RTM,|RTM|IST|IAH|GDL|
GDL|RUH,|RUH|IST|IAH|GDL|
GDL|SAH,|SAH|IST|IAH|GDL|
GDL|SJJ,|SJJ|IST|IAH|GDL|
GDL|SKG,|SKG|IST|IAH|GDL|
GDL|SKP,|SKP|IST|IAH|GDL|
GDL|SSH,|SSH|IST|IAH|GDL|
GDL|STR,|STR|EWR|IAH|GDL|
GDL|SVX,|SVX|IST|IAH|GDL|
GDL|SYZ,|SYZ|IST|IAH|GDL|
GDL|SZG,|SZG|IST|IAH|GDL|
GDL|TBZ,|TBZ|IST|IAH|GDL|
GDL|TGD,|TGD|IST|IAH|GDL|
GDL|TIA,|TIA|IST|IAH|GDL|
GDL|TIF,|TIF|IST|IAH|GDL|
GDL|TIP,|TIP|IST|IAH|GDL|
GDL|TLL,|TLL|VNO|CPH|YYZ|IAH|GDL|
GDL|TLS,|TLS|IST|IAH|GDL|
GDL|TRN,|TRN|IST|IAH|GDL|
GDL|TUN,|TUN|IST|IAH|GDL|
GDL|TXL,|TXL|EWR|IAH|GDL|
GDL|UFA,|UFA|IST|IAH|GDL|
GDL|VAS,|VAS|SAW|VIE|YYZ|IAH|GDL|
GDL|VCE,|VCE|IST|IAH|GDL|
GDL|YNB,|YNB|IST|IAH|GDL|
GDL|ZAG,|ZAG|IST|IAH|GDL|
GDL|MGQ,|MGQ|JIB|IST|IAH|GDL|
