PLS|JIU,|JIU|CAN|PEK|EWR|PLS|
PLS|JJN,|JJN|PEK|EWR|PLS|
PLS|JNG,|JNG|CAN|PEK|EWR|PLS|
PLS|KHN,|KHN|DLC|PEK|EWR|PLS|
PLS|KIX,|KIX|DLC|PEK|EWR|PLS|
PLS|KOW,|KOW|PEK|EWR|PLS|
PLS|KTM,|KTM|IST|BHX|EWR|PLS|
PLS|KUL,|KUL|CAN|PEK|EWR|PLS|
PLS|KWE,|KWE|PEK|EWR|PLS|
PLS|KWL,|KWL|PEK|EWR|PLS|
PLS|LHW,|LHW|CGO|PEK|EWR|PLS|
PLS|LYA,|LYA|KHN|DLC|PEK|EWR|PLS|
PLS|LYG,|LYG|HSN|PEK|EWR|PLS|
PLS|LZH,|LZH|CAN|PEK|EWR|PLS|
PLS|MEL,|MEL|SYD|LAX|YYZ|PLS|
PLS|MIG,|MIG|CSX|PEK|EWR|PLS|
PLS|MLE,|MLE|IST|BHX|EWR|PLS|
PLS|MNL,|MNL|XMN|PEK|EWR|PLS|
PLS|MXZ,|MXZ|CAN|PEK|EWR|PLS|
PLS|NAO,|NAO|PEK|EWR|PLS|
PLS|NGB,|NGB|PEK|EWR|PLS|
PLS|NKG,|NKG|DLC|PEK|EWR|PLS|
PLS|NNY,|NNY|CGO|PEK|EWR|PLS|
PLS|PEN,|PEN|CAN|PEK|EWR|PLS|
PLS|PER,|PER|CAN|PEK|EWR|PLS|
PLS|PNH,|PNH|CAN|PEK|EWR|PLS|
PLS|REP,|REP|CAN|PEK|EWR|PLS|
PLS|RGN,|RGN|CAN|PEK|EWR|PLS|
PLS|SGN,|SGN|CAN|PEK|EWR|PLS|
PLS|SHA,|SHA|PEK|EWR|PLS|
PLS|SIN,|SIN|CAN|PEK|EWR|PLS|
PLS|SVO,|SVO|URC|TSE|FRA|EWR|PLS|
PLS|SYX,|SYX|PEK|EWR|PLS|
PLS|TAO,|TAO|DLC|PEK|EWR|PLS|
PLS|TEN,|TEN|PEK|EWR|PLS|
PLS|TNA,|TNA|DLC|PEK|EWR|PLS|
PLS|TPE,|TPE|PVG|YYZ|PLS|
PLS|TSN,|TSN|DLC|PEK|EWR|PLS|
PLS|TXN,|TXN|DLC|PEK|EWR|PLS|
PLS|TYN,|TYN|DAT|CIH|PEK|EWR|PLS|
PLS|WNZ,|WNZ|CGO|PEK|EWR|PLS|
PLS|WUX,|WUX|CAN|PEK|EWR|PLS|
PLS|XFN,|XFN|XMN|PEK|EWR|PLS|
PLS|XIY,|XIY|PEK|EWR|PLS|
PLS|XUZ,|XUZ|LYG|HSN|PEK|EWR|PLS|
PLS|YIH,|YIH|CKG|PEK|EWR|PLS|
PLS|YIW,|YIW|PEK|EWR|PLS|
PLS|YNT,|YNT|SHE|PEK|EWR|PLS|
PLS|YNZ,|YNZ|DLC|PEK|EWR|PLS|
PLS|YTY,|YTY|DLC|PEK|EWR|PLS|
PLS|ZHA,|ZHA|CAN|PEK|EWR|PLS|
PLS|ZYI,|ZYI|PEK|EWR|PLS|
PLS|BAV,|BAV|CGO|PEK|EWR|PLS|
PLS|CJU,|CJU|DLC|PEK|EWR|PLS|
PLS|DSN,|DSN|CGO|PEK|EWR|PLS|
PLS|HMI,|HMI|URC|TSE|FRA|EWR|PLS|
PLS|INC,|INC|PEK|EWR|PLS|
PLS|KHH,|KHH|CGO|PEK|EWR|PLS|
PLS|UYN,|UYN|CGO|PEK|EWR|PLS|
PLS|XNN,|XNN|PEK|EWR|PLS|
PLS|ZUH,|ZUH|PEK|EWR|PLS|
PLS|YNJ,|YNJ|PEK|EWR|PLS|
PLS|DAT,|DAT|CIH|PEK|EWR|PLS|
PLS|JHG,|JHG|CKG|PEK|EWR|PLS|
PLS|LJG,|LJG|CKG|PEK|EWR|PLS|
PLS|LXA,|LXA|XIY|PEK|EWR|PLS|
PLS|YCU,|YCU|CSX|PEK|EWR|PLS|
PLS|LZO,|LZO|CSX|PEK|EWR|PLS|
PLS|MDG,|MDG|DLC|PEK|EWR|PLS|
PLS|NGO,|NGO|ICN|JFK|IAD|EWR|PLS|
PLS|TOY,|TOY|DLC|PEK|EWR|PLS|
PLS|MFM,|MFM|XMN|PEK|EWR|PLS|
PLS|TGO,|TGO|HET|DLC|PEK|EWR|PLS|
PLS|XIL,|XIL|HET|DLC|PEK|EWR|PLS|
PLS|HEK,|HEK|HRB|PEK|EWR|PLS|
PLS|KIJ,|KIJ|HRB|PEK|EWR|PLS|
PLS|LDS,|LDS|HRB|PEK|EWR|PLS|
PLS|OHE,|OHE|HRB|PEK|EWR|PLS|
