SAT|BKI,|BKI|SZX|PVG|YVR|DEN|SAT|
SAT|AKU,|AKU|URC|PEK|YVR|DEN|SAT|
SAT|ALA,|ALA|TSE|FRA|ORD|SAT|
SAT|ASB,|ASB|GYD|FRA|ORD|SAT|
SAT|DNH,|DNH|XIY|PEK|YVR|DEN|SAT|
SAT|DYU,|DYU|IST|ORD|SAT|
SAT|FRU,|FRU|IST|ORD|SAT|
SAT|GYD,|GYD|FRA|ORD|SAT|
SAT|HTN,|HTN|URC|PEK|YVR|DEN|SAT|
SAT|IKA,|IKA|SAW|VIE|ORD|SAT|
SAT|KCA,|KCA|URC|PEK|YVR|DEN|SAT|
SAT|KHG,|KHG|URC|PEK|YVR|DEN|SAT|
SAT|KRL,|KRL|URC|PEK|YVR|DEN|SAT|
SAT|KRY,|KRY|URC|PEK|YVR|DEN|SAT|
SAT|LBD,|LBD|URC|PEK|YVR|DEN|SAT|
SAT|NLT,|NLT|URC|PEK|YVR|DEN|SAT|
SAT|OSS,|OSS|IST|ORD|SAT|
SAT|OVB,|OVB|IST|ORD|SAT|
SAT|TBS,|TBS|SAW|VIE|ORD|SAT|
SAT|TCG,|TCG|URC|PEK|YVR|DEN|SAT|
SAT|TSE,|TSE|FRA|ORD|SAT|
SAT|YIN,|YIN|URC|PEK|YVR|DEN|SAT|
SAT|ENH,|ENH|WUH|ICN|YVR|DEN|SAT|
SAT|ENY,|ENY|XIY|PEK|YVR|DEN|SAT|
SAT|WXN,|WXN|XIY|PEK|YVR|DEN|SAT|
SAT|BLL,|BLL|IST|ORD|SAT|
SAT|ESB,|ESB|VIE|ORD|SAT|
SAT|SAW,|SAW|VIE|ORD|SAT|
SAT|HAM,|HAM|EWR|SAT|
SAT|HRE,|HRE|ADD|IST|ORD|SAT|
SAT|JUB,|JUB|CAI|JFK|IAD|SAT|
SAT|SSG,|SSG|DLA|BRU|ORD|SAT|
SAT|BGW,|BGW|ESB|VIE|ORD|SAT|
SAT|EBL,|EBL|IST|ORD|SAT|
SAT|VKO,|VKO|IST|ORD|SAT|
SAT|MCT,|MCT|AUH|YYZ|STL|SAT|
SAT|AYT,|AYT|IST|ORD|SAT|
SAT|SCQ,|SCQ|BIO|IST|ORD|SAT|
SAT|AAL,|AAL|IST|ORD|SAT|
SAT|AOE,|AOE|BRU|ORD|SAT|
SAT|JNB,|JNB|DKR|IAD|SAT|
SAT|LBV,|LBV|DLA|BRU|ORD|SAT|
SAT|ADA,|ADA|IST|ORD|SAT|
SAT|ADB,|ADB|HAM|EWR|SAT|
SAT|ADF,|ADF|ESB|VIE|ORD|SAT|
SAT|AJI,|AJI|ESB|VIE|ORD|SAT|
SAT|BAL,|BAL|ESB|VIE|ORD|SAT|
SAT|BJV,|BJV|IST|ORD|SAT|
SAT|CKZ,|CKZ|ESB|VIE|ORD|SAT|
SAT|DIY,|DIY|ESB|VIE|ORD|SAT|
SAT|ECN,|ECN|IST|ORD|SAT|
SAT|ERC,|ERC|ESB|VIE|ORD|SAT|
SAT|ERZ,|ERZ|ESB|VIE|ORD|SAT|
SAT|EZS,|EZS|ESB|VIE|ORD|SAT|
SAT|GNY,|GNY|ESB|VIE|ORD|SAT|
SAT|GZP,|GZP|ESB|VIE|ORD|SAT|
SAT|GZT,|GZT|ESB|VIE|ORD|SAT|
SAT|HTY,|HTY|IST|ORD|SAT|
SAT|KCM,|KCM|ESB|VIE|ORD|SAT|
SAT|KSY,|KSY|ESB|VIE|ORD|SAT|
SAT|MLX,|MLX|ESB|VIE|ORD|SAT|
SAT|MQM,|MQM|ESB|VIE|ORD|SAT|
SAT|MSR,|MSR|ESB|VIE|ORD|SAT|
SAT|TEQ,|TEQ|ESB|VIE|ORD|SAT|
SAT|TZX,|TZX|ESB|VIE|ORD|SAT|
SAT|VAN,|VAN|ESB|VIE|ORD|SAT|
SAT|ULN,|ULN|FRU|IST|ORD|SAT|
SAT|HIJ,|HIJ|ICN|YVR|DEN|SAT|
SAT|VVO,|VVO|ICN|YVR|DEN|SAT|
SAT|ACC,|ACC|IST|ORD|SAT|
SAT|AER,|AER|IST|ORD|SAT|
SAT|AGP,|AGP|IST|ORD|SAT|
SAT|ALG,|ALG|IST|ORD|SAT|
SAT|AMM,|AMM|IST|ORD|SAT|
SAT|AQJ,|AQJ|IST|ORD|SAT|
SAT|ARN,|ARN|EWR|SAT|
SAT|ASR,|ASR|SAW|VIE|ORD|SAT|
SAT|ATH,|ATH|IST|ORD|SAT|
SAT|BAH,|BAH|IST|ORD|SAT|
