SDJ|SJO,|SJO|IAH|HNL|GUM|SDJ|
SDJ|STL,|STL|SFO|HNL|GUM|SDJ|
SDJ|SYR,|SYR|YYZ|NRT|GUM|SDJ|
SDJ|TLV,|TLV|IST|ICN|FUK|GUM|SDJ|
SDJ|TPA,|TPA|IAH|HNL|GUM|SDJ|
SDJ|UVF,|UVF|EWR|NRT|GUM|SDJ|
SDJ|VIE,|VIE|IST|ICN|FUK|GUM|SDJ|
SDJ|YAM,|YAM|YYZ|NRT|GUM|SDJ|
SDJ|YGK,|YGK|YYZ|NRT|GUM|SDJ|
SDJ|YQG,|YQG|YYC|NRT|GUM|SDJ|
SDJ|YSB,|YSB|YYZ|NRT|GUM|SDJ|
SDJ|YTS,|YTS|YYZ|NRT|GUM|SDJ|
SDJ|YYB,|YYB|YYZ|NRT|GUM|SDJ|
SDJ|YZR,|YZR|YYZ|NRT|GUM|SDJ|
SDJ|CAN,|CAN|HKG|GUM|SDJ|
SDJ|URC,|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|CTU,|CTU|CAN|HKG|GUM|SDJ|
SDJ|HGH,|HGH|XMN|MNL|GUM|SDJ|
SDJ|XMN,|XMN|MNL|GUM|SDJ|
SDJ|CGO,|CGO|ICN|FUK|GUM|SDJ|
SDJ|CSX,|CSX|CAN|HKG|GUM|SDJ|
SDJ|SHE,|SHE|FUK|GUM|SDJ|
SDJ|SJW,|SJW|DLC|ICN|FUK|GUM|SDJ|
SDJ|WUH,|WUH|HKG|GUM|SDJ|
SDJ|SZX,|SZX|MXZ|HKG|GUM|SDJ|
SDJ|CKG,|CKG|CAN|HKG|GUM|SDJ|
SDJ|KMG,|KMG|CAN|HKG|GUM|SDJ|
SDJ|FOC,|FOC|CAN|HKG|GUM|SDJ|
SDJ|NNG,|NNG|CAN|HKG|GUM|SDJ|
SDJ|SWA,|SWA|HKG|GUM|SDJ|
SDJ|ACX,|ACX|CAN|HKG|GUM|SDJ|
SDJ|AQG,|AQG|CAN|HKG|GUM|SDJ|
SDJ|AVA,|AVA|CAN|HKG|GUM|SDJ|
SDJ|BFJ,|BFJ|CAN|HKG|GUM|SDJ|
SDJ|BHY,|BHY|CAN|HKG|GUM|SDJ|
SDJ|BNE,|BNE|CAN|HKG|GUM|SDJ|
SDJ|CGD,|CGD|CAN|HKG|GUM|SDJ|
SDJ|CGK,|CGK|SIN|HKG|GUM|SDJ|
SDJ|CGQ,|CGQ|ICN|FUK|GUM|SDJ|
