YSJ|KSY,|KSY|IST|LHR|YHZ|YSJ|
YSJ|MLX,|MLX|IST|LHR|YHZ|YSJ|
YSJ|MQM,|MQM|IST|LHR|YHZ|YSJ|
YSJ|MSR,|MSR|IST|LHR|YHZ|YSJ|
YSJ|TEQ,|TEQ|ESB|IST|LHR|YHZ|YSJ|
YSJ|TZX,|TZX|IST|LHR|YHZ|YSJ|
YSJ|VAN,|VAN|IST|LHR|YHZ|YSJ|
YSJ|ULN,|ULN|FRU|IST|LHR|YHZ|YSJ|
YSJ|HIJ,|HIJ|ICN|JFK|YUL|YSJ|
YSJ|VVO,|VVO|ICN|JFK|YUL|YSJ|
YSJ|ACC,|ACC|IST|LHR|YHZ|YSJ|
YSJ|AER,|AER|IST|LHR|YHZ|YSJ|
YSJ|AGP,|AGP|IST|LHR|YHZ|YSJ|
YSJ|ALG,|ALG|IST|LHR|YHZ|YSJ|
YSJ|AMM,|AMM|IST|LHR|YHZ|YSJ|
YSJ|AQJ,|AQJ|IST|LHR|YHZ|YSJ|
YSJ|ARN,|ARN|EWR|YUL|YSJ|
YSJ|ASR,|ASR|IST|LHR|YHZ|YSJ|
YSJ|ATH,|ATH|IST|LHR|YHZ|YSJ|
YSJ|BAH,|BAH|IST|LHR|YHZ|YSJ|
YSJ|BEG,|BEG|IST|LHR|YHZ|YSJ|
YSJ|BEN,|BEN|IST|LHR|YHZ|YSJ|
YSJ|BEY,|BEY|IST|LHR|YHZ|YSJ|
YSJ|BHX,|BHX|EWR|YUL|YSJ|
YSJ|BIO,|BIO|IST|LHR|YHZ|YSJ|
YSJ|BLQ,|BLQ|IST|LHR|YHZ|YSJ|
YSJ|BOM,|BOM|IST|LHR|YHZ|YSJ|
YSJ|BRE,|BRE|IST|LHR|YHZ|YSJ|
YSJ|BSL,|BSL|IST|LHR|YHZ|YSJ|
YSJ|BSR,|BSR|IST|LHR|YHZ|YSJ|
YSJ|BUD,|BUD|IST|LHR|YHZ|YSJ|
YSJ|BUS,|BUS|IST|LHR|YHZ|YSJ|
YSJ|CAI,|CAI|IST|LHR|YHZ|YSJ|
YSJ|CGN,|CGN|IST|LHR|YHZ|YSJ|
YSJ|CMN,|CMN|IST|LHR|YHZ|YSJ|
YSJ|CND,|CND|IST|LHR|YHZ|YSJ|
YSJ|DAR,|DAR|IST|LHR|YHZ|YSJ|
YSJ|DLM,|DLM|IST|LHR|YHZ|YSJ|
YSJ|DMM,|DMM|IST|LHR|YHZ|YSJ|
YSJ|DNK,|DNK|IST|LHR|YHZ|YSJ|
YSJ|DNZ,|DNZ|IST|LHR|YHZ|YSJ|
YSJ|DOK,|DOK|IST|LHR|YHZ|YSJ|
YSJ|DUS,|DUS|EWR|YUL|YSJ|
YSJ|EDI,|EDI|EWR|YUL|YSJ|
YSJ|ELQ,|ELQ|IST|LHR|YHZ|YSJ|
YSJ|FDH,|FDH|IST|LHR|YHZ|YSJ|
YSJ|GOA,|GOA|IST|LHR|YHZ|YSJ|
YSJ|GOT,|GOT|BRU|YUL|YSJ|
YSJ|HAJ,|HAJ|BRU|YUL|YSJ|
YSJ|HBE,|HBE|IST|LHR|YHZ|YSJ|
YSJ|HEL,|HEL|IST|LHR|YHZ|YSJ|
YSJ|HRG,|HRG|IST|LHR|YHZ|YSJ|
YSJ|IFN,|IFN|IST|LHR|YHZ|YSJ|
YSJ|ISE,|ISE|IST|LHR|YHZ|YSJ|
YSJ|ISU,|ISU|IST|LHR|YHZ|YSJ|
YSJ|JIB,|JIB|IST|LHR|YHZ|YSJ|
YSJ|JRO,|JRO|IST|LHR|YHZ|YSJ|
YSJ|KAN,|KAN|IST|LHR|YHZ|YSJ|
YSJ|KBL,|KBL|IST|LHR|YHZ|YSJ|
YSJ|KBP,|KBP|IST|LHR|YHZ|YSJ|
YSJ|KFS,|KFS|IST|LHR|YHZ|YSJ|
YSJ|KHI,|KHI|IST|LHR|YHZ|YSJ|
YSJ|KIV,|KIV|IST|LHR|YHZ|YSJ|
YSJ|KRT,|KRT|IST|LHR|YHZ|YSJ|
YSJ|KSH,|KSH|IST|LHR|YHZ|YSJ|
YSJ|KVD,|KVD|IST|LHR|YHZ|YSJ|
YSJ|KWI,|KWI|IST|LHR|YHZ|YSJ|
YSJ|KYA,|KYA|IST|LHR|YHZ|YSJ|
YSJ|KZN,|KZN|IST|LHR|YHZ|YSJ|
YSJ|KZR,|KZR|IST|LHR|YHZ|YSJ|
YSJ|LED,|LED|IST|LHR|YHZ|YSJ|
YSJ|LEJ,|LEJ|IST|LHR|YHZ|YSJ|
YSJ|LGW,|LGW|IST|LHR|YHZ|YSJ|
YSJ|LHE,|LHE|IST|LHR|YHZ|YSJ|
YSJ|LIS,|LIS|EWR|YUL|YSJ|
YSJ|LJU,|LJU|IST|LHR|YHZ|YSJ|
YSJ|LOS,|LOS|FRA|YUL|YSJ|
YSJ|LUX,|LUX|IST|LHR|YHZ|YSJ|
YSJ|LWO,|LWO|IST|LHR|YHZ|YSJ|
YSJ|LYS,|LYS|IST|LHR|YHZ|YSJ|
