MEM|KCA,|KCA|URC|TSE|FRA|EWR|MEM|
MEM|KHG,|KHG|URC|TSE|FRA|EWR|MEM|
MEM|KRL,|KRL|URC|TSE|FRA|EWR|MEM|
MEM|KRY,|KRY|URC|TSE|FRA|EWR|MEM|
MEM|LBD,|LBD|URC|TSE|FRA|EWR|MEM|
MEM|NLT,|NLT|URC|TSE|FRA|EWR|MEM|
MEM|OSS,|OSS|IST|BHX|EWR|MEM|
MEM|OVB,|OVB|IST|BHX|EWR|MEM|
MEM|TBS,|TBS|SAW|FRA|EWR|MEM|
MEM|TCG,|TCG|URC|TSE|FRA|EWR|MEM|
MEM|TSE,|TSE|FRA|EWR|MEM|
MEM|YIN,|YIN|URC|TSE|FRA|EWR|MEM|
MEM|ENH,|ENH|WUH|PEK|ORD|MEM|
MEM|ENY,|ENY|XIY|PEK|ORD|MEM|
MEM|WXN,|WXN|XIY|PEK|ORD|MEM|
MEM|BLL,|BLL|IST|BHX|EWR|MEM|
MEM|ESB,|ESB|FRA|EWR|MEM|
MEM|SAW,|SAW|FRA|EWR|MEM|
MEM|HAM,|HAM|EWR|MEM|
MEM|HRE,|HRE|ADD|JED|FRA|EWR|MEM|
MEM|JUB,|JUB|CAI|IST|BHX|EWR|MEM|
MEM|SSG,|SSG|DLA|BRU|EWR|MEM|
MEM|BGW,|BGW|ESB|FRA|EWR|MEM|
MEM|EBL,|EBL|IST|BHX|EWR|MEM|
MEM|VKO,|VKO|IST|BHX|EWR|MEM|
MEM|MCT,|MCT|IST|BHX|EWR|MEM|
MEM|AYT,|AYT|IST|BHX|EWR|MEM|
MEM|SCQ,|SCQ|BIO|IST|BHX|EWR|MEM|
MEM|AAL,|AAL|IST|BHX|EWR|MEM|
MEM|AOE,|AOE|BRU|EWR|MEM|
MEM|JNB,|JNB|DKR|IAD|MDW|MEM|
MEM|LBV,|LBV|DLA|BRU|EWR|MEM|
MEM|ADA,|ADA|SAW|FRA|EWR|MEM|
MEM|ADB,|ADB|HAM|EWR|MEM|
MEM|ADF,|ADF|ESB|FRA|EWR|MEM|
MEM|AJI,|AJI|ESB|FRA|EWR|MEM|
MEM|BAL,|BAL|ESB|FRA|EWR|MEM|
MEM|BJV,|BJV|IST|BHX|EWR|MEM|
MEM|CKZ,|CKZ|ESB|FRA|EWR|MEM|
MEM|DIY,|DIY|ESB|FRA|EWR|MEM|
MEM|ECN,|ECN|IST|BHX|EWR|MEM|
MEM|ERC,|ERC|ESB|FRA|EWR|MEM|
MEM|ERZ,|ERZ|ESB|FRA|EWR|MEM|
MEM|EZS,|EZS|ESB|FRA|EWR|MEM|
MEM|GNY,|GNY|ESB|FRA|EWR|MEM|
MEM|GZP,|GZP|ESB|FRA|EWR|MEM|
MEM|GZT,|GZT|ESB|FRA|EWR|MEM|
MEM|HTY,|HTY|SAW|FRA|EWR|MEM|
MEM|KCM,|KCM|ESB|FRA|EWR|MEM|
MEM|KSY,|KSY|ESB|FRA|EWR|MEM|
MEM|MLX,|MLX|ESB|FRA|EWR|MEM|
MEM|MQM,|MQM|ESB|FRA|EWR|MEM|
MEM|MSR,|MSR|ESB|FRA|EWR|MEM|
MEM|TEQ,|TEQ|ESB|FRA|EWR|MEM|
MEM|TZX,|TZX|ESB|FRA|EWR|MEM|
MEM|VAN,|VAN|ESB|FRA|EWR|MEM|
MEM|ULN,|ULN|FRU|IST|BHX|EWR|MEM|
MEM|HIJ,|HIJ|ICN|YVR|DEN|MEM|
MEM|VVO,|VVO|ICN|YVR|DEN|MEM|
MEM|ACC,|ACC|IST|BHX|EWR|MEM|
MEM|AER,|AER|IST|BHX|EWR|MEM|
MEM|AGP,|AGP|IST|BHX|EWR|MEM|
MEM|ALG,|ALG|IST|BHX|EWR|MEM|
MEM|AMM,|AMM|IST|BHX|EWR|MEM|
MEM|AQJ,|AQJ|IST|BHX|EWR|MEM|
MEM|ARN,|ARN|EWR|MEM|
MEM|ASR,|ASR|SAW|FRA|EWR|MEM|
MEM|ATH,|ATH|IST|BHX|EWR|MEM|
MEM|BAH,|BAH|IST|BHX|EWR|MEM|
MEM|BEG,|BEG|IST|BHX|EWR|MEM|
MEM|BEN,|BEN|IST|BHX|EWR|MEM|
MEM|BEY,|BEY|IST|BHX|EWR|MEM|
MEM|BHX,|BHX|EWR|MEM|
MEM|BIO,|BIO|IST|BHX|EWR|MEM|
MEM|BLQ,|BLQ|IST|BHX|EWR|MEM|
MEM|BOM,|BOM|EWR|MEM|
MEM|BRE,|BRE|IST|BHX|EWR|MEM|
MEM|BSL,|BSL|IST|BHX|EWR|MEM|
MEM|BSR,|BSR|IST|BHX|EWR|MEM|
MEM|BUD,|BUD|IST|BHX|EWR|MEM|
MEM|BUS,|BUS|IST|BHX|EWR|MEM|
MEM|CAI,|CAI|IST|BHX|EWR|MEM|
MEM|CGN,|CGN|IST|BHX|EWR|MEM|
MEM|CMN,|CMN|IST|BHX|EWR|MEM|
MEM|CND,|CND|IST|BHX|EWR|MEM|
MEM|DAR,|DAR|NBO|ZRH|EWR|MEM|
MEM|DLM,|DLM|IST|BHX|EWR|MEM|
MEM|DMM,|DMM|IST|BHX|EWR|MEM|
MEM|DNK,|DNK|IST|BHX|EWR|MEM|
MEM|DNZ,|DNZ|IST|BHX|EWR|MEM|
MEM|DOK,|DOK|IST|BHX|EWR|MEM|
