ISU|YNJ,|YNJ|PEK|IST|ISU|
ISU|DAT,|DAT|TYN|URC|IST|ISU|
ISU|JHG,|JHG|KMG|CTU|URC|IST|ISU|
ISU|LJG,|LJG|KMG|CTU|URC|IST|ISU|
ISU|LXA,|LXA|CKG|URC|IST|ISU|
ISU|YCU,|YCU|CKG|URC|IST|ISU|
ISU|LZO,|LZO|CSX|URC|IST|ISU|
ISU|MDG,|MDG|DLC|PEK|IST|ISU|
ISU|NGO,|NGO|ICN|IST|ISU|
ISU|TOY,|TOY|DLC|PEK|IST|ISU|
ISU|MFM,|MFM|XMN|CSX|URC|IST|ISU|
ISU|TGO,|TGO|HET|URC|IST|ISU|
ISU|XIL,|XIL|HET|URC|IST|ISU|
ISU|HEK,|HEK|HRB|PEK|IST|ISU|
ISU|KIJ,|KIJ|HRB|PEK|IST|ISU|
ISU|LDS,|LDS|HRB|PEK|IST|ISU|
ISU|OHE,|OHE|HRB|PEK|IST|ISU|
ISU|HSN,|HSN|LYG|XUZ|INC|URC|IST|ISU|
ISU|DLU,|DLU|KMG|CTU|URC|IST|ISU|
ISU|SYM,|SYM|KMG|CTU|URC|IST|ISU|
ISU|ZAT,|ZAT|KMG|CTU|URC|IST|ISU|
ISU|LUN,|LUN|NBO|IST|ISU|
ISU|AOG,|AOG|PEK|IST|ISU|
ISU|GMP,|GMP|PEK|IST|ISU|
ISU|ISB,|ISB|IST|ISU|
ISU|TAS,|TAS|IST|ISU|
ISU|WUS,|WUS|PEK|IST|ISU|
ISU|JMU,|JMU|PVG|IST|ISU|
ISU|NDG,|NDG|PVG|IST|ISU|
ISU|JXA,|JXA|SHE|PEK|IST|ISU|
ISU|PUS,|PUS|SHE|PEK|IST|ISU|
ISU|BKI,|BKI|SZX|CKG|URC|IST|ISU|
ISU|AKU,|AKU|URC|IST|ISU|
ISU|ALA,|ALA|IST|ISU|
ISU|ASB,|ASB|IST|ISU|
ISU|DNH,|DNH|URC|IST|ISU|
ISU|DYU,|DYU|IST|ISU|
ISU|FRU,|FRU|IST|ISU|
ISU|GYD,|GYD|IST|ISU|
ISU|HTN,|HTN|URC|IST|ISU|
ISU|IKA,|IKA|IST|ISU|
ISU|KCA,|KCA|URC|IST|ISU|
ISU|KHG,|KHG|URC|IST|ISU|
ISU|KRL,|KRL|URC|IST|ISU|
ISU|KRY,|KRY|URC|IST|ISU|
ISU|LBD,|LBD|URC|IST|ISU|
ISU|NLT,|NLT|URC|IST|ISU|
ISU|OSS,|OSS|IST|ISU|
ISU|OVB,|OVB|IST|ISU|
ISU|TBS,|TBS|IST|ISU|
ISU|TCG,|TCG|URC|IST|ISU|
ISU|TSE,|TSE|IST|ISU|
ISU|YIN,|YIN|URC|IST|ISU|
ISU|ENH,|ENH|WUH|URC|IST|ISU|
ISU|ENY,|ENY|XIY|URC|IST|ISU|
ISU|WXN,|WXN|XIY|URC|IST|ISU|
ISU|BLL,|BLL|IST|ISU|
ISU|ESB,|ESB|IST|ISU|
ISU|SAW,|SAW|ADB|IST|ISU|
ISU|HAM,|HAM|IST|ISU|
ISU|HRE,|HRE|ADD|IST|ISU|
ISU|JUB,|JUB|CAI|IST|ISU|
ISU|SSG,|SSG|DLA|IST|ISU|
ISU|BGW,|BGW|IST|ISU|
ISU|EBL,|EBL|IST|ISU|
ISU|VKO,|VKO|IST|ISU|
ISU|MCT,|MCT|IST|ISU|
ISU|AYT,|AYT|IST|ISU|
ISU|SCQ,|SCQ|BIO|IST|ISU|
ISU|AAL,|AAL|IST|ISU|
ISU|AOE,|AOE|BRU|IST|ISU|
ISU|JNB,|JNB|IST|ISU|
ISU|LBV,|LBV|DLA|IST|ISU|
ISU|ADA,|ADA|IST|ISU|
ISU|ADB,|ADB|IST|ISU|
ISU|ADF,|ADF|IST|ISU|
ISU|AJI,|AJI|IST|ISU|
ISU|BAL,|BAL|IST|ISU|
ISU|BJV,|BJV|IST|ISU|
ISU|CKZ,|CKZ|ESB|IST|ISU|
ISU|DIY,|DIY|IST|ISU|
ISU|ECN,|ECN|IST|ISU|
ISU|ERC,|ERC|IST|ISU|
ISU|ERZ,|ERZ|IST|ISU|
ISU|EZS,|EZS|IST|ISU|
ISU|GNY,|GNY|IST|ISU|
ISU|GZP,|GZP|ESB|IST|ISU|
ISU|GZT,|GZT|IST|ISU|
ISU|HTY,|HTY|IST|ISU|
ISU|KCM,|KCM|IST|ISU|
ISU|KSY,|KSY|IST|ISU|
ISU|MLX,|MLX|IST|ISU|
ISU|MQM,|MQM|IST|ISU|
ISU|MSR,|MSR|IST|ISU|
ISU|TEQ,|TEQ|ESB|IST|ISU|
ISU|TZX,|TZX|IST|ISU|
ISU|VAN,|VAN|IST|ISU|
ISU|ULN,|ULN|FRU|IST|ISU|
ISU|HIJ,|HIJ|ICN|IST|ISU|
ISU|VVO,|VVO|ICN|IST|ISU|
ISU|ACC,|ACC|IST|ISU|
ISU|AER,|AER|IST|ISU|
ISU|AGP,|AGP|IST|ISU|
ISU|ALG,|ALG|IST|ISU|
ISU|AMM,|AMM|IST|ISU|
ISU|AQJ,|AQJ|IST|ISU|
ISU|ARN,|ARN|IST|ISU|
ISU|ASR,|ASR|IST|ISU|
ISU|ATH,|ATH|IST|ISU|
ISU|BAH,|BAH|IST|ISU|
ISU|BEG,|BEG|IST|ISU|
ISU|BEN,|BEN|IST|ISU|
ISU|BEY,|BEY|IST|ISU|
ISU|BHX,|BHX|IST|ISU|
ISU|BIO,|BIO|IST|ISU|
ISU|BLQ,|BLQ|IST|ISU|
ISU|BOM,|BOM|IST|ISU|
ISU|BRE,|BRE|IST|ISU|
ISU|BSL,|BSL|IST|ISU|
ISU|BSR,|BSR|IST|ISU|
ISU|BUD,|BUD|IST|ISU|
ISU|BUS,|BUS|IST|ISU|
ISU|CAI,|CAI|IST|ISU|
ISU|CGN,|CGN|IST|ISU|
ISU|CMN,|CMN|IST|ISU|
ISU|CND,|CND|IST|ISU|
ISU|DAR,|DAR|IST|ISU|
ISU|DLM,|DLM|IST|ISU|
ISU|DMM,|DMM|IST|ISU|
ISU|DNK,|DNK|IST|ISU|
ISU|DNZ,|DNZ|IST|ISU|
ISU|DOK,|DOK|IST|ISU|
ISU|DUS,|DUS|IST|ISU|
ISU|EDI,|EDI|IST|ISU|
ISU|ELQ,|ELQ|IST|ISU|
ISU|FDH,|FDH|IST|ISU|
ISU|GOA,|GOA|IST|ISU|
ISU|GOT,|GOT|IST|ISU|
ISU|HAJ,|HAJ|IST|ISU|
ISU|HBE,|HBE|IST|ISU|
ISU|HEL,|HEL|IST|ISU|
ISU|HRG,|HRG|IST|ISU|
ISU|IFN,|IFN|IST|ISU|
ISU|ISE,|ISE|IST|ISU|
ISU|JIB,|JIB|IST|ISU|
ISU|JRO,|JRO|IST|ISU|
ISU|KAN,|KAN|IST|ISU|
ISU|KBL,|KBL|IST|ISU|
ISU|KBP,|KBP|IST|ISU|
ISU|KFS,|KFS|IST|ISU|
ISU|KHI,|KHI|IST|ISU|
ISU|KIV,|KIV|IST|ISU|
ISU|KRT,|KRT|IST|ISU|
ISU|KSH,|KSH|IST|ISU|
ISU|KVD,|KVD|IST|ISU|
ISU|KWI,|KWI|IST|ISU|
ISU|KYA,|KYA|IST|ISU|
ISU|KZN,|KZN|IST|ISU|
ISU|KZR,|KZR|IST|ISU|
ISU|LED,|LED|IST|ISU|
ISU|LEJ,|LEJ|IST|ISU|
