AMS|SVO,|SVO|URC|IST|AMS|
AMS|SYX,|SYX|KMG|CTU|AMS|
AMS|TAO,|TAO|DLC|PEK|AMS|
AMS|TEN,|TEN|PEK|AMS|
AMS|TNA,|TNA|DLC|PEK|AMS|
AMS|TPE,|TPE|PVG|AMS|
AMS|TSN,|TSN|DLC|PEK|AMS|
AMS|TXN,|TXN|DLC|PEK|AMS|
AMS|TYN,|TYN|DAT|CIH|PEK|AMS|
AMS|WNZ,|WNZ|CGO|PEK|AMS|
AMS|WUX,|WUX|CAN|AMS|
AMS|XFN,|XFN|CAN|AMS|
AMS|XIY,|XIY|CTU|AMS|
AMS|XUZ,|XUZ|INC|URC|IST|AMS|
AMS|YIH,|YIH|CKG|KWE|CTU|AMS|
AMS|YIW,|YIW|PEK|AMS|
AMS|YNT,|YNT|SHE|PEK|AMS|
AMS|YNZ,|YNZ|DLC|PEK|AMS|
AMS|YTY,|YTY|DLC|PEK|AMS|
AMS|ZHA,|ZHA|CAN|AMS|
AMS|ZYI,|ZYI|PEK|AMS|
AMS|BAV,|BAV|URC|IST|AMS|
AMS|CJU,|CJU|DLC|PEK|AMS|
AMS|DSN,|DSN|CGO|PEK|AMS|
AMS|HMI,|HMI|URC|IST|AMS|
AMS|INC,|INC|URC|IST|AMS|
AMS|KHH,|KHH|CGO|PEK|AMS|
AMS|UYN,|UYN|XIY|CTU|AMS|
AMS|XNN,|XNN|URC|IST|AMS|
AMS|ZUH,|ZUH|KWE|CTU|AMS|
AMS|YNJ,|YNJ|PEK|AMS|
AMS|DAT,|DAT|CIH|PEK|AMS|
AMS|JHG,|JHG|KMG|CTU|AMS|
AMS|LJG,|LJG|KMG|CTU|AMS|
AMS|LXA,|LXA|XIY|CTU|AMS|
AMS|YCU,|YCU|CKG|KWE|CTU|AMS|
AMS|LZO,|LZO|CSX|CTU|AMS|
AMS|MDG,|MDG|DLC|PEK|AMS|
AMS|NGO,|NGO|DLC|PEK|AMS|
AMS|TOY,|TOY|DLC|PEK|AMS|
AMS|MFM,|MFM|XMN|AMS|
AMS|TGO,|TGO|HET|URC|IST|AMS|
AMS|XIL,|XIL|HET|URC|IST|AMS|
AMS|HEK,|HEK|HRB|PEK|AMS|
AMS|KIJ,|KIJ|HRB|PEK|AMS|
AMS|LDS,|LDS|HRB|PEK|AMS|
AMS|OHE,|OHE|HRB|PEK|AMS|
AMS|HSN,|HSN|PEK|AMS|
AMS|DLU,|DLU|KMG|CTU|AMS|
AMS|SYM,|SYM|KMG|CTU|AMS|
AMS|ZAT,|ZAT|KMG|CTU|AMS|
AMS|LUN,|LUN|NBO|IST|AMS|
AMS|AOG,|AOG|PEK|AMS|
AMS|GMP,|GMP|PEK|AMS|
AMS|ISB,|ISB|IST|AMS|
AMS|TAS,|TAS|IST|AMS|
AMS|WUS,|WUS|PEK|AMS|
AMS|JMU,|JMU|PVG|AMS|
AMS|NDG,|NDG|PVG|AMS|
AMS|JXA,|JXA|SHE|PEK|AMS|
AMS|PUS,|PUS|SHE|PEK|AMS|
AMS|BKI,|BKI|SZX|CTU|AMS|
AMS|AKU,|AKU|URC|IST|AMS|
AMS|ALA,|ALA|IST|AMS|
AMS|ASB,|ASB|IST|AMS|
AMS|DNH,|DNH|URC|IST|AMS|
AMS|DYU,|DYU|IST|AMS|
AMS|FRU,|FRU|IST|AMS|
AMS|GYD,|GYD|IST|AMS|
AMS|HTN,|HTN|URC|IST|AMS|
AMS|IKA,|IKA|SAW|AMS|
AMS|KCA,|KCA|URC|IST|AMS|
AMS|KHG,|KHG|URC|IST|AMS|
AMS|KRL,|KRL|URC|IST|AMS|
AMS|KRY,|KRY|URC|IST|AMS|
AMS|LBD,|LBD|URC|IST|AMS|
AMS|NLT,|NLT|URC|IST|AMS|
AMS|OSS,|OSS|IST|AMS|
AMS|OVB,|OVB|IST|AMS|
AMS|TBS,|TBS|SAW|AMS|
AMS|TCG,|TCG|URC|IST|AMS|
AMS|TSE,|TSE|IST|AMS|
AMS|YIN,|YIN|URC|IST|AMS|
AMS|ENH,|ENH|WUH|PEK|AMS|
AMS|ENY,|ENY|XIY|CTU|AMS|
AMS|WXN,|WXN|XIY|CTU|AMS|
AMS|BLL,|BLL|IST|AMS|
AMS|ESB,|ESB|SAW|AMS|
AMS|SAW,|SAW|AMS|
AMS|HAM,|HAM|IST|AMS|
AMS|HRE,|HRE|ADD|IST|AMS|
AMS|JUB,|JUB|CAI|IST|AMS|
AMS|SSG,|SSG|DLA|IST|AMS|
AMS|BGW,|BGW|IST|AMS|
AMS|EBL,|EBL|IST|AMS|
AMS|VKO,|VKO|IST|AMS|
