LIM|XNN,|XNN|PEK|IAH|LIM|
LIM|ZUH,|ZUH|PVG|YVR|IAH|LIM|
LIM|YNJ,|YNJ|ICN|YVR|IAH|LIM|
LIM|DAT,|DAT|CIH|PEK|IAH|LIM|
LIM|JHG,|JHG|CKG|PEK|IAH|LIM|
LIM|LJG,|LJG|CKG|PEK|IAH|LIM|
LIM|LXA,|LXA|XIY|PEK|IAH|LIM|
LIM|YCU,|YCU|CSX|PEK|IAH|LIM|
LIM|LZO,|LZO|CSX|PEK|IAH|LIM|
LIM|MDG,|MDG|ICN|YVR|IAH|LIM|
LIM|NGO,|NGO|ICN|YVR|IAH|LIM|
LIM|TOY,|TOY|DLC|ICN|YVR|IAH|LIM|
LIM|MFM,|MFM|XMN|PEK|IAH|LIM|
LIM|TGO,|TGO|HET|DLC|ICN|YVR|IAH|LIM|
LIM|XIL,|XIL|HET|DLC|ICN|YVR|IAH|LIM|
LIM|HEK,|HEK|HRB|ICN|YVR|IAH|LIM|
LIM|KIJ,|KIJ|HRB|ICN|YVR|IAH|LIM|
LIM|LDS,|LDS|HRB|ICN|YVR|IAH|LIM|
LIM|OHE,|OHE|HRB|ICN|YVR|IAH|LIM|
LIM|HSN,|HSN|PEK|IAH|LIM|
LIM|DLU,|DLU|KMG|PEK|IAH|LIM|
LIM|SYM,|SYM|KMG|PEK|IAH|LIM|
LIM|ZAT,|ZAT|KMG|PEK|IAH|LIM|
LIM|LUN,|LUN|NBO|ZRH|MIA|LIM|
LIM|AOG,|AOG|PEK|IAH|LIM|
LIM|GMP,|GMP|PEK|IAH|LIM|
LIM|ISB,|ISB|IST|ZRH|MIA|LIM|
LIM|TAS,|TAS|IST|ZRH|MIA|LIM|
LIM|WUS,|WUS|PEK|IAH|LIM|
LIM|JMU,|JMU|PVG|YVR|IAH|LIM|
LIM|NDG,|NDG|PVG|YVR|IAH|LIM|
LIM|JXA,|JXA|SHE|ICN|YVR|IAH|LIM|
LIM|PUS,|PUS|SHE|ICN|YVR|IAH|LIM|
LIM|BKI,|BKI|SZX|PVG|YVR|IAH|LIM|
LIM|AKU,|AKU|URC|TSE|FRA|MIA|LIM|
LIM|ALA,|ALA|TSE|FRA|MIA|LIM|
LIM|ASB,|ASB|GYD|FRA|MIA|LIM|
LIM|DNH,|DNH|URC|TSE|FRA|MIA|LIM|
LIM|DYU,|DYU|IST|ZRH|MIA|LIM|
LIM|FRU,|FRU|IST|ZRH|MIA|LIM|
LIM|GYD,|GYD|FRA|MIA|LIM|
LIM|HTN,|HTN|URC|TSE|FRA|MIA|LIM|
LIM|IKA,|IKA|IST|ZRH|MIA|LIM|
LIM|KCA,|KCA|URC|TSE|FRA|MIA|LIM|
LIM|KHG,|KHG|URC|TSE|FRA|MIA|LIM|
LIM|KRL,|KRL|URC|TSE|FRA|MIA|LIM|
LIM|KRY,|KRY|URC|TSE|FRA|MIA|LIM|
LIM|LBD,|LBD|URC|TSE|FRA|MIA|LIM|
LIM|NLT,|NLT|URC|TSE|FRA|MIA|LIM|
LIM|OSS,|OSS|IST|ZRH|MIA|LIM|
LIM|OVB,|OVB|IST|ZRH|MIA|LIM|
LIM|TBS,|TBS|IST|ZRH|MIA|LIM|
LIM|TCG,|TCG|URC|TSE|FRA|MIA|LIM|
LIM|TSE,|TSE|FRA|MIA|LIM|
LIM|YIN,|YIN|URC|TSE|FRA|MIA|LIM|
LIM|ENH,|ENH|WUH|PEK|IAH|LIM|
LIM|ENY,|ENY|XIY|PEK|IAH|LIM|
LIM|WXN,|WXN|XIY|PEK|IAH|LIM|
LIM|BLL,|BLL|IST|ZRH|MIA|LIM|
LIM|ESB,|ESB|FRA|MIA|LIM|
LIM|SAW,|SAW|FRA|MIA|LIM|
LIM|HAM,|HAM|EWR|LIM|
LIM|HRE,|HRE|ADD|IST|ZRH|MIA|LIM|
LIM|JUB,|JUB|CAI|IST|ZRH|MIA|LIM|
LIM|SSG,|SSG|DLA|BRU|EWR|LIM|
LIM|BGW,|BGW|IST|ZRH|MIA|LIM|
LIM|EBL,|EBL|IST|ZRH|MIA|LIM|
LIM|VKO,|VKO|IST|ZRH|MIA|LIM|
LIM|MCT,|MCT|IST|ZRH|MIA|LIM|
LIM|AYT,|AYT|IST|ZRH|MIA|LIM|
LIM|SCQ,|SCQ|BIO|IST|ZRH|MIA|LIM|
LIM|AAL,|AAL|IST|ZRH|MIA|LIM|
LIM|AOE,|AOE|BRU|EWR|LIM|
LIM|JNB,|JNB|DKR|IAD|MIA|LIM|
LIM|LBV,|LBV|DLA|BRU|EWR|LIM|
LIM|ADA,|ADA|IST|ZRH|MIA|LIM|
LIM|ADB,|ADB|HAM|EWR|LIM|
LIM|ADF,|ADF|ESB|FRA|MIA|LIM|
LIM|AJI,|AJI|ESB|FRA|MIA|LIM|
LIM|BAL,|BAL|ESB|FRA|MIA|LIM|
LIM|BJV,|BJV|IST|ZRH|MIA|LIM|
LIM|CKZ,|CKZ|ESB|FRA|MIA|LIM|
LIM|DIY,|DIY|ESB|FRA|MIA|LIM|
LIM|ECN,|ECN|IST|ZRH|MIA|LIM|
LIM|ERC,|ERC|ESB|FRA|MIA|LIM|
LIM|ERZ,|ERZ|ESB|FRA|MIA|LIM|
LIM|EZS,|EZS|ESB|FRA|MIA|LIM|
LIM|GNY,|GNY|ESB|FRA|MIA|LIM|
LIM|GZP,|GZP|ESB|FRA|MIA|LIM|
LIM|GZT,|GZT|IST|ZRH|MIA|LIM|
LIM|HTY,|HTY|IST|ZRH|MIA|LIM|
LIM|KCM,|KCM|IST|ZRH|MIA|LIM|
LIM|KSY,|KSY|IST|ZRH|MIA|LIM|
LIM|MLX,|MLX|ESB|FRA|MIA|LIM|
LIM|MQM,|MQM|ESB|FRA|MIA|LIM|
LIM|MSR,|MSR|ESB|FRA|MIA|LIM|
LIM|TEQ,|TEQ|ESB|FRA|MIA|LIM|
LIM|TZX,|TZX|IST|ZRH|MIA|LIM|
LIM|VAN,|VAN|ESB|FRA|MIA|LIM|
LIM|ULN,|ULN|FRU|IST|ZRH|MIA|LIM|
LIM|HIJ,|HIJ|ICN|YVR|IAH|LIM|
LIM|VVO,|VVO|ICN|YVR|IAH|LIM|
LIM|ACC,|ACC|IST|ZRH|MIA|LIM|
LIM|AER,|AER|IST|ZRH|MIA|LIM|
LIM|AGP,|AGP|IST|ZRH|MIA|LIM|
LIM|ALG,|ALG|IST|ZRH|MIA|LIM|
LIM|AMM,|AMM|IST|ZRH|MIA|LIM|
LIM|AQJ,|AQJ|IST|ZRH|MIA|LIM|
LIM|ARN,|ARN|EWR|LIM|
LIM|ASR,|ASR|IST|ZRH|MIA|LIM|
LIM|ATH,|ATH|IST|ZRH|MIA|LIM|
LIM|BAH,|BAH|IST|ZRH|MIA|LIM|
LIM|BEG,|BEG|IST|ZRH|MIA|LIM|
LIM|BEN,|BEN|IST|ZRH|MIA|LIM|
LIM|BEY,|BEY|IST|ZRH|MIA|LIM|
LIM|BHX,|BHX|EWR|LIM|
LIM|BIO,|BIO|IST|ZRH|MIA|LIM|
LIM|BLQ,|BLQ|IST|ZRH|MIA|LIM|
LIM|BOM,|BOM|EWR|LIM|
LIM|BRE,|BRE|IST|ZRH|MIA|LIM|
LIM|BSL,|BSL|IST|ZRH|MIA|LIM|
LIM|BSR,|BSR|IST|ZRH|MIA|LIM|
LIM|BUD,|BUD|IST|ZRH|MIA|LIM|
LIM|BUS,|BUS|IST|ZRH|MIA|LIM|
LIM|CAI,|CAI|IST|ZRH|MIA|LIM|
LIM|CGN,|CGN|IST|ZRH|MIA|LIM|
LIM|CMN,|CMN|IST|ZRH|MIA|LIM|
LIM|CND,|CND|IST|ZRH|MIA|LIM|
LIM|DAR,|DAR|NBO|ZRH|MIA|LIM|
LIM|DLM,|DLM|IST|ZRH|MIA|LIM|
LIM|DMM,|DMM|IST|ZRH|MIA|LIM|
LIM|DNK,|DNK|IST|ZRH|MIA|LIM|
LIM|DNZ,|DNZ|IST|ZRH|MIA|LIM|
LIM|DOK,|DOK|IST|ZRH|MIA|LIM|
LIM|DUS,|DUS|EWR|LIM|
LIM|EDI,|EDI|EWR|LIM|
LIM|ELQ,|ELQ|IST|ZRH|MIA|LIM|
LIM|FDH,|FDH|IST|ZRH|MIA|LIM|
LIM|GOA,|GOA|IST|ZRH|MIA|LIM|
LIM|GOT,|GOT|BRU|EWR|LIM|
LIM|HAJ,|HAJ|BRU|EWR|LIM|
LIM|HBE,|HBE|IST|ZRH|MIA|LIM|
LIM|HEL,|HEL|IST|ZRH|MIA|LIM|
LIM|HRG,|HRG|IST|ZRH|MIA|LIM|
LIM|IFN,|IFN|IST|ZRH|MIA|LIM|
LIM|ISE,|ISE|IST|ZRH|MIA|LIM|
LIM|ISU,|ISU|IST|ZRH|MIA|LIM|
LIM|JIB,|JIB|IST|ZRH|MIA|LIM|
LIM|JRO,|JRO|IST|ZRH|MIA|LIM|
LIM|KAN,|KAN|IST|ZRH|MIA|LIM|
LIM|KBL,|KBL|IST|ZRH|MIA|LIM|
LIM|KBP,|KBP|IST|ZRH|MIA|LIM|
LIM|KFS,|KFS|IST|ZRH|MIA|LIM|
LIM|KHI,|KHI|IST|ZRH|MIA|LIM|
LIM|KIV,|KIV|IST|ZRH|MIA|LIM|
LIM|KRT,|KRT|IST|ZRH|MIA|LIM|
LIM|KSH,|KSH|IST|ZRH|MIA|LIM|
LIM|KVD,|KVD|IST|ZRH|MIA|LIM|
LIM|KWI,|KWI|IST|ZRH|MIA|LIM|
LIM|KYA,|KYA|IST|ZRH|MIA|LIM|
LIM|KZN,|KZN|IST|ZRH|MIA|LIM|
LIM|KZR,|KZR|IST|ZRH|MIA|LIM|
LIM|LED,|LED|VIE|IAD|MIA|LIM|
LIM|LEJ,|LEJ|IST|ZRH|MIA|LIM|
LIM|LGW,|LGW|IST|ZRH|MIA|LIM|
