SNA|XFN,|XFN|CAN|PVG|SFO|SNA|
SNA|XIY,|XIY|PEK|SFO|SNA|
SNA|XUZ,|XUZ|LYG|HSN|PEK|SFO|SNA|
SNA|YIH,|YIH|CKG|PEK|SFO|SNA|
SNA|YIW,|YIW|PEK|SFO|SNA|
SNA|YNT,|YNT|SHE|ICN|SFO|SNA|
SNA|YNZ,|YNZ|DLC|ICN|SFO|SNA|
SNA|YTY,|YTY|DLC|ICN|SFO|SNA|
SNA|ZHA,|ZHA|CAN|PVG|SFO|SNA|
SNA|ZYI,|ZYI|PEK|SFO|SNA|
SNA|BAV,|BAV|SJW|DLC|ICN|SFO|SNA|
SNA|CJU,|CJU|DLC|ICN|SFO|SNA|
SNA|DSN,|DSN|CGO|PEK|SFO|SNA|
SNA|HMI,|HMI|CGO|PEK|SFO|SNA|
SNA|INC,|INC|PEK|SFO|SNA|
SNA|KHH,|KHH|WUH|ICN|SFO|SNA|
SNA|UYN,|UYN|CGO|PEK|SFO|SNA|
SNA|XNN,|XNN|PEK|SFO|SNA|
SNA|ZUH,|ZUH|PVG|SFO|SNA|
SNA|YNJ,|YNJ|ICN|SFO|SNA|
SNA|DAT,|DAT|CIH|PEK|SFO|SNA|
SNA|JHG,|JHG|CKG|PEK|SFO|SNA|
SNA|LJG,|LJG|CKG|PEK|SFO|SNA|
SNA|LXA,|LXA|XIY|PEK|SFO|SNA|
SNA|YCU,|YCU|CSX|ICN|SFO|SNA|
SNA|LZO,|LZO|CSX|ICN|SFO|SNA|
SNA|MDG,|MDG|ICN|SFO|SNA|
SNA|NGO,|NGO|ICN|SFO|SNA|
SNA|TOY,|TOY|DLC|ICN|SFO|SNA|
SNA|MFM,|MFM|HGH|DLC|ICN|SFO|SNA|
SNA|TGO,|TGO|HET|DLC|ICN|SFO|SNA|
SNA|XIL,|XIL|HET|DLC|ICN|SFO|SNA|
SNA|HEK,|HEK|HRB|ICN|SFO|SNA|
SNA|KIJ,|KIJ|HRB|ICN|SFO|SNA|
SNA|LDS,|LDS|HRB|ICN|SFO|SNA|
SNA|OHE,|OHE|HRB|ICN|SFO|SNA|
SNA|HSN,|HSN|PEK|SFO|SNA|
SNA|DLU,|DLU|KMG|PEK|SFO|SNA|
SNA|SYM,|SYM|KMG|PEK|SFO|SNA|
SNA|ZAT,|ZAT|KMG|PEK|SFO|SNA|
SNA|LUN,|LUN|NBO|ZRH|ORD|SNA|
SNA|AOG,|AOG|PEK|SFO|SNA|
SNA|GMP,|GMP|PEK|SFO|SNA|
SNA|ISB,|ISB|PEK|SFO|SNA|
SNA|TAS,|TAS|PEK|SFO|SNA|
SNA|WUS,|WUS|PEK|SFO|SNA|
SNA|JMU,|JMU|PVG|SFO|SNA|
SNA|NDG,|NDG|PVG|SFO|SNA|
SNA|JXA,|JXA|SHE|ICN|SFO|SNA|
SNA|PUS,|PUS|SHE|ICN|SFO|SNA|
SNA|BKI,|BKI|SZX|PVG|SFO|SNA|
SNA|AKU,|AKU|URC|PEK|SFO|SNA|
SNA|ALA,|ALA|URC|PEK|SFO|SNA|
SNA|ASB,|ASB|GYD|FRA|DEN|SNA|
SNA|DNH,|DNH|XIY|PEK|SFO|SNA|
