LEX|JHG,|JHG|CKG|PEK|ORD|LEX|
LEX|LJG,|LJG|CKG|PEK|ORD|LEX|
LEX|LXA,|LXA|XIY|PEK|ORD|LEX|
LEX|YCU,|YCU|CSX|PEK|ORD|LEX|
LEX|LZO,|LZO|CSX|PEK|ORD|LEX|
LEX|MDG,|MDG|ICN|YVR|ORD|LEX|
LEX|NGO,|NGO|ICN|YVR|ORD|LEX|
LEX|TOY,|TOY|DLC|PEK|ORD|LEX|
LEX|MFM,|MFM|XMN|PEK|ORD|LEX|
LEX|TGO,|TGO|HET|DLC|PEK|ORD|LEX|
LEX|XIL,|XIL|HET|DLC|PEK|ORD|LEX|
LEX|HEK,|HEK|HRB|PEK|ORD|LEX|
LEX|KIJ,|KIJ|HRB|PEK|ORD|LEX|
LEX|LDS,|LDS|HRB|PEK|ORD|LEX|
LEX|OHE,|OHE|HRB|PEK|ORD|LEX|
LEX|HSN,|HSN|PEK|ORD|LEX|
LEX|DLU,|DLU|KMG|PEK|ORD|LEX|
LEX|SYM,|SYM|KMG|PEK|ORD|LEX|
LEX|ZAT,|ZAT|KMG|PEK|ORD|LEX|
LEX|LUN,|LUN|NBO|ZRH|ORD|LEX|
LEX|AOG,|AOG|PEK|ORD|LEX|
LEX|GMP,|GMP|PEK|ORD|LEX|
LEX|ISB,|ISB|IST|ORD|LEX|
LEX|TAS,|TAS|IST|ORD|LEX|
LEX|WUS,|WUS|PEK|ORD|LEX|
LEX|JMU,|JMU|PVG|ORD|LEX|
LEX|NDG,|NDG|PVG|ORD|LEX|
LEX|JXA,|JXA|SHE|PEK|ORD|LEX|
LEX|PUS,|PUS|SHE|PEK|ORD|LEX|
LEX|BKI,|BKI|SZX|PEK|ORD|LEX|
LEX|AKU,|AKU|URC|TSE|FRA|ORD|LEX|
LEX|ALA,|ALA|TSE|FRA|ORD|LEX|
LEX|ASB,|ASB|GYD|FRA|ORD|LEX|
LEX|DNH,|DNH|XIY|PEK|ORD|LEX|
LEX|DYU,|DYU|IST|ORD|LEX|
LEX|FRU,|FRU|IST|ORD|LEX|
LEX|GYD,|GYD|FRA|ORD|LEX|
LEX|HTN,|HTN|URC|TSE|FRA|ORD|LEX|
LEX|IKA,|IKA|SAW|VIE|ORD|LEX|
LEX|KCA,|KCA|URC|TSE|FRA|ORD|LEX|
LEX|KHG,|KHG|URC|TSE|FRA|ORD|LEX|
LEX|KRL,|KRL|URC|TSE|FRA|ORD|LEX|
LEX|KRY,|KRY|URC|TSE|FRA|ORD|LEX|
LEX|LBD,|LBD|URC|TSE|FRA|ORD|LEX|
LEX|NLT,|NLT|URC|TSE|FRA|ORD|LEX|
LEX|OSS,|OSS|IST|ORD|LEX|
LEX|OVB,|OVB|IST|ORD|LEX|
LEX|TBS,|TBS|SAW|VIE|ORD|LEX|
LEX|TCG,|TCG|URC|TSE|FRA|ORD|LEX|
LEX|TSE,|TSE|FRA|ORD|LEX|
LEX|YIN,|YIN|URC|TSE|FRA|ORD|LEX|
LEX|ENH,|ENH|WUH|PEK|ORD|LEX|
LEX|ENY,|ENY|XIY|PEK|ORD|LEX|
LEX|WXN,|WXN|XIY|PEK|ORD|LEX|
LEX|BLL,|BLL|IST|ORD|LEX|
LEX|ESB,|ESB|VIE|ORD|LEX|
LEX|SAW,|SAW|VIE|ORD|LEX|
LEX|HAM,|HAM|EWR|ORD|LEX|
LEX|HRE,|HRE|ADD|IST|ORD|LEX|
LEX|JUB,|JUB|CAI|IST|ORD|LEX|
LEX|SSG,|SSG|DLA|BRU|ORD|LEX|
LEX|BGW,|BGW|ESB|VIE|ORD|LEX|
LEX|EBL,|EBL|IST|ORD|LEX|
LEX|VKO,|VKO|IST|ORD|LEX|
LEX|MCT,|MCT|IST|ORD|LEX|
LEX|AYT,|AYT|IST|ORD|LEX|
LEX|SCQ,|SCQ|BIO|IST|ORD|LEX|
LEX|AAL,|AAL|IST|ORD|LEX|
LEX|AOE,|AOE|BRU|ORD|LEX|
LEX|JNB,|JNB|DKR|IAD|ORD|LEX|
LEX|LBV,|LBV|DLA|BRU|ORD|LEX|
LEX|ADA,|ADA|IST|ORD|LEX|
LEX|ADB,|ADB|IST|ORD|LEX|
LEX|ADF,|ADF|ESB|VIE|ORD|LEX|
LEX|AJI,|AJI|ESB|VIE|ORD|LEX|
LEX|BAL,|BAL|ESB|VIE|ORD|LEX|
LEX|BJV,|BJV|IST|ORD|LEX|
LEX|CKZ,|CKZ|ESB|VIE|ORD|LEX|
LEX|DIY,|DIY|ESB|VIE|ORD|LEX|
LEX|ECN,|ECN|IST|ORD|LEX|
LEX|ERC,|ERC|ESB|VIE|ORD|LEX|
LEX|ERZ,|ERZ|ESB|VIE|ORD|LEX|
LEX|EZS,|EZS|ESB|VIE|ORD|LEX|
LEX|GNY,|GNY|ESB|VIE|ORD|LEX|
LEX|GZP,|GZP|ESB|VIE|ORD|LEX|
LEX|GZT,|GZT|ESB|VIE|ORD|LEX|
LEX|HTY,|HTY|IST|ORD|LEX|
LEX|KCM,|KCM|ESB|VIE|ORD|LEX|
LEX|KSY,|KSY|ESB|VIE|ORD|LEX|
LEX|MLX,|MLX|ESB|VIE|ORD|LEX|
LEX|MQM,|MQM|ESB|VIE|ORD|LEX|
LEX|MSR,|MSR|ESB|VIE|ORD|LEX|
