YKA|SAW,|SAW|FRA|YYC|YKA|
YKA|HAM,|HAM|EWR|YYC|YKA|
YKA|HRE,|HRE|ADD|JED|FRA|YYC|YKA|
YKA|JUB,|JUB|CAI|IST|FRA|YYC|YKA|
YKA|SSG,|SSG|DLA|BRU|YUL|YYC|YKA|
YKA|BGW,|BGW|ESB|FRA|YYC|YKA|
YKA|EBL,|EBL|IST|FRA|YYC|YKA|
YKA|VKO,|VKO|IST|FRA|YYC|YKA|
YKA|MCT,|MCT|IST|FRA|YYC|YKA|
YKA|AYT,|AYT|IST|FRA|YYC|YKA|
YKA|SCQ,|SCQ|BIO|IST|FRA|YYC|YKA|
YKA|AAL,|AAL|IST|FRA|YYC|YKA|
YKA|AOE,|AOE|BRU|YUL|YYC|YKA|
YKA|JNB,|JNB|JFK|YYC|YKA|
YKA|LBV,|LBV|DLA|BRU|YUL|YYC|YKA|
YKA|ADA,|ADA|SAW|FRA|YYC|YKA|
YKA|ADB,|ADB|IST|FRA|YYC|YKA|
YKA|ADF,|ADF|ESB|FRA|YYC|YKA|
YKA|AJI,|AJI|ESB|FRA|YYC|YKA|
YKA|BAL,|BAL|ESB|FRA|YYC|YKA|
YKA|BJV,|BJV|IST|FRA|YYC|YKA|
YKA|CKZ,|CKZ|ESB|FRA|YYC|YKA|
YKA|DIY,|DIY|ESB|FRA|YYC|YKA|
YKA|ECN,|ECN|IST|FRA|YYC|YKA|
YKA|ERC,|ERC|ESB|FRA|YYC|YKA|
YKA|ERZ,|ERZ|ESB|FRA|YYC|YKA|
YKA|EZS,|EZS|ESB|FRA|YYC|YKA|
YKA|GNY,|GNY|ESB|FRA|YYC|YKA|
YKA|GZP,|GZP|ESB|FRA|YYC|YKA|
YKA|GZT,|GZT|ESB|FRA|YYC|YKA|
YKA|HTY,|HTY|SAW|FRA|YYC|YKA|
YKA|KCM,|KCM|ESB|FRA|YYC|YKA|
YKA|KSY,|KSY|ESB|FRA|YYC|YKA|
YKA|MLX,|MLX|ESB|FRA|YYC|YKA|
YKA|MQM,|MQM|ESB|FRA|YYC|YKA|
YKA|MSR,|MSR|ESB|FRA|YYC|YKA|
YKA|TEQ,|TEQ|ESB|FRA|YYC|YKA|
YKA|TZX,|TZX|ESB|FRA|YYC|YKA|
YKA|VAN,|VAN|ESB|FRA|YYC|YKA|
YKA|ULN,|ULN|FRU|URC|PEK|YVR|YKA|
YKA|HIJ,|HIJ|ICN|YVR|YKA|
YKA|VVO,|VVO|ICN|YVR|YKA|
YKA|ACC,|ACC|IST|FRA|YYC|YKA|
YKA|AER,|AER|IST|FRA|YYC|YKA|
YKA|AGP,|AGP|IST|FRA|YYC|YKA|
YKA|ALG,|ALG|IST|FRA|YYC|YKA|
YKA|AMM,|AMM|IST|FRA|YYC|YKA|
YKA|AQJ,|AQJ|IST|FRA|YYC|YKA|
YKA|ARN,|ARN|EWR|YYC|YKA|
YKA|ASR,|ASR|SAW|FRA|YYC|YKA|
YKA|ATH,|ATH|IST|FRA|YYC|YKA|
YKA|BAH,|BAH|IST|FRA|YYC|YKA|
YKA|BEG,|BEG|IST|FRA|YYC|YKA|
YKA|BEN,|BEN|IST|FRA|YYC|YKA|
YKA|BEY,|BEY|IST|FRA|YYC|YKA|
YKA|BHX,|BHX|EWR|YYC|YKA|
YKA|BIO,|BIO|IST|FRA|YYC|YKA|
YKA|BLQ,|BLQ|IST|FRA|YYC|YKA|
YKA|BOM,|BOM|IST|FRA|YYC|YKA|
YKA|BRE,|BRE|IST|FRA|YYC|YKA|
YKA|BSL,|BSL|IST|FRA|YYC|YKA|
YKA|BSR,|BSR|IST|FRA|YYC|YKA|
YKA|BUD,|BUD|IST|FRA|YYC|YKA|
YKA|BUS,|BUS|IST|FRA|YYC|YKA|
YKA|CAI,|CAI|IST|FRA|YYC|YKA|
YKA|CGN,|CGN|IST|FRA|YYC|YKA|
YKA|CMN,|CMN|IST|FRA|YYC|YKA|
YKA|CND,|CND|IST|FRA|YYC|YKA|
YKA|DAR,|DAR|IST|FRA|YYC|YKA|
YKA|DLM,|DLM|IST|FRA|YYC|YKA|
YKA|DMM,|DMM|IST|FRA|YYC|YKA|
YKA|DNK,|DNK|IST|FRA|YYC|YKA|
YKA|DNZ,|DNZ|IST|FRA|YYC|YKA|
YKA|DOK,|DOK|IST|FRA|YYC|YKA|
YKA|DUS,|DUS|ORD|YYC|YKA|
YKA|EDI,|EDI|EWR|YYC|YKA|
YKA|ELQ,|ELQ|IST|FRA|YYC|YKA|
YKA|FDH,|FDH|IST|FRA|YYC|YKA|
YKA|GOA,|GOA|IST|FRA|YYC|YKA|
YKA|GOT,|GOT|BRU|YUL|YYC|YKA|
YKA|HAJ,|HAJ|BRU|YUL|YYC|YKA|
YKA|HBE,|HBE|IST|FRA|YYC|YKA|
YKA|HEL,|HEL|IST|FRA|YYC|YKA|
YKA|HRG,|HRG|IST|FRA|YYC|YKA|
YKA|IFN,|IFN|IST|FRA|YYC|YKA|
YKA|ISE,|ISE|IST|FRA|YYC|YKA|
YKA|ISU,|ISU|IST|FRA|YYC|YKA|
YKA|JIB,|JIB|IST|FRA|YYC|YKA|
YKA|JRO,|JRO|IST|FRA|YYC|YKA|
YKA|KAN,|KAN|IST|FRA|YYC|YKA|
YKA|KBL,|KBL|IST|FRA|YYC|YKA|
YKA|KBP,|KBP|IST|FRA|YYC|YKA|
YKA|KFS,|KFS|IST|FRA|YYC|YKA|
YKA|KHI,|KHI|IST|FRA|YYC|YKA|
YKA|KIV,|KIV|IST|FRA|YYC|YKA|
YKA|KRT,|KRT|IST|FRA|YYC|YKA|
YKA|KSH,|KSH|IST|FRA|YYC|YKA|
YKA|KVD,|KVD|IST|FRA|YYC|YKA|
YKA|KWI,|KWI|SAW|FRA|YYC|YKA|
YKA|KYA,|KYA|IST|FRA|YYC|YKA|
YKA|KZN,|KZN|IST|FRA|YYC|YKA|
YKA|KZR,|KZR|IST|FRA|YYC|YKA|
YKA|LED,|LED|VIE|YYZ|YYC|YKA|
YKA|LEJ,|LEJ|IST|FRA|YYC|YKA|
YKA|LGW,|LGW|IST|FRA|YYC|YKA|
YKA|LHE,|LHE|IST|FRA|YYC|YKA|
YKA|LIS,|LIS|EWR|YYC|YKA|
YKA|LJU,|LJU|IST|FRA|YYC|YKA|
YKA|LOS,|LOS|FRA|YYC|YKA|
YKA|LUX,|LUX|IST|FRA|YYC|YKA|
YKA|LWO,|LWO|IST|FRA|YYC|YKA|
YKA|LYS,|LYS|IST|FRA|YYC|YKA|
YKA|MAD,|MAD|EWR|YYC|YKA|
YKA|MAN,|MAN|EWR|YYC|YKA|
YKA|MED,|MED|IST|FRA|YYC|YKA|
YKA|MHD,|MHD|IST|FRA|YYC|YKA|
YKA|MLA,|MLA|IST|FRA|YYC|YKA|
YKA|MRS,|MRS|IST|FRA|YYC|YKA|
YKA|MSQ,|MSQ|IST|FRA|YYC|YKA|
YKA|MXP,|MXP|EWR|YYC|YKA|
YKA|MZH,|MZH|IST|FRA|YYC|YKA|
YKA|MZR,|MZR|IST|FRA|YYC|YKA|
YKA|NAJ,|NAJ|IST|FRA|YYC|YKA|
YKA|NAV,|NAV|IST|FRA|YYC|YKA|
YKA|NCE,|NCE|IST|FRA|YYC|YKA|
YKA|NIM,|NIM|IST|FRA|YYC|YKA|
YKA|NJF,|NJF|IST|FRA|YYC|YKA|
YKA|NSI,|NSI|BRU|YUL|YYC|YKA|
YKA|NUE,|NUE|IST|FRA|YYC|YKA|
YKA|ODS,|ODS|IST|FRA|YYC|YKA|
YKA|ORN,|ORN|IST|FRA|YYC|YKA|
YKA|OTP,|OTP|IST|FRA|YYC|YKA|
YKA|PRG,|PRG|BRU|YUL|YYC|YKA|
YKA|PRN,|PRN|IST|FRA|YYC|YKA|
YKA|RIX,|RIX|IST|FRA|YYC|YKA|
YKA|ROV,|ROV|IST|FRA|YYC|YKA|
YKA|RTM,|RTM|IST|FRA|YYC|YKA|
YKA|RUH,|RUH|IST|FRA|YYC|YKA|
YKA|SAH,|SAH|IST|FRA|YYC|YKA|
YKA|SJJ,|SJJ|IST|FRA|YYC|YKA|
YKA|SKG,|SKG|IST|FRA|YYC|YKA|
YKA|SKP,|SKP|IST|FRA|YYC|YKA|
YKA|SSH,|SSH|IST|FRA|YYC|YKA|
YKA|STR,|STR|EWR|YYC|YKA|
YKA|SVX,|SVX|IST|FRA|YYC|YKA|
YKA|SYZ,|SYZ|IST|FRA|YYC|YKA|
YKA|SZG,|SZG|IST|FRA|YYC|YKA|
YKA|TBZ,|TBZ|IST|FRA|YYC|YKA|
YKA|TGD,|TGD|IST|FRA|YYC|YKA|
YKA|TIA,|TIA|IST|FRA|YYC|YKA|
YKA|TIF,|TIF|IST|FRA|YYC|YKA|
YKA|TIP,|TIP|IST|FRA|YYC|YKA|
YKA|TLL,|TLL|VNO|FRA|YYC|YKA|
