YXS|OTP,|OTP|IST|FRA|YYC|YXS|
YXS|PRG,|PRG|BRU|YUL|YYC|YXS|
YXS|PRN,|PRN|IST|FRA|YYC|YXS|
YXS|RIX,|RIX|IST|FRA|YYC|YXS|
YXS|ROV,|ROV|IST|FRA|YYC|YXS|
YXS|RTM,|RTM|IST|FRA|YYC|YXS|
YXS|RUH,|RUH|IST|FRA|YYC|YXS|
YXS|SAH,|SAH|IST|FRA|YYC|YXS|
YXS|SJJ,|SJJ|IST|FRA|YYC|YXS|
YXS|SKG,|SKG|IST|FRA|YYC|YXS|
YXS|SKP,|SKP|IST|FRA|YYC|YXS|
YXS|SSH,|SSH|IST|FRA|YYC|YXS|
YXS|STR,|STR|EWR|YYC|YXS|
YXS|SVX,|SVX|IST|FRA|YYC|YXS|
YXS|SYZ,|SYZ|IST|FRA|YYC|YXS|
YXS|SZG,|SZG|IST|FRA|YYC|YXS|
YXS|TBZ,|TBZ|IST|FRA|YYC|YXS|
YXS|TGD,|TGD|IST|FRA|YYC|YXS|
YXS|TIA,|TIA|IST|FRA|YYC|YXS|
YXS|TIF,|TIF|IST|FRA|YYC|YXS|
YXS|TIP,|TIP|IST|FRA|YYC|YXS|
YXS|TLL,|TLL|VNO|FRA|YYC|YXS|
