FOE|CGO,|CGO|PEK|ORD|FOE|
FOE|CSX,|CSX|PEK|ORD|FOE|
FOE|SHE,|SHE|PEK|ORD|FOE|
FOE|SJW,|SJW|DLC|PEK|ORD|FOE|
FOE|WUH,|WUH|PEK|ORD|FOE|
FOE|SZX,|SZX|PEK|ORD|FOE|
FOE|CKG,|CKG|PEK|ORD|FOE|
FOE|KMG,|KMG|PEK|ORD|FOE|
FOE|FOC,|FOC|PEK|ORD|FOE|
FOE|NNG,|NNG|PEK|ORD|FOE|
FOE|SWA,|SWA|PEK|ORD|FOE|
FOE|ACX,|ACX|CAN|PEK|ORD|FOE|
FOE|AQG,|AQG|CAN|PEK|ORD|FOE|
FOE|AVA,|AVA|CAN|PEK|ORD|FOE|
FOE|BFJ,|BFJ|CAN|PEK|ORD|FOE|
FOE|BHY,|BHY|CGO|PEK|ORD|FOE|
FOE|BNE,|BNE|CAN|PEK|ORD|FOE|
FOE|CGD,|CGD|PEK|ORD|FOE|
FOE|CGK,|CGK|CAN|PEK|ORD|FOE|
FOE|CGQ,|CGQ|PEK|ORD|FOE|
FOE|CIH,|CIH|PEK|ORD|FOE|
FOE|CNX,|CNX|CAN|PEK|ORD|FOE|
FOE|CZX,|CZX|SHE|PEK|ORD|FOE|
FOE|DAC,|DAC|IST|ORD|FOE|
FOE|DAD,|DAD|CAN|PEK|ORD|FOE|
FOE|DEL,|DEL|EWR|ORD|FOE|
FOE|DIG,|DIG|KMG|PEK|ORD|FOE|
FOE|DLC,|DLC|PEK|ORD|FOE|
FOE|DPS,|DPS|SZX|PEK|ORD|FOE|
FOE|DXB,|DXB|IST|ORD|FOE|
FOE|DYG,|DYG|PEK|ORD|FOE|
FOE|FUG,|FUG|CAN|PEK|ORD|FOE|
FOE|FUK,|FUK|ICN|YVR|ORD|FOE|
FOE|HAK,|HAK|PEK|ORD|FOE|
FOE|HAN,|HAN|PEK|ORD|FOE|
FOE|HDG,|HDG|CAN|PEK|ORD|FOE|
FOE|HET,|HET|DLC|PEK|ORD|FOE|
FOE|HFE,|HFE|XIY|PEK|ORD|FOE|
FOE|HJJ,|HJJ|CSX|PEK|ORD|FOE|
FOE|HKT,|HKT|KWE|PEK|ORD|FOE|
FOE|HRB,|HRB|PEK|ORD|FOE|
FOE|HZH,|HZH|CAN|PEK|ORD|FOE|
FOE|JIU,|JIU|CAN|PEK|ORD|FOE|
FOE|JJN,|JJN|PEK|ORD|FOE|
FOE|JNG,|JNG|CAN|PEK|ORD|FOE|
FOE|KHN,|KHN|DLC|PEK|ORD|FOE|
FOE|KIX,|KIX|SFO|ORD|FOE|
FOE|KOW,|KOW|PEK|ORD|FOE|
FOE|KTM,|KTM|IST|ORD|FOE|
FOE|KUL,|KUL|CAN|PEK|ORD|FOE|
FOE|KWE,|KWE|PEK|ORD|FOE|
FOE|KWL,|KWL|PEK|ORD|FOE|
FOE|LHW,|LHW|CGO|PEK|ORD|FOE|
FOE|LYA,|LYA|KHN|DLC|PEK|ORD|FOE|
FOE|LYG,|LYG|HSN|PEK|ORD|FOE|
FOE|LZH,|LZH|CAN|PEK|ORD|FOE|
FOE|MEL,|MEL|SYD|LAX|ORD|FOE|
FOE|MIG,|MIG|CSX|PEK|ORD|FOE|
FOE|MLE,|MLE|IST|ORD|FOE|
FOE|MNL,|MNL|XMN|PEK|ORD|FOE|
FOE|MXZ,|MXZ|CAN|PEK|ORD|FOE|
FOE|NAO,|NAO|PEK|ORD|FOE|
FOE|NGB,|NGB|PEK|ORD|FOE|
FOE|NKG,|NKG|DLC|PEK|ORD|FOE|
FOE|NNY,|NNY|CGO|PEK|ORD|FOE|
FOE|PEN,|PEN|CAN|PEK|ORD|FOE|
FOE|PER,|PER|CAN|PEK|ORD|FOE|
FOE|PNH,|PNH|CAN|PEK|ORD|FOE|
FOE|REP,|REP|CAN|PEK|ORD|FOE|
FOE|RGN,|RGN|CAN|PEK|ORD|FOE|
FOE|SGN,|SGN|CAN|PEK|ORD|FOE|
FOE|SHA,|SHA|PEK|ORD|FOE|
FOE|SIN,|SIN|HKG|ORD|FOE|
FOE|SVO,|SVO|URC|TSE|FRA|ORD|FOE|
FOE|SYX,|SYX|PEK|ORD|FOE|
FOE|TAO,|TAO|DLC|PEK|ORD|FOE|
FOE|TEN,|TEN|PEK|ORD|FOE|
FOE|TNA,|TNA|DLC|PEK|ORD|FOE|
FOE|TPE,|TPE|PVG|ORD|FOE|
FOE|TSN,|TSN|DLC|PEK|ORD|FOE|
FOE|TXN,|TXN|DLC|PEK|ORD|FOE|
FOE|TYN,|TYN|DAT|CIH|PEK|ORD|FOE|
FOE|WNZ,|WNZ|CGO|PEK|ORD|FOE|
FOE|WUX,|WUX|CAN|PEK|ORD|FOE|
FOE|XFN,|XFN|XMN|PEK|ORD|FOE|
FOE|XIY,|XIY|PEK|ORD|FOE|
FOE|XUZ,|XUZ|LYG|HSN|PEK|ORD|FOE|
FOE|YIH,|YIH|CKG|PEK|ORD|FOE|
FOE|YIW,|YIW|PEK|ORD|FOE|
FOE|YNT,|YNT|SHE|PEK|ORD|FOE|
FOE|YNZ,|YNZ|DLC|PEK|ORD|FOE|
FOE|YTY,|YTY|DLC|PEK|ORD|FOE|
FOE|ZHA,|ZHA|CAN|PEK|ORD|FOE|
FOE|ZYI,|ZYI|PEK|ORD|FOE|
FOE|BAV,|BAV|CGO|PEK|ORD|FOE|
FOE|CJU,|CJU|DLC|PEK|ORD|FOE|
FOE|DSN,|DSN|CGO|PEK|ORD|FOE|
FOE|HMI,|HMI|CGO|PEK|ORD|FOE|
FOE|INC,|INC|PEK|ORD|FOE|
FOE|KHH,|KHH|CGO|PEK|ORD|FOE|
FOE|UYN,|UYN|CGO|PEK|ORD|FOE|
FOE|XNN,|XNN|PEK|ORD|FOE|
FOE|ZUH,|ZUH|PEK|ORD|FOE|
FOE|YNJ,|YNJ|PEK|ORD|FOE|
FOE|DAT,|DAT|CIH|PEK|ORD|FOE|
FOE|JHG,|JHG|CKG|PEK|ORD|FOE|
FOE|LJG,|LJG|CKG|PEK|ORD|FOE|
FOE|LXA,|LXA|XIY|PEK|ORD|FOE|
FOE|YCU,|YCU|CSX|PEK|ORD|FOE|
FOE|LZO,|LZO|CSX|PEK|ORD|FOE|
FOE|MDG,|MDG|ICN|YVR|ORD|FOE|
FOE|NGO,|NGO|ICN|YVR|ORD|FOE|
FOE|TOY,|TOY|DLC|PEK|ORD|FOE|
FOE|MFM,|MFM|XMN|PEK|ORD|FOE|
FOE|TGO,|TGO|HET|DLC|PEK|ORD|FOE|
FOE|XIL,|XIL|HET|DLC|PEK|ORD|FOE|
FOE|HEK,|HEK|HRB|PEK|ORD|FOE|
