MSR|HEL,|HEL|IST|MSR|
MSR|HRG,|HRG|IST|MSR|
MSR|IFN,|IFN|IST|MSR|
MSR|ISE,|ISE|IST|MSR|
MSR|ISU,|ISU|IST|MSR|
MSR|JIB,|JIB|IST|MSR|
MSR|JRO,|JRO|IST|MSR|
MSR|KAN,|KAN|IST|MSR|
MSR|KBL,|KBL|IST|MSR|
MSR|KBP,|KBP|SAW|ESB|MSR|
MSR|KFS,|KFS|IST|MSR|
MSR|KHI,|KHI|IST|MSR|
MSR|KIV,|KIV|IST|MSR|
MSR|KRT,|KRT|IST|MSR|
MSR|KSH,|KSH|IST|MSR|
MSR|KVD,|KVD|IST|MSR|
MSR|KWI,|KWI|SAW|ESB|MSR|
MSR|KYA,|KYA|SAW|ESB|MSR|
MSR|KZN,|KZN|IST|MSR|
MSR|KZR,|KZR|IST|MSR|
MSR|LED,|LED|IST|MSR|
MSR|LEJ,|LEJ|IST|MSR|
MSR|LGW,|LGW|SAW|ESB|MSR|
MSR|LHE,|LHE|IST|MSR|
MSR|LIS,|LIS|IST|MSR|
MSR|LJU,|LJU|IST|MSR|
MSR|LOS,|LOS|IST|MSR|
MSR|LUX,|LUX|IST|MSR|
MSR|LWO,|LWO|IST|MSR|
MSR|LYS,|LYS|IST|MSR|
MSR|MAD,|MAD|IST|MSR|
MSR|MAN,|MAN|IST|MSR|
MSR|MED,|MED|IST|MSR|
MSR|MHD,|MHD|IST|MSR|
MSR|MLA,|MLA|SAW|ESB|MSR|
MSR|MRS,|MRS|IST|MSR|
MSR|MSQ,|MSQ|IST|MSR|
MSR|MXP,|MXP|IST|MSR|
MSR|MZH,|MZH|IST|MSR|
MSR|MZR,|MZR|IST|MSR|
MSR|NAJ,|NAJ|IST|MSR|
MSR|NAV,|NAV|IST|MSR|
MSR|NCE,|NCE|IST|MSR|
MSR|NIM,|NIM|IST|MSR|
MSR|NJF,|NJF|IST|MSR|
MSR|NSI,|NSI|IST|MSR|
MSR|NUE,|NUE|IST|MSR|
MSR|ODS,|ODS|IST|MSR|
MSR|ORN,|ORN|IST|MSR|
MSR|OTP,|OTP|IST|MSR|
MSR|PRG,|PRG|IST|MSR|
MSR|PRN,|PRN|IST|MSR|
MSR|RIX,|RIX|IST|MSR|
MSR|ROV,|ROV|IST|MSR|
MSR|RTM,|RTM|IST|MSR|
MSR|RUH,|RUH|IST|MSR|
MSR|SAH,|SAH|IST|MSR|
MSR|SJJ,|SJJ|IST|MSR|
MSR|SKG,|SKG|IST|MSR|
MSR|SKP,|SKP|IST|MSR|
MSR|SSH,|SSH|IST|MSR|
MSR|STR,|STR|IST|MSR|
MSR|SVX,|SVX|IST|MSR|
MSR|SYZ,|SYZ|IST|MSR|
MSR|SZG,|SZG|IST|MSR|
MSR|TBZ,|TBZ|IST|MSR|
MSR|TGD,|TGD|IST|MSR|
MSR|TIA,|TIA|IST|MSR|
MSR|TIF,|TIF|IST|MSR|
MSR|TIP,|TIP|IST|MSR|
MSR|TLL,|TLL|IST|MSR|
MSR|TLS,|TLS|IST|MSR|
MSR|TRN,|TRN|IST|MSR|
MSR|TUN,|TUN|IST|MSR|
MSR|TXL,|TXL|IST|MSR|
MSR|UFA,|UFA|IST|MSR|
MSR|VAS,|VAS|SAW|ESB|MSR|
