TKK|BLL,|BLL|IST|ICN|FUK|GUM|TKK|
TKK|ESB,|ESB|IST|ICN|FUK|GUM|TKK|
TKK|SAW,|SAW|TBS|URC|PEK|ICN|FUK|GUM|TKK|
TKK|HAM,|HAM|IST|ICN|FUK|GUM|TKK|
TKK|HRE,|HRE|ADD|IST|ICN|FUK|GUM|TKK|
TKK|JUB,|JUB|CAI|IST|ICN|FUK|GUM|TKK|
TKK|SSG,|SSG|DLA|IST|ICN|FUK|GUM|TKK|
TKK|BGW,|BGW|IST|ICN|FUK|GUM|TKK|
TKK|EBL,|EBL|IST|ICN|FUK|GUM|TKK|
TKK|VKO,|VKO|IST|ICN|FUK|GUM|TKK|
TKK|MCT,|MCT|IST|ICN|FUK|GUM|TKK|
TKK|AYT,|AYT|IST|ICN|FUK|GUM|TKK|
TKK|SCQ,|SCQ|BIO|IST|ICN|FUK|GUM|TKK|
TKK|AAL,|AAL|IST|ICN|FUK|GUM|TKK|
TKK|AOE,|AOE|BRU|IST|ICN|FUK|GUM|TKK|
TKK|JNB,|JNB|IST|ICN|FUK|GUM|TKK|
TKK|LBV,|LBV|DLA|IST|ICN|FUK|GUM|TKK|
TKK|ADA,|ADA|IST|ICN|FUK|GUM|TKK|
TKK|ADB,|ADB|IST|ICN|FUK|GUM|TKK|
TKK|ADF,|ADF|IST|ICN|FUK|GUM|TKK|
TKK|AJI,|AJI|IST|ICN|FUK|GUM|TKK|
TKK|BAL,|BAL|IST|ICN|FUK|GUM|TKK|
TKK|BJV,|BJV|IST|ICN|FUK|GUM|TKK|
TKK|CKZ,|CKZ|ESB|IST|ICN|FUK|GUM|TKK|
TKK|DIY,|DIY|IST|ICN|FUK|GUM|TKK|
TKK|ECN,|ECN|IST|ICN|FUK|GUM|TKK|
TKK|ERC,|ERC|IST|ICN|FUK|GUM|TKK|
TKK|ERZ,|ERZ|IST|ICN|FUK|GUM|TKK|
TKK|EZS,|EZS|IST|ICN|FUK|GUM|TKK|
TKK|GNY,|GNY|IST|ICN|FUK|GUM|TKK|
TKK|GZP,|GZP|ESB|IST|ICN|FUK|GUM|TKK|
TKK|GZT,|GZT|IST|ICN|FUK|GUM|TKK|
TKK|HTY,|HTY|IST|ICN|FUK|GUM|TKK|
TKK|KCM,|KCM|IST|ICN|FUK|GUM|TKK|
TKK|KSY,|KSY|IST|ICN|FUK|GUM|TKK|
TKK|MLX,|MLX|IST|ICN|FUK|GUM|TKK|
TKK|MQM,|MQM|IST|ICN|FUK|GUM|TKK|
TKK|MSR,|MSR|IST|ICN|FUK|GUM|TKK|
