MUC|TAO,|TAO|TYN|URC|IST|MUC|
MUC|TEN,|TEN|CAN|IST|MUC|
MUC|TNA,|TNA|URC|IST|MUC|
MUC|TPE,|TPE|URC|IST|MUC|
MUC|TSN,|TSN|HET|URC|IST|MUC|
MUC|TXN,|TXN|TYN|URC|IST|MUC|
MUC|TYN,|TYN|URC|IST|MUC|
MUC|WNZ,|WNZ|XIY|URC|IST|MUC|
MUC|WUX,|WUX|CAN|IST|MUC|
MUC|XFN,|XFN|CAN|IST|MUC|
MUC|XIY,|XIY|URC|IST|MUC|
MUC|XUZ,|XUZ|INC|URC|IST|MUC|
MUC|YIH,|YIH|CKG|URC|IST|MUC|
MUC|YIW,|YIW|URC|IST|MUC|
MUC|YNT,|YNT|SHE|PEK|IST|MUC|
MUC|YNZ,|YNZ|WUH|URC|IST|MUC|
MUC|YTY,|YTY|CGO|URC|IST|MUC|
MUC|ZHA,|ZHA|CAN|IST|MUC|
MUC|ZYI,|ZYI|CAN|IST|MUC|
MUC|BAV,|BAV|URC|IST|MUC|
MUC|CJU,|CJU|DLC|PEK|IST|MUC|
MUC|DSN,|DSN|CGO|URC|IST|MUC|
MUC|HMI,|HMI|URC|IST|MUC|
MUC|INC,|INC|URC|IST|MUC|
MUC|KHH,|KHH|WUH|URC|IST|MUC|
MUC|UYN,|UYN|XIY|URC|IST|MUC|
MUC|XNN,|XNN|URC|IST|MUC|
MUC|ZUH,|ZUH|KWE|URC|IST|MUC|
MUC|YNJ,|YNJ|PEK|IST|MUC|
MUC|DAT,|DAT|TYN|URC|IST|MUC|
MUC|JHG,|JHG|KMG|CTU|URC|IST|MUC|
MUC|LJG,|LJG|KMG|CTU|URC|IST|MUC|
MUC|LXA,|LXA|CKG|URC|IST|MUC|
MUC|YCU,|YCU|CKG|URC|IST|MUC|
MUC|LZO,|LZO|CSX|URC|IST|MUC|
MUC|MDG,|MDG|DLC|PEK|IST|MUC|
MUC|NGO,|NGO|ICN|IST|MUC|
MUC|TOY,|TOY|DLC|PEK|IST|MUC|
MUC|MFM,|MFM|XMN|CSX|URC|IST|MUC|
MUC|TGO,|TGO|HET|URC|IST|MUC|
MUC|XIL,|XIL|HET|URC|IST|MUC|
MUC|HEK,|HEK|HRB|PEK|IST|MUC|
MUC|KIJ,|KIJ|HRB|PEK|IST|MUC|
MUC|LDS,|LDS|HRB|PEK|IST|MUC|
MUC|OHE,|OHE|HRB|PEK|IST|MUC|
MUC|HSN,|HSN|LYG|XUZ|INC|URC|IST|MUC|
MUC|DLU,|DLU|KMG|CTU|URC|IST|MUC|
MUC|SYM,|SYM|KMG|CTU|URC|IST|MUC|
MUC|ZAT,|ZAT|KMG|CTU|URC|IST|MUC|
MUC|LUN,|LUN|NBO|IST|MUC|
MUC|AOG,|AOG|PEK|IST|MUC|
MUC|GMP,|GMP|PEK|IST|MUC|
MUC|ISB,|ISB|IST|MUC|
MUC|TAS,|TAS|IST|MUC|
MUC|WUS,|WUS|PEK|IST|MUC|
MUC|JMU,|JMU|PVG|IST|MUC|
MUC|NDG,|NDG|PVG|IST|MUC|
MUC|JXA,|JXA|SHE|PEK|IST|MUC|
MUC|PUS,|PUS|SHE|PEK|IST|MUC|
MUC|BKI,|BKI|SZX|CKG|URC|IST|MUC|
MUC|AKU,|AKU|URC|IST|MUC|
MUC|ALA,|ALA|IST|MUC|
MUC|ASB,|ASB|IST|MUC|
MUC|DNH,|DNH|URC|IST|MUC|
MUC|DYU,|DYU|IST|MUC|
MUC|FRU,|FRU|IST|MUC|
MUC|GYD,|GYD|IST|MUC|
MUC|HTN,|HTN|URC|IST|MUC|
MUC|IKA,|IKA|SAW|MUC|
MUC|KCA,|KCA|URC|IST|MUC|
MUC|KHG,|KHG|URC|IST|MUC|
MUC|KRL,|KRL|URC|IST|MUC|
MUC|KRY,|KRY|URC|IST|MUC|
MUC|LBD,|LBD|URC|IST|MUC|
MUC|NLT,|NLT|URC|IST|MUC|
MUC|OSS,|OSS|IST|MUC|
MUC|OVB,|OVB|IST|MUC|
MUC|TBS,|TBS|SAW|MUC|
MUC|TCG,|TCG|URC|IST|MUC|
MUC|TSE,|TSE|IST|MUC|
MUC|YIN,|YIN|URC|IST|MUC|
MUC|ENH,|ENH|WUH|URC|IST|MUC|
MUC|ENY,|ENY|XIY|URC|IST|MUC|
MUC|WXN,|WXN|XIY|URC|IST|MUC|
MUC|BLL,|BLL|IST|MUC|
MUC|ESB,|ESB|SAW|MUC|
MUC|SAW,|SAW|MUC|
MUC|HAM,|HAM|IST|MUC|
MUC|HRE,|HRE|ADD|IST|MUC|
MUC|JUB,|JUB|CAI|IST|MUC|
MUC|SSG,|SSG|DLA|IST|MUC|
MUC|BGW,|BGW|IST|MUC|
MUC|EBL,|EBL|IST|MUC|
MUC|VKO,|VKO|IST|MUC|
MUC|MCT,|MCT|IST|MUC|
MUC|AYT,|AYT|IST|MUC|
MUC|SCQ,|SCQ|BIO|IST|MUC|
MUC|AAL,|AAL|IST|MUC|
MUC|AOE,|AOE|BRU|IST|MUC|
MUC|JNB,|JNB|IST|MUC|
MUC|LBV,|LBV|DLA|IST|MUC|
MUC|ADA,|ADA|IST|MUC|
MUC|ADB,|ADB|IST|MUC|
MUC|ADF,|ADF|IST|MUC|
MUC|AJI,|AJI|IST|MUC|
MUC|BAL,|BAL|ESB|SAW|MUC|
MUC|BJV,|BJV|IST|MUC|
MUC|CKZ,|CKZ|ESB|SAW|MUC|
MUC|DIY,|DIY|SAW|MUC|
MUC|ECN,|ECN|IST|MUC|
MUC|ERC,|ERC|IST|MUC|
MUC|ERZ,|ERZ|SAW|MUC|
MUC|EZS,|EZS|SAW|MUC|
MUC|GNY,|GNY|IST|MUC|
MUC|GZP,|GZP|ESB|SAW|MUC|
MUC|GZT,|GZT|SAW|MUC|
MUC|HTY,|HTY|SAW|MUC|
MUC|KCM,|KCM|IST|MUC|
MUC|KSY,|KSY|SAW|MUC|
MUC|MLX,|MLX|ESB|SAW|MUC|
MUC|MQM,|MQM|SAW|MUC|
MUC|MSR,|MSR|ESB|SAW|MUC|
MUC|TEQ,|TEQ|ESB|SAW|MUC|
MUC|TZX,|TZX|SAW|MUC|
MUC|VAN,|VAN|SAW|MUC|
MUC|ULN,|ULN|FRU|IST|MUC|
MUC|HIJ,|HIJ|ICN|IST|MUC|
MUC|VVO,|VVO|ICN|IST|MUC|
MUC|ACC,|ACC|IST|MUC|
MUC|AER,|AER|IST|MUC|
MUC|AGP,|AGP|IST|MUC|
MUC|ALG,|ALG|IST|MUC|
MUC|AMM,|AMM|IST|MUC|
MUC|AQJ,|AQJ|IST|MUC|
MUC|ARN,|ARN|IST|MUC|
MUC|ASR,|ASR|SAW|MUC|
MUC|ATH,|ATH|IST|MUC|
MUC|BAH,|BAH|IST|MUC|
MUC|BEG,|BEG|IST|MUC|
MUC|BEN,|BEN|IST|MUC|
MUC|BEY,|BEY|IST|MUC|
MUC|BHX,|BHX|IST|MUC|
MUC|BIO,|BIO|IST|MUC|
MUC|BLQ,|BLQ|IST|MUC|
MUC|BOM,|BOM|IST|MUC|
MUC|BRE,|BRE|IST|MUC|
MUC|BSL,|BSL|IST|MUC|
MUC|BSR,|BSR|IST|MUC|
MUC|BUD,|BUD|IST|MUC|
MUC|BUS,|BUS|IST|MUC|
MUC|CAI,|CAI|IST|MUC|
MUC|CGN,|CGN|IST|MUC|
MUC|CMN,|CMN|IST|MUC|
MUC|CND,|CND|IST|MUC|
MUC|DAR,|DAR|IST|MUC|
MUC|DLM,|DLM|IST|MUC|
MUC|DMM,|DMM|IST|MUC|
MUC|DNK,|DNK|IST|MUC|
MUC|DNZ,|DNZ|IST|MUC|
MUC|DOK,|DOK|IST|MUC|
MUC|DUS,|DUS|IST|MUC|
MUC|EDI,|EDI|IST|MUC|
MUC|ELQ,|ELQ|IST|MUC|
MUC|FDH,|FDH|IST|MUC|
MUC|GOA,|GOA|IST|MUC|
MUC|GOT,|GOT|IST|MUC|
MUC|HAJ,|HAJ|IST|MUC|
MUC|HBE,|HBE|IST|MUC|
MUC|HEL,|HEL|IST|MUC|
MUC|HRG,|HRG|IST|MUC|
