JFK|GMP,|GMP|PEK|JFK|
JFK|ISB,|ISB|IST|JFK|
JFK|TAS,|TAS|IST|JFK|
JFK|WUS,|WUS|PEK|JFK|
JFK|JMU,|JMU|PVG|ICN|JFK|
JFK|NDG,|NDG|PVG|ICN|JFK|
JFK|JXA,|JXA|SHE|PEK|JFK|
JFK|PUS,|PUS|SHE|PEK|JFK|
JFK|BKI,|BKI|SZX|PEK|JFK|
JFK|AKU,|AKU|URC|TSE|FRA|JFK|
JFK|ALA,|ALA|TSE|FRA|JFK|
JFK|ASB,|ASB|GYD|FRA|JFK|
JFK|DNH,|DNH|URC|TSE|FRA|JFK|
JFK|DYU,|DYU|IST|JFK|
JFK|FRU,|FRU|IST|JFK|
JFK|GYD,|GYD|FRA|JFK|
JFK|HTN,|HTN|URC|TSE|FRA|JFK|
JFK|IKA,|IKA|SAW|FRA|JFK|
JFK|KCA,|KCA|URC|TSE|FRA|JFK|
JFK|KHG,|KHG|URC|TSE|FRA|JFK|
JFK|KRL,|KRL|URC|TSE|FRA|JFK|
JFK|KRY,|KRY|URC|TSE|FRA|JFK|
JFK|LBD,|LBD|URC|TSE|FRA|JFK|
JFK|NLT,|NLT|URC|TSE|FRA|JFK|
JFK|OSS,|OSS|IST|JFK|
JFK|OVB,|OVB|IST|JFK|
JFK|TBS,|TBS|SAW|FRA|JFK|
JFK|TCG,|TCG|URC|TSE|FRA|JFK|
JFK|TSE,|TSE|FRA|JFK|
JFK|YIN,|YIN|URC|TSE|FRA|JFK|
JFK|ENH,|ENH|WUH|PEK|JFK|
JFK|ENY,|ENY|XIY|PEK|JFK|
JFK|WXN,|WXN|XIY|PEK|JFK|
JFK|BLL,|BLL|IST|JFK|
JFK|ESB,|ESB|VIE|JFK|
JFK|SAW,|SAW|FRA|JFK|
JFK|HAM,|HAM|EWR|IAD|JFK|
JFK|HRE,|HRE|ADD|JED|FRA|JFK|
JFK|JUB,|JUB|CAI|JFK|
JFK|SSG,|SSG|DLA|BRU|JFK|
JFK|BGW,|BGW|ESB|VIE|JFK|
JFK|EBL,|EBL|IST|JFK|
JFK|VKO,|VKO|IST|JFK|
JFK|MCT,|MCT|IST|JFK|
JFK|AYT,|AYT|IST|JFK|
JFK|SCQ,|SCQ|BIO|IST|JFK|
JFK|AAL,|AAL|IST|JFK|
JFK|AOE,|AOE|BRU|JFK|
JFK|JNB,|JNB|JFK|
JFK|LBV,|LBV|DLA|BRU|JFK|
JFK|ADA,|ADA|SAW|FRA|JFK|
JFK|ADB,|ADB|IST|JFK|
JFK|ADF,|ADF|ESB|VIE|JFK|
JFK|AJI,|AJI|ESB|VIE|JFK|
JFK|BAL,|BAL|ESB|VIE|JFK|
JFK|BJV,|BJV|IST|JFK|
JFK|CKZ,|CKZ|ESB|VIE|JFK|
JFK|DIY,|DIY|ESB|VIE|JFK|
JFK|ECN,|ECN|IST|JFK|
JFK|ERC,|ERC|ESB|VIE|JFK|
JFK|ERZ,|ERZ|ESB|VIE|JFK|
JFK|EZS,|EZS|ESB|VIE|JFK|
JFK|GNY,|GNY|ESB|VIE|JFK|
JFK|GZP,|GZP|ESB|VIE|JFK|
JFK|GZT,|GZT|ESB|VIE|JFK|
JFK|HTY,|HTY|SAW|FRA|JFK|
JFK|KCM,|KCM|ESB|VIE|JFK|
JFK|KSY,|KSY|ESB|VIE|JFK|
JFK|MLX,|MLX|ESB|VIE|JFK|
JFK|MQM,|MQM|ESB|VIE|JFK|
JFK|MSR,|MSR|ESB|VIE|JFK|
JFK|TEQ,|TEQ|ESB|VIE|JFK|
JFK|TZX,|TZX|ESB|VIE|JFK|
JFK|VAN,|VAN|ESB|VIE|JFK|
JFK|ULN,|ULN|FRU|IST|JFK|
JFK|HIJ,|HIJ|ICN|JFK|
JFK|VVO,|VVO|ICN|JFK|
JFK|ACC,|ACC|IST|JFK|
JFK|AER,|AER|IST|JFK|
JFK|AGP,|AGP|IST|JFK|
JFK|ALG,|ALG|IST|JFK|
JFK|AMM,|AMM|IST|JFK|
JFK|AQJ,|AQJ|IST|JFK|
JFK|ARN,|ARN|EWR|IAD|JFK|
JFK|ASR,|ASR|SAW|FRA|JFK|
JFK|ATH,|ATH|IST|JFK|
JFK|BAH,|BAH|IST|JFK|
JFK|BEG,|BEG|IST|JFK|
JFK|BEN,|BEN|IST|JFK|
JFK|BEY,|BEY|IST|JFK|
JFK|BHX,|BHX|EWR|IAD|JFK|
JFK|BIO,|BIO|IST|JFK|
JFK|BLQ,|BLQ|IST|JFK|
JFK|BOM,|BOM|IST|JFK|
JFK|BRE,|BRE|IST|JFK|
JFK|BSL,|BSL|IST|JFK|
JFK|BSR,|BSR|IST|JFK|
JFK|BUD,|BUD|IST|JFK|
JFK|BUS,|BUS|IST|JFK|
JFK|CAI,|CAI|JFK|
JFK|CGN,|CGN|IST|JFK|
JFK|CMN,|CMN|IST|JFK|
JFK|CND,|CND|IST|JFK|
JFK|DAR,|DAR|NBO|ZRH|JFK|
JFK|DLM,|DLM|IST|JFK|
JFK|DMM,|DMM|IST|JFK|
JFK|DNK,|DNK|IST|JFK|
JFK|DNZ,|DNZ|IST|JFK|
JFK|DOK,|DOK|IST|JFK|
JFK|DUS,|DUS|EWR|IAD|JFK|
JFK|EDI,|EDI|EWR|IAD|JFK|
JFK|ELQ,|ELQ|IST|JFK|
JFK|FDH,|FDH|IST|JFK|
JFK|GOA,|GOA|IST|JFK|
JFK|GOT,|GOT|BRU|JFK|
JFK|HAJ,|HAJ|BRU|JFK|
JFK|HBE,|HBE|IST|JFK|
JFK|HEL,|HEL|IST|JFK|
JFK|HRG,|HRG|IST|JFK|
JFK|IFN,|IFN|IST|JFK|
JFK|ISE,|ISE|IST|JFK|
JFK|ISU,|ISU|IST|JFK|
JFK|JIB,|JIB|IST|JFK|
JFK|JRO,|JRO|IST|JFK|
JFK|KAN,|KAN|IST|JFK|
JFK|KBL,|KBL|IST|JFK|
JFK|KBP,|KBP|IST|JFK|
JFK|KFS,|KFS|IST|JFK|
JFK|KHI,|KHI|IST|JFK|
JFK|KIV,|KIV|IST|JFK|
JFK|KRT,|KRT|IST|JFK|
JFK|KSH,|KSH|IST|JFK|
JFK|KVD,|KVD|IST|JFK|
JFK|KWI,|KWI|SAW|FRA|JFK|
JFK|KYA,|KYA|IST|JFK|
JFK|KZN,|KZN|IST|JFK|
JFK|KZR,|KZR|IST|JFK|
JFK|LED,|LED|VIE|JFK|
JFK|LEJ,|LEJ|IST|JFK|
JFK|LGW,|LGW|IST|JFK|
JFK|LHE,|LHE|IST|JFK|
JFK|LIS,|LIS|EWR|IAD|JFK|
JFK|LJU,|LJU|IST|JFK|
JFK|LOS,|LOS|FRA|JFK|
JFK|LUX,|LUX|IST|JFK|
JFK|LWO,|LWO|IST|JFK|
JFK|LYS,|LYS|IST|JFK|
JFK|MAD,|MAD|EWR|IAD|JFK|
JFK|MAN,|MAN|IAD|JFK|
JFK|MED,|MED|IST|JFK|
JFK|MHD,|MHD|IST|JFK|
JFK|MLA,|MLA|IST|JFK|
JFK|MRS,|MRS|IST|JFK|
JFK|MSQ,|MSQ|IST|JFK|
JFK|MXP,|MXP|EWR|IAD|JFK|
JFK|MZH,|MZH|IST|JFK|
JFK|MZR,|MZR|IST|JFK|
JFK|NAJ,|NAJ|IST|JFK|
JFK|NAV,|NAV|IST|JFK|
JFK|NCE,|NCE|IST|JFK|
JFK|NIM,|NIM|IST|JFK|
JFK|NJF,|NJF|IST|JFK|
JFK|NSI,|NSI|BRU|JFK|
JFK|NUE,|NUE|IST|JFK|
JFK|ODS,|ODS|IST|JFK|
JFK|ORN,|ORN|IST|JFK|
JFK|OTP,|OTP|IST|JFK|
JFK|PRG,|PRG|BRU|JFK|
JFK|PRN,|PRN|IST|JFK|
JFK|RIX,|RIX|IST|JFK|
JFK|ROV,|ROV|IST|JFK|
JFK|RTM,|RTM|IST|JFK|
JFK|RUH,|RUH|IST|JFK|
JFK|SAH,|SAH|IST|JFK|
JFK|SJJ,|SJJ|IST|JFK|
JFK|SKG,|SKG|IST|JFK|
JFK|SKP,|SKP|IST|JFK|
JFK|SSH,|SSH|IST|JFK|
JFK|STR,|STR|EWR|IAD|JFK|
JFK|SVX,|SVX|IST|JFK|
JFK|SYZ,|SYZ|IST|JFK|
JFK|SZG,|SZG|IST|JFK|
JFK|TBZ,|TBZ|IST|JFK|
JFK|TGD,|TGD|IST|JFK|
JFK|TIA,|TIA|IST|JFK|
JFK|TIF,|TIF|IST|JFK|
JFK|TIP,|TIP|IST|JFK|
JFK|TLL,|TLL|VNO|FRA|JFK|
JFK|TLS,|TLS|IST|JFK|
JFK|TRN,|TRN|IST|JFK|
JFK|TUN,|TUN|IST|JFK|
JFK|TXL,|TXL|EWR|IAD|JFK|
JFK|UFA,|UFA|IST|JFK|
JFK|VAS,|VAS|SAW|FRA|JFK|
JFK|VCE,|VCE|IST|JFK|
JFK|YNB,|YNB|IST|JFK|
JFK|ZAG,|ZAG|IST|JFK|
JFK|MGQ,|MGQ|JIB|IST|JFK|
JFK|CPT,|CPT|JNB|JFK|
JFK|MBA,|MBA|JRO|IST|JFK|
JFK|NDJ,|NDJ|KAN|IST|JFK|
JFK|CMB,|CMB|MLE|IST|JFK|
JFK|ADE,|ADE|SAH|IST|JFK|
JFK|ASF,|ASF|SAW|FRA|JFK|
JFK|STW,|STW|SAW|FRA|JFK|
JFK|LFW,|LFW|ABJ|BRU|JFK|
JFK|CEC,|CEC|ACV|SMF|ORD|YYZ|JFK|
JFK|SMF,|SMF|ORD|YYZ|JFK|
JFK|CDR,|CDR|AIA|DEN|IAD|JFK|
JFK|FMN,|FMN|DEN|IAD|JFK|
JFK|JST,|JST|IAD|JFK|
JFK|JHW,|JHW|CLE|IAD|JFK|
JFK|SHD,|SHD|IAD|JFK|
JFK|PTY,|PTY|JFK|
JFK|FNA,|FNA|BRU|JFK|
JFK|SXB,|SXB|BRU|JFK|
JFK|ACV,|ACV|SMF|ORD|YYZ|JFK|
JFK|MGW,|MGW|IAD|JFK|
JFK|ALB,|ALB|IAD|JFK|
JFK|AUS,|AUS|IAD|JFK|
JFK|BFD,|BFD|CLE|IAD|JFK|
JFK|BUF,|BUF|IAD|JFK|
JFK|CHS,|CHS|IAD|JFK|
JFK|DAY,|DAY|IAD|JFK|
JFK|DUJ,|DUJ|CLE|IAD|JFK|
JFK|ERI,|ERI|CLE|IAD|JFK|
JFK|FKL,|FKL|CLE|IAD|JFK|
JFK|FNT,|FNT|CLE|IAD|JFK|
JFK|GRR,|GRR|IAD|JFK|
JFK|GSP,|GSP|IAD|JFK|
JFK|PBI,|PBI|TPA|IAD|JFK|
JFK|PKB,|PKB|CLE|IAD|JFK|
JFK|RIC,|RIC|IAD|JFK|
JFK|SDF,|SDF|IAD|JFK|
JFK|GUM,|GUM|NRT|JFK|
JFK|WRL,|WRL|CYS|DEN|IAD|JFK|
JFK|LBL,|JFK|
JFK|ABQ,|ABQ|MCI|IAD|JFK|
JFK|AIA,|AIA|DEN|IAD|JFK|
JFK|ALS,|ALS|DEN|IAD|JFK|
JFK|AMA,|AMA|DAL|STL|IAD|JFK|
JFK|ANC,|ANC|ORD|YYZ|JFK|
JFK|ASE,|ASE|DEN|IAD|JFK|
JFK|BFL,|BFL|DEN|IAD|JFK|
JFK|BHM,|BHM|BWI|ORF|IAD|JFK|
JFK|BIL,|BIL|DEN|IAD|JFK|
JFK|BIS,|BIS|DEN|IAD|JFK|
JFK|BOI,|BOI|ORD|YYZ|JFK|
JFK|BUR,|BUR|LAS|IAD|JFK|
JFK|BZN,|BZN|ORD|YYZ|JFK|
JFK|CID,|CID|ORD|YYZ|JFK|
JFK|COD,|COD|DEN|IAD|JFK|
JFK|COS,|COS|IAD|JFK|
JFK|CPR,|CPR|DEN|IAD|JFK|
JFK|CYS,|CYS|DEN|IAD|JFK|
JFK|DIK,|DIK|DEN|IAD|JFK|
JFK|DRO,|DRO|DEN|IAD|JFK|
JFK|DSM,|DSM|ORD|YYZ|JFK|
JFK|EGE,|EGE|DEN|IAD|JFK|
JFK|ELP,|ELP|DAL|STL|IAD|JFK|
JFK|EUG,|EUG|PDX|ORD|YYZ|JFK|
JFK|FAR,|FAR|ORD|YYZ|JFK|
JFK|FAT,|FAT|DEN|IAD|JFK|
