CLT|RIX,|RIX|IST|BHX|EWR|CLT|
CLT|ROV,|ROV|IST|BHX|EWR|CLT|
CLT|RTM,|RTM|IST|BHX|EWR|CLT|
CLT|RUH,|RUH|IST|BHX|EWR|CLT|
CLT|SAH,|SAH|IST|BHX|EWR|CLT|
CLT|SJJ,|SJJ|IST|BHX|EWR|CLT|
CLT|SKG,|SKG|IST|BHX|EWR|CLT|
CLT|SKP,|SKP|IST|BHX|EWR|CLT|
CLT|SSH,|SSH|IST|BHX|EWR|CLT|
CLT|STR,|STR|EWR|CLT|
CLT|SVX,|SVX|IST|BHX|EWR|CLT|
CLT|SYZ,|SYZ|IST|BHX|EWR|CLT|
CLT|SZG,|SZG|IST|BHX|EWR|CLT|
CLT|TBZ,|TBZ|IST|BHX|EWR|CLT|
CLT|TGD,|TGD|IST|BHX|EWR|CLT|
CLT|TIA,|TIA|IST|BHX|EWR|CLT|
CLT|TIF,|TIF|IST|BHX|EWR|CLT|
CLT|TIP,|TIP|IST|BHX|EWR|CLT|
CLT|TLL,|TLL|VNO|CPH|YYZ|CLT|
CLT|TLS,|TLS|IST|BHX|EWR|CLT|
CLT|TRN,|TRN|IST|BHX|EWR|CLT|
CLT|TUN,|TUN|IST|BHX|EWR|CLT|
CLT|TXL,|TXL|EWR|CLT|
