GSO|KWL,|KWL|PEK|IAD|GSO|
GSO|LHW,|LHW|CGO|PEK|IAD|GSO|
GSO|LYA,|LYA|KHN|DLC|PEK|IAD|GSO|
GSO|LYG,|LYG|HSN|PEK|IAD|GSO|
GSO|LZH,|LZH|CAN|PEK|IAD|GSO|
GSO|MEL,|MEL|SYD|LAX|ORD|GSO|
GSO|MIG,|MIG|CSX|PEK|IAD|GSO|
GSO|MLE,|MLE|IST|BHX|EWR|GSO|
GSO|MNL,|MNL|XMN|PEK|IAD|GSO|
GSO|MXZ,|MXZ|CAN|PEK|IAD|GSO|
GSO|NAO,|NAO|PEK|IAD|GSO|
GSO|NGB,|NGB|PEK|IAD|GSO|
GSO|NKG,|NKG|DLC|PEK|IAD|GSO|
GSO|NNY,|NNY|CGO|PEK|IAD|GSO|
GSO|PEN,|PEN|CAN|PEK|IAD|GSO|
GSO|PER,|PER|CAN|PEK|IAD|GSO|
GSO|PNH,|PNH|CAN|PEK|IAD|GSO|
GSO|REP,|REP|CAN|PEK|IAD|GSO|
GSO|RGN,|RGN|CAN|PEK|IAD|GSO|
GSO|SGN,|SGN|CAN|PEK|IAD|GSO|
GSO|SHA,|SHA|PEK|IAD|GSO|
GSO|SIN,|SIN|CAN|PEK|IAD|GSO|
GSO|SVO,|SVO|URC|TSE|FRA|EWR|GSO|
GSO|SYX,|SYX|PEK|IAD|GSO|
GSO|TAO,|TAO|DLC|PEK|IAD|GSO|
GSO|TEN,|TEN|PEK|IAD|GSO|
GSO|TNA,|TNA|DLC|PEK|IAD|GSO|
GSO|TPE,|TPE|PVG|ORD|GSO|
GSO|TSN,|TSN|DLC|PEK|IAD|GSO|
GSO|TXN,|TXN|DLC|PEK|IAD|GSO|
GSO|TYN,|TYN|DAT|CIH|PEK|IAD|GSO|
GSO|WNZ,|WNZ|CGO|PEK|IAD|GSO|
GSO|WUX,|WUX|CAN|PEK|IAD|GSO|
GSO|XFN,|XFN|XMN|PEK|IAD|GSO|
GSO|XIY,|XIY|PEK|IAD|GSO|
