FUK|HMI,|HMI|CGO|ICN|FUK|
FUK|INC,|INC|PEK|ICN|FUK|
FUK|KHH,|KHH|WUH|ICN|FUK|
FUK|UYN,|UYN|CGO|ICN|FUK|
FUK|XNN,|XNN|PEK|ICN|FUK|
FUK|ZUH,|ZUH|PVG|ICN|FUK|
FUK|YNJ,|YNJ|ICN|FUK|
FUK|DAT,|DAT|TYN|DLC|ICN|FUK|
FUK|JHG,|JHG|KMG|CAN|FUK|
FUK|LJG,|LJG|CKG|CGO|ICN|FUK|
FUK|LXA,|LXA|XIY|DLC|ICN|FUK|
FUK|YCU,|YCU|CSX|ICN|FUK|
FUK|LZO,|LZO|CSX|ICN|FUK|
FUK|MDG,|MDG|ICN|FUK|
FUK|NGO,|NGO|ICN|FUK|
FUK|TOY,|TOY|DLC|ICN|FUK|
FUK|MFM,|MFM|XMN|CAN|FUK|
FUK|TGO,|TGO|HET|DLC|ICN|FUK|
FUK|XIL,|XIL|HET|DLC|ICN|FUK|
FUK|HEK,|HEK|HRB|ICN|FUK|
FUK|KIJ,|KIJ|HRB|ICN|FUK|
FUK|LDS,|LDS|HRB|ICN|FUK|
FUK|OHE,|OHE|HRB|ICN|FUK|
FUK|HSN,|HSN|PEK|ICN|FUK|
FUK|DLU,|DLU|KMG|CAN|FUK|
FUK|SYM,|SYM|KMG|CAN|FUK|
FUK|ZAT,|ZAT|KMG|CAN|FUK|
FUK|LUN,|LUN|NBO|CAN|FUK|
FUK|AOG,|AOG|PEK|ICN|FUK|
FUK|GMP,|GMP|PEK|ICN|FUK|
FUK|ISB,|ISB|PEK|ICN|FUK|
FUK|TAS,|TAS|PEK|ICN|FUK|
FUK|WUS,|WUS|PEK|ICN|FUK|
FUK|JMU,|JMU|PVG|ICN|FUK|
FUK|NDG,|NDG|PVG|ICN|FUK|
FUK|JXA,|JXA|SHE|FUK|
FUK|PUS,|PUS|SHE|FUK|
FUK|BKI,|BKI|SZX|PVG|ICN|FUK|
FUK|AKU,|AKU|URC|PEK|ICN|FUK|
FUK|ALA,|ALA|URC|PEK|ICN|FUK|
FUK|ASB,|ASB|URC|PEK|ICN|FUK|
FUK|DNH,|DNH|XIY|DLC|ICN|FUK|
FUK|DYU,|DYU|URC|PEK|ICN|FUK|
FUK|FRU,|FRU|URC|PEK|ICN|FUK|
FUK|GYD,|GYD|URC|PEK|ICN|FUK|
FUK|HTN,|HTN|URC|PEK|ICN|FUK|
FUK|IKA,|IKA|URC|PEK|ICN|FUK|
FUK|KCA,|KCA|URC|PEK|ICN|FUK|
FUK|KHG,|KHG|URC|PEK|ICN|FUK|
FUK|KRL,|KRL|URC|PEK|ICN|FUK|
FUK|KRY,|KRY|URC|PEK|ICN|FUK|
FUK|LBD,|LBD|URC|PEK|ICN|FUK|
FUK|NLT,|NLT|URC|PEK|ICN|FUK|
FUK|OSS,|OSS|URC|PEK|ICN|FUK|
FUK|OVB,|OVB|URC|PEK|ICN|FUK|
FUK|TBS,|TBS|URC|PEK|ICN|FUK|
FUK|TCG,|TCG|URC|PEK|ICN|FUK|
FUK|TSE,|TSE|URC|PEK|ICN|FUK|
FUK|YIN,|YIN|URC|PEK|ICN|FUK|
FUK|ENH,|ENH|WUH|ICN|FUK|
FUK|ENY,|ENY|XIY|DLC|ICN|FUK|
FUK|WXN,|WXN|XIY|DLC|ICN|FUK|
FUK|BLL,|BLL|IST|ICN|FUK|
FUK|ESB,|ESB|IST|ICN|FUK|
FUK|SAW,|SAW|TBS|URC|PEK|ICN|FUK|
FUK|HAM,|HAM|IST|ICN|FUK|
FUK|HRE,|HRE|ADD|IST|ICN|FUK|
FUK|JUB,|JUB|CAI|IST|ICN|FUK|
FUK|SSG,|SSG|DLA|IST|ICN|FUK|
FUK|BGW,|BGW|IST|ICN|FUK|
FUK|EBL,|EBL|IST|ICN|FUK|
FUK|VKO,|VKO|IST|ICN|FUK|
FUK|MCT,|MCT|IST|ICN|FUK|
FUK|AYT,|AYT|IST|ICN|FUK|
FUK|SCQ,|SCQ|BIO|IST|ICN|FUK|
FUK|AAL,|AAL|IST|ICN|FUK|
FUK|AOE,|AOE|BRU|IST|ICN|FUK|
FUK|JNB,|JNB|IST|ICN|FUK|
FUK|LBV,|LBV|DLA|IST|ICN|FUK|
FUK|ADA,|ADA|IST|ICN|FUK|
FUK|ADB,|ADB|IST|ICN|FUK|
FUK|ADF,|ADF|IST|ICN|FUK|
FUK|AJI,|AJI|IST|ICN|FUK|
FUK|BAL,|BAL|IST|ICN|FUK|
FUK|BJV,|BJV|IST|ICN|FUK|
FUK|CKZ,|CKZ|ESB|IST|ICN|FUK|
FUK|DIY,|DIY|IST|ICN|FUK|
FUK|ECN,|ECN|IST|ICN|FUK|
FUK|ERC,|ERC|IST|ICN|FUK|
FUK|ERZ,|ERZ|IST|ICN|FUK|
FUK|EZS,|EZS|IST|ICN|FUK|
FUK|GNY,|GNY|IST|ICN|FUK|
FUK|GZP,|GZP|ESB|IST|ICN|FUK|
FUK|GZT,|GZT|IST|ICN|FUK|
FUK|HTY,|HTY|IST|ICN|FUK|
FUK|KCM,|KCM|IST|ICN|FUK|
FUK|KSY,|KSY|IST|ICN|FUK|
