BOG|ACC,|ACC|IST|ZRH|MIA|BOG|
BOG|AER,|AER|IST|ZRH|MIA|BOG|
BOG|AGP,|AGP|IST|ZRH|MIA|BOG|
BOG|ALG,|ALG|IST|ZRH|MIA|BOG|
BOG|AMM,|AMM|IST|ZRH|MIA|BOG|
BOG|AQJ,|AQJ|IST|ZRH|MIA|BOG|
BOG|ARN,|ARN|EWR|BOG|
BOG|ASR,|ASR|IST|ZRH|MIA|BOG|
BOG|ATH,|ATH|IST|ZRH|MIA|BOG|
BOG|BAH,|BAH|IST|ZRH|MIA|BOG|
BOG|BEG,|BEG|IST|ZRH|MIA|BOG|
BOG|BEN,|BEN|IST|ZRH|MIA|BOG|
BOG|BEY,|BEY|IST|ZRH|MIA|BOG|
BOG|BHX,|BHX|EWR|BOG|
BOG|BIO,|BIO|IST|ZRH|MIA|BOG|
BOG|BLQ,|BLQ|IST|ZRH|MIA|BOG|
BOG|BOM,|BOM|EWR|BOG|
BOG|BRE,|BRE|IST|ZRH|MIA|BOG|
BOG|BSL,|BSL|IST|ZRH|MIA|BOG|
BOG|BSR,|BSR|IST|ZRH|MIA|BOG|
BOG|BUD,|BUD|IST|ZRH|MIA|BOG|
BOG|BUS,|BUS|IST|ZRH|MIA|BOG|
BOG|CAI,|CAI|JFK|BOG|
BOG|CGN,|CGN|IST|ZRH|MIA|BOG|
BOG|CMN,|CMN|IST|ZRH|MIA|BOG|
BOG|CND,|CND|IST|ZRH|MIA|BOG|
BOG|DAR,|DAR|NBO|ZRH|MIA|BOG|
BOG|DLM,|DLM|IST|ZRH|MIA|BOG|
BOG|DMM,|DMM|IST|ZRH|MIA|BOG|
BOG|DNK,|DNK|IST|ZRH|MIA|BOG|
BOG|DNZ,|DNZ|IST|ZRH|MIA|BOG|
BOG|DOK,|DOK|IST|ZRH|MIA|BOG|
BOG|DUS,|DUS|EWR|BOG|
BOG|EDI,|EDI|EWR|BOG|
BOG|ELQ,|ELQ|IST|ZRH|MIA|BOG|
BOG|FDH,|FDH|IST|ZRH|MIA|BOG|
