MBA|SAN,|SAN|LAX|IST|MBA|
MBA|SJO,|SJO|EWR|BHX|IST|MBA|
MBA|STL,|STL|ORD|IST|MBA|
MBA|SYR,|SYR|EWR|BHX|IST|MBA|
MBA|TLV,|TLV|IST|MBA|
MBA|TPA,|TPA|EWR|BHX|IST|MBA|
MBA|UVF,|UVF|EWR|BHX|IST|MBA|
MBA|VIE,|VIE|IST|MBA|
MBA|YAM,|YAM|YYZ|IST|MBA|
MBA|YGK,|YGK|YYZ|IST|MBA|
MBA|YQG,|YQG|YYZ|IST|MBA|
MBA|YSB,|YSB|YYZ|IST|MBA|
MBA|YTS,|YTS|YYZ|IST|MBA|
MBA|YYB,|YYB|YYZ|IST|MBA|
MBA|YZR,|YZR|YYZ|IST|MBA|
MBA|CAN,|CAN|IST|MBA|
MBA|URC,|URC|IST|MBA|
MBA|CTU,|CTU|URC|IST|MBA|
MBA|HGH,|HGH|URC|IST|MBA|
MBA|XMN,|XMN|CSX|URC|IST|MBA|
MBA|CGO,|CGO|URC|IST|MBA|
MBA|CSX,|CSX|URC|IST|MBA|
MBA|SHE,|SHE|PEK|IST|MBA|
MBA|SJW,|SJW|URC|IST|MBA|
MBA|WUH,|WUH|URC|IST|MBA|
MBA|SZX,|SZX|CKG|URC|IST|MBA|
MBA|CKG,|CKG|URC|IST|MBA|
MBA|KMG,|KMG|CTU|URC|IST|MBA|
MBA|FOC,|FOC|XIY|URC|IST|MBA|
MBA|NNG,|NNG|KWE|URC|IST|MBA|
MBA|SWA,|SWA|CAN|IST|MBA|
MBA|ACX,|ACX|CAN|IST|MBA|
MBA|AQG,|AQG|CAN|IST|MBA|
MBA|AVA,|AVA|CAN|IST|MBA|
MBA|BFJ,|BFJ|CAN|IST|MBA|
MBA|BHY,|BHY|CKG|URC|IST|MBA|
MBA|BNE,|BNE|BKK|IST|MBA|
MBA|CGD,|CGD|PEK|IST|MBA|
MBA|CGK,|CGK|SIN|IST|MBA|
MBA|CGQ,|CGQ|HET|URC|IST|MBA|
MBA|CIH,|CIH|PEK|IST|MBA|
MBA|CNX,|CNX|CAN|IST|MBA|
MBA|CZX,|CZX|TYN|URC|IST|MBA|
MBA|DAC,|DAC|IST|MBA|
MBA|DAD,|DAD|CAN|IST|MBA|
MBA|DEL,|DEL|IST|MBA|
MBA|DIG,|DIG|KMG|CTU|URC|IST|MBA|
MBA|DLC,|DLC|PEK|IST|MBA|
MBA|DPS,|DPS|CAN|IST|MBA|
MBA|DXB,|DXB|IST|MBA|
MBA|DYG,|DYG|CSX|URC|IST|MBA|
MBA|FUG,|FUG|CAN|IST|MBA|
MBA|FUK,|FUK|ICN|IST|MBA|
MBA|HAK,|HAK|CTU|URC|IST|MBA|
MBA|HAN,|HAN|CAN|IST|MBA|
MBA|HDG,|HDG|CAN|IST|MBA|
MBA|HET,|HET|URC|IST|MBA|
MBA|HFE,|HFE|XIY|URC|IST|MBA|
MBA|HJJ,|HJJ|CSX|URC|IST|MBA|
MBA|HKT,|HKT|KWE|URC|IST|MBA|
MBA|HRB,|HRB|PEK|IST|MBA|
MBA|HZH,|HZH|CAN|IST|MBA|
MBA|JIU,|JIU|CAN|IST|MBA|
MBA|JJN,|JJN|CSX|URC|IST|MBA|
MBA|JNG,|JNG|CAN|IST|MBA|
MBA|KHN,|KHN|XIY|URC|IST|MBA|
MBA|KIX,|KIX|IST|MBA|
MBA|KOW,|KOW|CAN|IST|MBA|
MBA|KTM,|KTM|IST|MBA|
MBA|KUL,|KUL|IST|MBA|
MBA|KWE,|KWE|URC|IST|MBA|
MBA|KWL,|KWL|CKG|URC|IST|MBA|
MBA|LHW,|LHW|URC|IST|MBA|
MBA|LYA,|LYA|KHN|XIY|URC|IST|MBA|
MBA|LYG,|LYG|XUZ|INC|URC|IST|MBA|
MBA|LZH,|LZH|CAN|IST|MBA|
MBA|MEL,|MEL|BKK|IST|MBA|
MBA|MIG,|MIG|CSX|URC|IST|MBA|
MBA|MLE,|MLE|IST|MBA|
MBA|MNL,|MNL|CAN|IST|MBA|
MBA|MXZ,|MXZ|CAN|IST|MBA|
MBA|NAO,|NAO|PEK|IST|MBA|
MBA|NGB,|NGB|WUH|URC|IST|MBA|
MBA|NKG,|NKG|URC|IST|MBA|
MBA|NNY,|NNY|CGO|URC|IST|MBA|
MBA|PEN,|PEN|CAN|IST|MBA|
MBA|PER,|PER|BKK|IST|MBA|
MBA|PNH,|PNH|CAN|IST|MBA|
MBA|REP,|REP|CAN|IST|MBA|
MBA|RGN,|RGN|CAN|IST|MBA|
MBA|SGN,|SGN|BKK|IST|MBA|
MBA|SHA,|SHA|URC|IST|MBA|
MBA|SIN,|SIN|IST|MBA|
MBA|SVO,|SVO|URC|IST|MBA|
MBA|SYX,|SYX|CKG|URC|IST|MBA|
MBA|TAO,|TAO|TYN|URC|IST|MBA|
MBA|TEN,|TEN|CAN|IST|MBA|
MBA|TNA,|TNA|URC|IST|MBA|
MBA|TPE,|TPE|URC|IST|MBA|
MBA|TSN,|TSN|HET|URC|IST|MBA|
MBA|TXN,|TXN|TYN|URC|IST|MBA|
MBA|TYN,|TYN|URC|IST|MBA|
MBA|WNZ,|WNZ|XIY|URC|IST|MBA|
MBA|WUX,|WUX|CAN|IST|MBA|
MBA|XFN,|XFN|CAN|IST|MBA|
MBA|XIY,|XIY|URC|IST|MBA|
MBA|XUZ,|XUZ|INC|URC|IST|MBA|
MBA|YIH,|YIH|CKG|URC|IST|MBA|
MBA|YIW,|YIW|URC|IST|MBA|
MBA|YNT,|YNT|SHE|PEK|IST|MBA|
MBA|YNZ,|YNZ|WUH|URC|IST|MBA|
MBA|YTY,|YTY|CGO|URC|IST|MBA|
MBA|ZHA,|ZHA|CAN|IST|MBA|
MBA|ZYI,|ZYI|CAN|IST|MBA|
MBA|BAV,|BAV|URC|IST|MBA|
MBA|CJU,|CJU|DLC|PEK|IST|MBA|
MBA|DSN,|DSN|CGO|URC|IST|MBA|
MBA|HMI,|HMI|URC|IST|MBA|
MBA|INC,|INC|URC|IST|MBA|
MBA|KHH,|KHH|WUH|URC|IST|MBA|
MBA|UYN,|UYN|XIY|URC|IST|MBA|
MBA|XNN,|XNN|URC|IST|MBA|
MBA|ZUH,|ZUH|KWE|URC|IST|MBA|
MBA|YNJ,|YNJ|PEK|IST|MBA|
MBA|DAT,|DAT|TYN|URC|IST|MBA|
MBA|JHG,|JHG|KMG|CTU|URC|IST|MBA|
