JAC|SSG,|SSG|DLA|BRU|ORD|DEN|JAC|
JAC|BGW,|BGW|ESB|FRA|DEN|JAC|
JAC|EBL,|EBL|IST|FRA|DEN|JAC|
JAC|VKO,|VKO|IST|FRA|DEN|JAC|
JAC|MCT,|MCT|IST|FRA|DEN|JAC|
JAC|AYT,|AYT|IST|FRA|DEN|JAC|
JAC|SCQ,|SCQ|BIO|IST|FRA|DEN|JAC|
JAC|AAL,|AAL|IST|FRA|DEN|JAC|
JAC|AOE,|AOE|BRU|ORD|DEN|JAC|
JAC|JNB,|JNB|DKR|IAD|DEN|JAC|
JAC|LBV,|LBV|DLA|BRU|ORD|DEN|JAC|
JAC|ADA,|ADA|SAW|FRA|DEN|JAC|
JAC|ADB,|ADB|IST|FRA|DEN|JAC|
JAC|ADF,|ADF|ESB|FRA|DEN|JAC|
JAC|AJI,|AJI|ESB|FRA|DEN|JAC|
JAC|BAL,|BAL|ESB|FRA|DEN|JAC|
JAC|BJV,|BJV|IST|FRA|DEN|JAC|
JAC|CKZ,|CKZ|ESB|FRA|DEN|JAC|
JAC|DIY,|DIY|ESB|FRA|DEN|JAC|
JAC|ECN,|ECN|IST|FRA|DEN|JAC|
JAC|ERC,|ERC|ESB|FRA|DEN|JAC|
JAC|ERZ,|ERZ|ESB|FRA|DEN|JAC|
JAC|EZS,|EZS|ESB|FRA|DEN|JAC|
JAC|GNY,|GNY|ESB|FRA|DEN|JAC|
JAC|GZP,|GZP|ESB|FRA|DEN|JAC|
JAC|GZT,|GZT|ESB|FRA|DEN|JAC|
JAC|HTY,|HTY|SAW|FRA|DEN|JAC|
JAC|KCM,|KCM|ESB|FRA|DEN|JAC|
JAC|KSY,|KSY|ESB|FRA|DEN|JAC|
JAC|MLX,|MLX|ESB|FRA|DEN|JAC|
JAC|MQM,|MQM|ESB|FRA|DEN|JAC|
JAC|MSR,|MSR|ESB|FRA|DEN|JAC|
JAC|TEQ,|TEQ|ESB|FRA|DEN|JAC|
JAC|TZX,|TZX|ESB|FRA|DEN|JAC|
JAC|VAN,|VAN|ESB|FRA|DEN|JAC|
JAC|ULN,|ULN|FRU|IST|FRA|DEN|JAC|
JAC|HIJ,|HIJ|ICN|YVR|DEN|JAC|
JAC|VVO,|VVO|ICN|YVR|DEN|JAC|
JAC|ACC,|ACC|IST|FRA|DEN|JAC|
JAC|AER,|AER|IST|FRA|DEN|JAC|
JAC|AGP,|AGP|IST|FRA|DEN|JAC|
JAC|ALG,|ALG|IST|FRA|DEN|JAC|
JAC|AMM,|AMM|IST|FRA|DEN|JAC|
JAC|AQJ,|AQJ|IST|FRA|DEN|JAC|
JAC|ARN,|ARN|EWR|DEN|JAC|
JAC|ASR,|ASR|SAW|FRA|DEN|JAC|
JAC|ATH,|ATH|IST|FRA|DEN|JAC|
JAC|BAH,|BAH|IST|FRA|DEN|JAC|
JAC|BEG,|BEG|IST|FRA|DEN|JAC|
JAC|BEN,|BEN|IST|FRA|DEN|JAC|
JAC|BEY,|BEY|IST|FRA|DEN|JAC|
JAC|BHX,|BHX|EWR|DEN|JAC|
JAC|BIO,|BIO|IST|FRA|DEN|JAC|
JAC|BLQ,|BLQ|IST|FRA|DEN|JAC|
JAC|BOM,|BOM|IST|FRA|DEN|JAC|
JAC|BRE,|BRE|IST|FRA|DEN|JAC|
JAC|BSL,|BSL|IST|FRA|DEN|JAC|
JAC|BSR,|BSR|IST|FRA|DEN|JAC|
JAC|BUD,|BUD|IST|FRA|DEN|JAC|
JAC|BUS,|BUS|IST|FRA|DEN|JAC|
JAC|CAI,|CAI|IST|FRA|DEN|JAC|
JAC|CGN,|CGN|IST|FRA|DEN|JAC|
JAC|CMN,|CMN|IST|FRA|DEN|JAC|
JAC|CND,|CND|IST|FRA|DEN|JAC|
JAC|DAR,|DAR|NBO|ZRH|ORD|DEN|JAC|
JAC|DLM,|DLM|IST|FRA|DEN|JAC|
JAC|DMM,|DMM|IST|FRA|DEN|JAC|
JAC|DNK,|DNK|IST|FRA|DEN|JAC|
JAC|DNZ,|DNZ|IST|FRA|DEN|JAC|
JAC|DOK,|DOK|IST|FRA|DEN|JAC|
JAC|DUS,|DUS|ORD|DEN|JAC|
JAC|EDI,|EDI|EWR|DEN|JAC|
JAC|ELQ,|ELQ|IST|FRA|DEN|JAC|
JAC|FDH,|FDH|IST|FRA|DEN|JAC|
JAC|GOA,|GOA|IST|FRA|DEN|JAC|
JAC|GOT,|GOT|BRU|ORD|DEN|JAC|
JAC|HAJ,|HAJ|BRU|ORD|DEN|JAC|
JAC|HBE,|HBE|IST|FRA|DEN|JAC|
JAC|HEL,|HEL|IST|FRA|DEN|JAC|
JAC|HRG,|HRG|IST|FRA|DEN|JAC|
JAC|IFN,|IFN|IST|FRA|DEN|JAC|
JAC|ISE,|ISE|IST|FRA|DEN|JAC|
JAC|ISU,|ISU|IST|FRA|DEN|JAC|
JAC|JIB,|JIB|IST|FRA|DEN|JAC|
JAC|JRO,|JRO|IST|FRA|DEN|JAC|
JAC|KAN,|KAN|IST|FRA|DEN|JAC|
JAC|KBL,|KBL|IST|FRA|DEN|JAC|
JAC|KBP,|KBP|IST|FRA|DEN|JAC|
