SJC|LDS,|LDS|HRB|ICN|SEA|SJC|
SJC|OHE,|OHE|HRB|ICN|SEA|SJC|
SJC|HSN,|HSN|PEK|SEA|SJC|
SJC|DLU,|DLU|KMG|PEK|SEA|SJC|
SJC|SYM,|SYM|KMG|PEK|SEA|SJC|
SJC|ZAT,|ZAT|KMG|PEK|SEA|SJC|
SJC|LUN,|LUN|NBO|IST|FRA|SEA|SJC|
SJC|AOG,|AOG|PEK|SEA|SJC|
SJC|GMP,|GMP|PEK|SEA|SJC|
SJC|ISB,|ISB|PEK|SEA|SJC|
SJC|TAS,|TAS|PEK|SEA|SJC|
SJC|WUS,|WUS|PEK|SEA|SJC|
SJC|JMU,|JMU|PVG|ICN|SEA|SJC|
SJC|NDG,|NDG|PVG|ICN|SEA|SJC|
SJC|JXA,|JXA|SHE|NRT|SJC|
SJC|PUS,|PUS|SHE|NRT|SJC|
SJC|BKI,|BKI|SZX|PVG|ICN|SEA|SJC|
SJC|AKU,|AKU|URC|PEK|SEA|SJC|
SJC|ALA,|ALA|URC|PEK|SEA|SJC|
SJC|ASB,|ASB|GYD|FRA|SEA|SJC|
SJC|DNH,|DNH|XIY|PEK|SEA|SJC|
SJC|DYU,|DYU|URC|PEK|SEA|SJC|
SJC|FRU,|FRU|URC|PEK|SEA|SJC|
SJC|GYD,|GYD|FRA|SEA|SJC|
SJC|HTN,|HTN|URC|PEK|SEA|SJC|
SJC|IKA,|IKA|SAW|FRA|SEA|SJC|
SJC|KCA,|KCA|URC|PEK|SEA|SJC|
SJC|KHG,|KHG|URC|PEK|SEA|SJC|
SJC|KRL,|KRL|URC|PEK|SEA|SJC|
SJC|KRY,|KRY|URC|PEK|SEA|SJC|
SJC|LBD,|LBD|URC|PEK|SEA|SJC|
SJC|NLT,|NLT|URC|PEK|SEA|SJC|
SJC|OSS,|OSS|URC|PEK|SEA|SJC|
SJC|OVB,|OVB|URC|PEK|SEA|SJC|
SJC|TBS,|TBS|SAW|FRA|SEA|SJC|
SJC|TCG,|TCG|URC|PEK|SEA|SJC|
SJC|TSE,|TSE|FRA|SEA|SJC|
SJC|YIN,|YIN|URC|PEK|SEA|SJC|
SJC|ENH,|ENH|WUH|ICN|SEA|SJC|
SJC|ENY,|ENY|XIY|PEK|SEA|SJC|
SJC|WXN,|WXN|XIY|PEK|SEA|SJC|
SJC|BLL,|BLL|IST|FRA|SEA|SJC|
SJC|ESB,|ESB|FRA|SEA|SJC|
SJC|SAW,|SAW|FRA|SEA|SJC|
SJC|HAM,|HAM|EWR|MDW|SJC|
SJC|HRE,|HRE|ADD|JED|FRA|SEA|SJC|
SJC|JUB,|JUB|CAI|IST|FRA|SEA|SJC|
SJC|SSG,|SSG|DLA|BRU|ORD|DEN|SJC|
SJC|BGW,|BGW|ESB|FRA|SEA|SJC|
SJC|EBL,|EBL|IST|FRA|SEA|SJC|
SJC|VKO,|VKO|IST|FRA|SEA|SJC|
SJC|MCT,|MCT|IST|FRA|SEA|SJC|
SJC|AYT,|AYT|IST|FRA|SEA|SJC|
SJC|SCQ,|SCQ|BIO|IST|FRA|SEA|SJC|
SJC|AAL,|AAL|IST|FRA|SEA|SJC|
SJC|AOE,|AOE|BRU|ORD|DEN|SJC|
SJC|JNB,|JNB|DKR|IAD|DEN|SJC|
SJC|LBV,|LBV|DLA|BRU|ORD|DEN|SJC|
SJC|ADA,|ADA|SAW|FRA|SEA|SJC|
SJC|ADB,|ADB|IST|FRA|SEA|SJC|
SJC|ADF,|ADF|ESB|FRA|SEA|SJC|
SJC|AJI,|AJI|ESB|FRA|SEA|SJC|
SJC|BAL,|BAL|ESB|FRA|SEA|SJC|
SJC|BJV,|BJV|IST|FRA|SEA|SJC|
SJC|CKZ,|CKZ|ESB|FRA|SEA|SJC|
SJC|DIY,|DIY|ESB|FRA|SEA|SJC|
SJC|ECN,|ECN|IST|FRA|SEA|SJC|
SJC|ERC,|ERC|ESB|FRA|SEA|SJC|
SJC|ERZ,|ERZ|ESB|FRA|SEA|SJC|
SJC|EZS,|EZS|ESB|FRA|SEA|SJC|
SJC|GNY,|GNY|ESB|FRA|SEA|SJC|
SJC|GZP,|GZP|ESB|FRA|SEA|SJC|
SJC|GZT,|GZT|ESB|FRA|SEA|SJC|
SJC|HTY,|HTY|SAW|FRA|SEA|SJC|
SJC|KCM,|KCM|ESB|FRA|SEA|SJC|
SJC|KSY,|KSY|ESB|FRA|SEA|SJC|
SJC|MLX,|MLX|ESB|FRA|SEA|SJC|
SJC|MQM,|MQM|ESB|FRA|SEA|SJC|
SJC|MSR,|MSR|ESB|FRA|SEA|SJC|
SJC|TEQ,|TEQ|ESB|FRA|SEA|SJC|
SJC|TZX,|TZX|ESB|FRA|SEA|SJC|
SJC|VAN,|VAN|ESB|FRA|SEA|SJC|
SJC|ULN,|ULN|FRU|URC|PEK|SEA|SJC|
SJC|HIJ,|HIJ|ICN|SEA|SJC|
SJC|VVO,|VVO|ICN|SEA|SJC|
SJC|ACC,|ACC|IST|FRA|SEA|SJC|
SJC|AER,|AER|IST|FRA|SEA|SJC|
SJC|AGP,|AGP|IST|FRA|SEA|SJC|
SJC|ALG,|ALG|IST|FRA|SEA|SJC|
SJC|AMM,|AMM|IST|FRA|SEA|SJC|
SJC|AQJ,|AQJ|IST|FRA|SEA|SJC|
SJC|ARN,|ARN|EWR|MDW|SJC|
SJC|ASR,|ASR|SAW|FRA|SEA|SJC|
SJC|ATH,|ATH|IST|FRA|SEA|SJC|
SJC|BAH,|BAH|IST|FRA|SEA|SJC|
SJC|BEG,|BEG|IST|FRA|SEA|SJC|
SJC|BEN,|BEN|IST|FRA|SEA|SJC|
SJC|BEY,|BEY|IST|FRA|SEA|SJC|
SJC|BHX,|BHX|EWR|MDW|SJC|
SJC|BIO,|BIO|IST|FRA|SEA|SJC|
SJC|BLQ,|BLQ|IST|FRA|SEA|SJC|
SJC|BOM,|BOM|IST|FRA|SEA|SJC|
SJC|BRE,|BRE|IST|FRA|SEA|SJC|
SJC|BSL,|BSL|IST|FRA|SEA|SJC|
SJC|BSR,|BSR|IST|FRA|SEA|SJC|
SJC|BUD,|BUD|IST|FRA|SEA|SJC|
SJC|BUS,|BUS|IST|FRA|SEA|SJC|
SJC|CAI,|CAI|IST|FRA|SEA|SJC|
SJC|CGN,|CGN|IST|FRA|SEA|SJC|
SJC|CMN,|CMN|IST|FRA|SEA|SJC|
SJC|CND,|CND|IST|FRA|SEA|SJC|
SJC|DAR,|DAR|IST|FRA|SEA|SJC|
SJC|DLM,|DLM|IST|FRA|SEA|SJC|
SJC|DMM,|DMM|IST|FRA|SEA|SJC|
SJC|DNK,|DNK|IST|FRA|SEA|SJC|
SJC|DNZ,|DNZ|IST|FRA|SEA|SJC|
SJC|DOK,|DOK|IST|FRA|SEA|SJC|
SJC|DUS,|DUS|ORD|DEN|SJC|
SJC|EDI,|EDI|EWR|MDW|SJC|
SJC|ELQ,|ELQ|IST|FRA|SEA|SJC|
SJC|FDH,|FDH|IST|FRA|SEA|SJC|
SJC|GOA,|GOA|IST|FRA|SEA|SJC|
SJC|GOT,|GOT|BRU|ORD|DEN|SJC|
SJC|HAJ,|HAJ|BRU|ORD|DEN|SJC|
SJC|HBE,|HBE|IST|FRA|SEA|SJC|
SJC|HEL,|HEL|IST|FRA|SEA|SJC|
SJC|HRG,|HRG|IST|FRA|SEA|SJC|
SJC|IFN,|IFN|IST|FRA|SEA|SJC|
SJC|ISE,|ISE|IST|FRA|SEA|SJC|
SJC|ISU,|ISU|IST|FRA|SEA|SJC|
SJC|JIB,|JIB|IST|FRA|SEA|SJC|
SJC|JRO,|JRO|IST|FRA|SEA|SJC|
SJC|KAN,|KAN|IST|FRA|SEA|SJC|
SJC|KBL,|KBL|IST|FRA|SEA|SJC|
SJC|KBP,|KBP|IST|FRA|SEA|SJC|
SJC|KFS,|KFS|IST|FRA|SEA|SJC|
SJC|KHI,|KHI|IST|FRA|SEA|SJC|
SJC|KIV,|KIV|IST|FRA|SEA|SJC|
SJC|KRT,|KRT|IST|FRA|SEA|SJC|
SJC|KSH,|KSH|IST|FRA|SEA|SJC|
SJC|KVD,|KVD|IST|FRA|SEA|SJC|
SJC|KWI,|KWI|SAW|FRA|SEA|SJC|
SJC|KYA,|KYA|IST|FRA|SEA|SJC|
SJC|KZN,|KZN|IST|FRA|SEA|SJC|
SJC|KZR,|KZR|IST|FRA|SEA|SJC|
