ELH|DAC,|DAC|IST|BHX|EWR|PBI|ELH|
ELH|DAD,|DAD|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|DEL,|DEL|EWR|PBI|ELH|
ELH|DIG,|DIG|KMG|PEK|ORD|ATL|PBI|ELH|
ELH|DLC,|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|DPS,|DPS|SZX|PEK|ORD|ATL|PBI|ELH|
ELH|DXB,|DXB|IST|BHX|EWR|PBI|ELH|
ELH|DYG,|DYG|PEK|ORD|ATL|PBI|ELH|
ELH|FUG,|FUG|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|FUK,|FUK|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|HAK,|HAK|PEK|ORD|ATL|PBI|ELH|
ELH|HAN,|HAN|PEK|ORD|ATL|PBI|ELH|
ELH|HDG,|HDG|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|HET,|HET|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|HFE,|HFE|XIY|PEK|ORD|ATL|PBI|ELH|
ELH|HJJ,|HJJ|CSX|PEK|ORD|ATL|PBI|ELH|
ELH|HKT,|HKT|KWE|PEK|ORD|ATL|PBI|ELH|
ELH|HRB,|HRB|PEK|ORD|ATL|PBI|ELH|
ELH|HZH,|HZH|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|JIU,|JIU|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|JJN,|JJN|PEK|ORD|ATL|PBI|ELH|
ELH|JNG,|JNG|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|KHN,|KHN|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|KIX,|KIX|SFO|LAS|TPA|PBI|ELH|
ELH|KOW,|KOW|PEK|ORD|ATL|PBI|ELH|
ELH|KTM,|KTM|IST|BHX|EWR|PBI|ELH|
ELH|KUL,|KUL|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|KWE,|KWE|PEK|ORD|ATL|PBI|ELH|
ELH|KWL,|KWL|PEK|ORD|ATL|PBI|ELH|
ELH|LHW,|LHW|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|LYA,|LYA|KHN|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|LYG,|LYG|HSN|PEK|ORD|ATL|PBI|ELH|
ELH|LZH,|LZH|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|MEL,|MEL|SYD|LAX|MSY|TPA|PBI|ELH|
ELH|MIG,|MIG|CSX|PEK|ORD|ATL|PBI|ELH|
ELH|MLE,|MLE|IST|BHX|EWR|PBI|ELH|
ELH|MNL,|MNL|XMN|PEK|ORD|ATL|PBI|ELH|
ELH|MXZ,|MXZ|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|NAO,|NAO|PEK|ORD|ATL|PBI|ELH|
ELH|NGB,|NGB|PEK|ORD|ATL|PBI|ELH|
ELH|NKG,|NKG|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|NNY,|NNY|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|PEN,|PEN|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|PER,|PER|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|PNH,|PNH|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|REP,|REP|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|RGN,|RGN|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|SGN,|SGN|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|SHA,|SHA|PEK|ORD|ATL|PBI|ELH|
ELH|SIN,|SIN|HKG|ORD|ATL|PBI|ELH|
ELH|SVO,|SVO|URC|TSE|FRA|EWR|PBI|ELH|
ELH|SYX,|SYX|PEK|ORD|ATL|PBI|ELH|
ELH|TAO,|TAO|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|TEN,|TEN|PEK|ORD|ATL|PBI|ELH|
ELH|TNA,|TNA|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|TPE,|TPE|PVG|ORD|ATL|PBI|ELH|
ELH|TSN,|TSN|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|TXN,|TXN|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|TYN,|TYN|DAT|CIH|PEK|ORD|ATL|PBI|ELH|
ELH|WNZ,|WNZ|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|WUX,|WUX|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|XFN,|XFN|XMN|PEK|ORD|ATL|PBI|ELH|
ELH|XIY,|XIY|PEK|ORD|ATL|PBI|ELH|
ELH|XUZ,|XUZ|LYG|HSN|PEK|ORD|ATL|PBI|ELH|
ELH|YIH,|YIH|CKG|PEK|ORD|ATL|PBI|ELH|
ELH|YIW,|YIW|PEK|ORD|ATL|PBI|ELH|
ELH|YNT,|YNT|SHE|PEK|ORD|ATL|PBI|ELH|
ELH|YNZ,|YNZ|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|YTY,|YTY|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|ZHA,|ZHA|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|ZYI,|ZYI|PEK|ORD|ATL|PBI|ELH|
ELH|BAV,|BAV|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|CJU,|CJU|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|DSN,|DSN|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|HMI,|HMI|URC|TSE|FRA|EWR|PBI|ELH|
ELH|INC,|INC|PEK|ORD|ATL|PBI|ELH|
ELH|KHH,|KHH|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|UYN,|UYN|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|XNN,|XNN|PEK|ORD|ATL|PBI|ELH|
ELH|ZUH,|ZUH|PEK|ORD|ATL|PBI|ELH|
ELH|YNJ,|YNJ|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|DAT,|DAT|CIH|PEK|ORD|ATL|PBI|ELH|
ELH|JHG,|JHG|CKG|PEK|ORD|ATL|PBI|ELH|
ELH|LJG,|LJG|CKG|PEK|ORD|ATL|PBI|ELH|
ELH|LXA,|LXA|XIY|PEK|ORD|ATL|PBI|ELH|
ELH|YCU,|YCU|CSX|PEK|ORD|ATL|PBI|ELH|
ELH|LZO,|LZO|CSX|PEK|ORD|ATL|PBI|ELH|
ELH|MDG,|MDG|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|NGO,|NGO|ICN|YVR|DEN|TPA|PBI|ELH|
ELH|TOY,|TOY|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|MFM,|MFM|XMN|PEK|ORD|ATL|PBI|ELH|
ELH|TGO,|TGO|HET|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|XIL,|XIL|HET|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|HEK,|HEK|HRB|PEK|ORD|ATL|PBI|ELH|
ELH|KIJ,|KIJ|HRB|PEK|ORD|ATL|PBI|ELH|
ELH|LDS,|LDS|HRB|PEK|ORD|ATL|PBI|ELH|
ELH|OHE,|OHE|HRB|PEK|ORD|ATL|PBI|ELH|
ELH|HSN,|HSN|PEK|ORD|ATL|PBI|ELH|
ELH|DLU,|DLU|KMG|PEK|ORD|ATL|PBI|ELH|
ELH|SYM,|SYM|KMG|PEK|ORD|ATL|PBI|ELH|
