BLL|LBD,|LBD|URC|IST|BLL|
BLL|NLT,|NLT|URC|IST|BLL|
BLL|OSS,|OSS|IST|BLL|
BLL|OVB,|OVB|IST|BLL|
BLL|TBS,|TBS|IST|BLL|
BLL|TCG,|TCG|URC|IST|BLL|
BLL|TSE,|TSE|IST|BLL|
BLL|YIN,|YIN|URC|IST|BLL|
BLL|ENH,|ENH|WUH|URC|IST|BLL|
BLL|ENY,|ENY|XIY|URC|IST|BLL|
BLL|WXN,|WXN|XIY|URC|IST|BLL|
BLL|ESB,|ESB|IST|BLL|
BLL|SAW,|SAW|ADB|IST|BLL|
BLL|HAM,|HAM|IST|BLL|
BLL|HRE,|HRE|ADD|IST|BLL|
BLL|JUB,|JUB|CAI|IST|BLL|
BLL|SSG,|SSG|DLA|IST|BLL|
BLL|BGW,|BGW|IST|BLL|
BLL|EBL,|EBL|IST|BLL|
BLL|VKO,|VKO|IST|BLL|
BLL|MCT,|MCT|IST|BLL|
BLL|AYT,|AYT|IST|BLL|
BLL|SCQ,|SCQ|BIO|IST|BLL|
BLL|AAL,|AAL|BLL|
BLL|AOE,|AOE|BRU|IST|BLL|
BLL|JNB,|JNB|IST|BLL|
BLL|LBV,|LBV|DLA|IST|BLL|
BLL|ADA,|ADA|IST|BLL|
BLL|ADB,|ADB|IST|BLL|
BLL|ADF,|ADF|IST|BLL|
BLL|AJI,|AJI|IST|BLL|
BLL|BAL,|BAL|IST|BLL|
BLL|BJV,|BJV|IST|BLL|
BLL|CKZ,|CKZ|ESB|IST|BLL|
BLL|DIY,|DIY|IST|BLL|
BLL|ECN,|ECN|IST|BLL|
BLL|ERC,|ERC|IST|BLL|
BLL|ERZ,|ERZ|IST|BLL|
BLL|EZS,|EZS|IST|BLL|
BLL|GNY,|GNY|IST|BLL|
BLL|GZP,|GZP|ESB|IST|BLL|
BLL|GZT,|GZT|IST|BLL|
BLL|HTY,|HTY|IST|BLL|
BLL|KCM,|KCM|IST|BLL|
BLL|KSY,|KSY|IST|BLL|
BLL|MLX,|MLX|IST|BLL|
BLL|MQM,|MQM|IST|BLL|
BLL|MSR,|MSR|IST|BLL|
BLL|TEQ,|TEQ|ESB|IST|BLL|
BLL|TZX,|TZX|IST|BLL|
BLL|VAN,|VAN|IST|BLL|
BLL|ULN,|ULN|FRU|IST|BLL|
BLL|HIJ,|HIJ|ICN|IST|BLL|
BLL|VVO,|VVO|ICN|IST|BLL|
BLL|ACC,|ACC|IST|BLL|
BLL|AER,|AER|IST|BLL|
BLL|AGP,|AGP|IST|BLL|
BLL|ALG,|ALG|IST|BLL|
BLL|AMM,|AMM|IST|BLL|
BLL|AQJ,|AQJ|IST|BLL|
BLL|ARN,|ARN|IST|BLL|
BLL|ASR,|ASR|IST|BLL|
BLL|ATH,|ATH|IST|BLL|
BLL|BAH,|BAH|IST|BLL|
BLL|BEG,|BEG|IST|BLL|
BLL|BEN,|BEN|IST|BLL|
BLL|BEY,|BEY|IST|BLL|
BLL|BHX,|BHX|IST|BLL|
BLL|BIO,|BIO|IST|BLL|
BLL|BLQ,|BLQ|IST|BLL|
BLL|BOM,|BOM|IST|BLL|
BLL|BRE,|BRE|IST|BLL|
BLL|BSL,|BSL|IST|BLL|
BLL|BSR,|BSR|IST|BLL|
BLL|BUD,|BUD|IST|BLL|
BLL|BUS,|BUS|IST|BLL|
BLL|CAI,|CAI|IST|BLL|
BLL|CGN,|CGN|IST|BLL|
BLL|CMN,|CMN|IST|BLL|
BLL|CND,|CND|IST|BLL|
BLL|DAR,|DAR|IST|BLL|
BLL|DLM,|DLM|IST|BLL|
BLL|DMM,|DMM|IST|BLL|
BLL|DNK,|DNK|IST|BLL|
BLL|DNZ,|DNZ|IST|BLL|
BLL|DOK,|DOK|IST|BLL|
BLL|DUS,|DUS|IST|BLL|
BLL|EDI,|EDI|IST|BLL|
BLL|ELQ,|ELQ|IST|BLL|
BLL|FDH,|FDH|IST|BLL|
BLL|GOA,|GOA|IST|BLL|
BLL|GOT,|GOT|IST|BLL|
BLL|HAJ,|HAJ|IST|BLL|
BLL|HBE,|HBE|IST|BLL|
BLL|HEL,|HEL|IST|BLL|
BLL|HRG,|HRG|IST|BLL|
BLL|IFN,|IFN|IST|BLL|
BLL|ISE,|ISE|IST|BLL|
BLL|ISU,|ISU|IST|BLL|
BLL|JIB,|JIB|IST|BLL|
BLL|JRO,|JRO|IST|BLL|
BLL|KAN,|KAN|IST|BLL|
BLL|KBL,|KBL|IST|BLL|
BLL|KBP,|KBP|IST|BLL|
BLL|KFS,|KFS|IST|BLL|
BLL|KHI,|KHI|IST|BLL|
BLL|KIV,|KIV|IST|BLL|
BLL|KRT,|KRT|IST|BLL|
BLL|KSH,|KSH|IST|BLL|
BLL|KVD,|KVD|IST|BLL|
BLL|KWI,|KWI|IST|BLL|
BLL|KYA,|KYA|IST|BLL|
BLL|KZN,|KZN|IST|BLL|
BLL|KZR,|KZR|IST|BLL|
BLL|LED,|LED|IST|BLL|
BLL|LEJ,|LEJ|IST|BLL|
BLL|LGW,|LGW|IST|BLL|
BLL|LHE,|LHE|IST|BLL|
BLL|LIS,|LIS|IST|BLL|
BLL|LJU,|LJU|IST|BLL|
BLL|LOS,|LOS|IST|BLL|
BLL|LUX,|LUX|IST|BLL|
BLL|LWO,|LWO|IST|BLL|
BLL|LYS,|LYS|IST|BLL|
BLL|MAD,|MAD|IST|BLL|
BLL|MAN,|MAN|IST|BLL|
BLL|MED,|MED|IST|BLL|
BLL|MHD,|MHD|IST|BLL|
BLL|MLA,|MLA|IST|BLL|
BLL|MRS,|MRS|IST|BLL|
BLL|MSQ,|MSQ|IST|BLL|
BLL|MXP,|MXP|IST|BLL|
BLL|MZH,|MZH|IST|BLL|
BLL|MZR,|MZR|IST|BLL|
BLL|NAJ,|NAJ|IST|BLL|
BLL|NAV,|NAV|IST|BLL|
BLL|NCE,|NCE|IST|BLL|
BLL|NIM,|NIM|IST|BLL|
BLL|NJF,|NJF|IST|BLL|
BLL|NSI,|NSI|IST|BLL|
BLL|NUE,|NUE|IST|BLL|
BLL|ODS,|ODS|IST|BLL|
BLL|ORN,|ORN|IST|BLL|
BLL|OTP,|OTP|IST|BLL|
BLL|PRG,|PRG|IST|BLL|
BLL|PRN,|PRN|IST|BLL|
BLL|RIX,|RIX|IST|BLL|
BLL|ROV,|ROV|IST|BLL|
BLL|RTM,|RTM|IST|BLL|
BLL|RUH,|RUH|IST|BLL|
BLL|SAH,|SAH|IST|BLL|
BLL|SJJ,|SJJ|IST|BLL|
BLL|SKG,|SKG|IST|BLL|
BLL|SKP,|SKP|IST|BLL|
BLL|SSH,|SSH|IST|BLL|
BLL|STR,|STR|IST|BLL|
BLL|SVX,|SVX|IST|BLL|
BLL|SYZ,|SYZ|IST|BLL|
BLL|SZG,|SZG|IST|BLL|
BLL|TBZ,|TBZ|IST|BLL|
BLL|TGD,|TGD|IST|BLL|
BLL|TIA,|TIA|IST|BLL|
BLL|TIF,|TIF|IST|BLL|
BLL|TIP,|TIP|IST|BLL|
BLL|TLL,|TLL|IST|BLL|
BLL|TLS,|TLS|IST|BLL|
BLL|TRN,|TRN|IST|BLL|
BLL|TUN,|TUN|IST|BLL|
BLL|TXL,|TXL|IST|BLL|
BLL|UFA,|UFA|IST|BLL|
BLL|VAS,|VAS|IST|BLL|
BLL|VCE,|VCE|IST|BLL|
BLL|YNB,|YNB|IST|BLL|
BLL|ZAG,|ZAG|IST|BLL|
BLL|MGQ,|MGQ|JIB|IST|BLL|
BLL|CPT,|CPT|JNB|IST|BLL|
BLL|MBA,|MBA|JRO|IST|BLL|
BLL|NDJ,|NDJ|KAN|IST|BLL|
BLL|CMB,|CMB|MLE|IST|BLL|
BLL|ADE,|ADE|SAH|IST|BLL|
BLL|ASF,|ASF|SAW|ADB|IST|BLL|
BLL|STW,|STW|SAW|ADB|IST|BLL|
BLL|LFW,|LFW|ABJ|OUA|NIM|IST|BLL|
BLL|CEC,|CEC|ACV|SMF|SEA|FRA|IST|BLL|
BLL|SMF,|SMF|SEA|FRA|IST|BLL|
BLL|CDR,|CDR|AIA|DEN|FRA|IST|BLL|
BLL|FMN,|FMN|DEN|FRA|IST|BLL|
BLL|JST,|JST|IAD|IST|BLL|
BLL|JHW,|JHW|CLE|YYZ|IST|BLL|
BLL|SHD,|SHD|IAD|IST|BLL|
BLL|PTY,|PTY|MIA|ZRH|IST|BLL|
BLL|FNA,|FNA|BRU|IST|BLL|
BLL|SXB,|SXB|BRU|IST|BLL|
BLL|ACV,|ACV|SMF|SEA|FRA|IST|BLL|
BLL|MGW,|MGW|IAD|IST|BLL|
BLL|ALB,|ALB|EWR|BHX|IST|BLL|
BLL|AUS,|AUS|ORD|IST|BLL|
BLL|BFD,|BFD|CLE|YYZ|IST|BLL|
BLL|BUF,|BUF|EWR|BHX|IST|BLL|
BLL|CHS,|CHS|EWR|BHX|IST|BLL|
BLL|DAY,|DAY|CLE|YYZ|IST|BLL|
BLL|DUJ,|DUJ|CLE|YYZ|IST|BLL|
BLL|ERI,|ERI|CLE|YYZ|IST|BLL|
BLL|FKL,|FKL|CLE|YYZ|IST|BLL|
BLL|FNT,|FNT|CLE|YYZ|IST|BLL|
BLL|GRR,|GRR|CLE|YYZ|IST|BLL|
BLL|GSP,|GSP|EWR|BHX|IST|BLL|
BLL|PBI,|PBI|EWR|BHX|IST|BLL|
BLL|PKB,|PKB|CLE|YYZ|IST|BLL|
BLL|RIC,|RIC|EWR|BHX|IST|BLL|
BLL|SDF,|SDF|CLE|YYZ|IST|BLL|
BLL|GUM,|GUM|FUK|ICN|IST|BLL|
BLL|WRL,|WRL|CYS|DEN|FRA|IST|BLL|
BLL|LBL,|BLL|
BLL|ABQ,|ABQ|DEN|FRA|IST|BLL|
