YNJ|LUN,|LUN|NBO|CAN|ICN|YNJ|
YNJ|AOG,|AOG|PEK|YNJ|
YNJ|GMP,|GMP|PEK|YNJ|
YNJ|ISB,|ISB|PEK|YNJ|
YNJ|TAS,|TAS|URC|HET|CGQ|YNJ|
YNJ|WUS,|WUS|PEK|YNJ|
YNJ|JMU,|JMU|PVG|YNJ|
YNJ|NDG,|NDG|PVG|YNJ|
YNJ|JXA,|JXA|SHE|ICN|YNJ|
YNJ|PUS,|PUS|SHE|ICN|YNJ|
YNJ|BKI,|BKI|SZX|PVG|YNJ|
YNJ|AKU,|AKU|URC|HET|CGQ|YNJ|
YNJ|ALA,|ALA|URC|HET|CGQ|YNJ|
YNJ|ASB,|ASB|URC|HET|CGQ|YNJ|
YNJ|DNH,|DNH|XIY|DLC|YNJ|
YNJ|DYU,|DYU|URC|HET|CGQ|YNJ|
YNJ|FRU,|FRU|URC|HET|CGQ|YNJ|
YNJ|GYD,|GYD|URC|HET|CGQ|YNJ|
YNJ|HTN,|HTN|URC|HET|CGQ|YNJ|
YNJ|IKA,|IKA|URC|HET|CGQ|YNJ|
YNJ|KCA,|KCA|URC|HET|CGQ|YNJ|
YNJ|KHG,|KHG|URC|HET|CGQ|YNJ|
YNJ|KRL,|KRL|URC|HET|CGQ|YNJ|
YNJ|KRY,|KRY|URC|HET|CGQ|YNJ|
YNJ|LBD,|LBD|URC|HET|CGQ|YNJ|
YNJ|NLT,|NLT|URC|HET|CGQ|YNJ|
YNJ|OSS,|OSS|URC|HET|CGQ|YNJ|
YNJ|OVB,|OVB|URC|HET|CGQ|YNJ|
YNJ|TBS,|TBS|URC|HET|CGQ|YNJ|
YNJ|TCG,|TCG|URC|HET|CGQ|YNJ|
YNJ|TSE,|TSE|URC|HET|CGQ|YNJ|
YNJ|YIN,|YIN|URC|HET|CGQ|YNJ|
YNJ|ENH,|ENH|WUH|DLC|YNJ|
YNJ|ENY,|ENY|XIY|DLC|YNJ|
YNJ|WXN,|WXN|XIY|DLC|YNJ|
YNJ|BLL,|BLL|IST|PEK|YNJ|
YNJ|ESB,|ESB|IST|PEK|YNJ|
YNJ|SAW,|SAW|TBS|URC|HET|CGQ|YNJ|
YNJ|HAM,|HAM|IST|PEK|YNJ|
YNJ|HRE,|HRE|ADD|IST|PEK|YNJ|
YNJ|JUB,|JUB|CAI|IST|PEK|YNJ|
YNJ|SSG,|SSG|DLA|IST|PEK|YNJ|
YNJ|BGW,|BGW|IST|PEK|YNJ|
YNJ|EBL,|EBL|IST|PEK|YNJ|
YNJ|VKO,|VKO|IST|PEK|YNJ|
YNJ|MCT,|MCT|IST|PEK|YNJ|
YNJ|AYT,|AYT|IST|PEK|YNJ|
YNJ|SCQ,|SCQ|BIO|IST|PEK|YNJ|
YNJ|AAL,|AAL|IST|PEK|YNJ|
YNJ|AOE,|AOE|BRU|IST|PEK|YNJ|
YNJ|JNB,|JNB|IST|PEK|YNJ|
YNJ|LBV,|LBV|DLA|IST|PEK|YNJ|
YNJ|ADA,|ADA|IST|PEK|YNJ|
YNJ|ADB,|ADB|IST|PEK|YNJ|
YNJ|ADF,|ADF|IST|PEK|YNJ|
YNJ|AJI,|AJI|IST|PEK|YNJ|
YNJ|BAL,|BAL|IST|PEK|YNJ|
YNJ|BJV,|BJV|IST|PEK|YNJ|
YNJ|CKZ,|CKZ|ESB|IST|PEK|YNJ|
YNJ|DIY,|DIY|IST|PEK|YNJ|
YNJ|ECN,|ECN|IST|PEK|YNJ|
YNJ|ERC,|ERC|IST|PEK|YNJ|
YNJ|ERZ,|ERZ|IST|PEK|YNJ|
YNJ|EZS,|EZS|IST|PEK|YNJ|
YNJ|GNY,|GNY|IST|PEK|YNJ|
YNJ|GZP,|GZP|ESB|IST|PEK|YNJ|
YNJ|GZT,|GZT|IST|PEK|YNJ|
YNJ|HTY,|HTY|IST|PEK|YNJ|
YNJ|KCM,|KCM|IST|PEK|YNJ|
YNJ|KSY,|KSY|IST|PEK|YNJ|
YNJ|MLX,|MLX|IST|PEK|YNJ|
YNJ|MQM,|MQM|IST|PEK|YNJ|
YNJ|MSR,|MSR|IST|PEK|YNJ|
YNJ|TEQ,|TEQ|ESB|IST|PEK|YNJ|
YNJ|TZX,|TZX|IST|PEK|YNJ|
YNJ|VAN,|VAN|IST|PEK|YNJ|
YNJ|ULN,|ULN|FRU|URC|HET|CGQ|YNJ|
YNJ|HIJ,|HIJ|ICN|YNJ|
YNJ|VVO,|VVO|ICN|YNJ|
YNJ|ACC,|ACC|IST|PEK|YNJ|
YNJ|AER,|AER|IST|PEK|YNJ|
YNJ|AGP,|AGP|IST|PEK|YNJ|
YNJ|ALG,|ALG|IST|PEK|YNJ|
YNJ|AMM,|AMM|IST|PEK|YNJ|
YNJ|AQJ,|AQJ|IST|PEK|YNJ|
YNJ|ARN,|ARN|IST|PEK|YNJ|
YNJ|ASR,|ASR|IST|PEK|YNJ|
YNJ|ATH,|ATH|IST|PEK|YNJ|
YNJ|BAH,|BAH|IST|PEK|YNJ|
YNJ|BEG,|BEG|IST|PEK|YNJ|
YNJ|BEN,|BEN|IST|PEK|YNJ|
YNJ|BEY,|BEY|IST|PEK|YNJ|
YNJ|BHX,|BHX|IST|PEK|YNJ|
YNJ|BIO,|BIO|IST|PEK|YNJ|
YNJ|BLQ,|BLQ|IST|PEK|YNJ|
YNJ|BOM,|BOM|IST|PEK|YNJ|
YNJ|BRE,|BRE|IST|PEK|YNJ|
YNJ|BSL,|BSL|IST|PEK|YNJ|
YNJ|BSR,|BSR|IST|PEK|YNJ|
YNJ|BUD,|BUD|IST|PEK|YNJ|
YNJ|BUS,|BUS|IST|PEK|YNJ|
YNJ|CAI,|CAI|IST|PEK|YNJ|
YNJ|CGN,|CGN|IST|PEK|YNJ|
YNJ|CMN,|CMN|IST|PEK|YNJ|
YNJ|CND,|CND|IST|PEK|YNJ|
YNJ|DAR,|DAR|NBO|CAN|ICN|YNJ|
