BAH|SSH,|SSH|IST|BAH|
BAH|STR,|STR|IST|BAH|
BAH|SVX,|SVX|IST|BAH|
BAH|SYZ,|SYZ|IST|BAH|
BAH|SZG,|SZG|IST|BAH|
BAH|TBZ,|TBZ|IST|BAH|
BAH|TGD,|TGD|IST|BAH|
BAH|TIA,|TIA|IST|BAH|
BAH|TIF,|TIF|IST|BAH|
BAH|TIP,|TIP|IST|BAH|
BAH|TLL,|TLL|IST|BAH|
BAH|TLS,|TLS|IST|BAH|
BAH|TRN,|TRN|IST|BAH|
BAH|TUN,|TUN|IST|BAH|
BAH|TXL,|TXL|IST|BAH|
BAH|UFA,|UFA|IST|BAH|
BAH|VAS,|VAS|SAW|KWI|BAH|
BAH|VCE,|VCE|IST|BAH|
BAH|YNB,|YNB|IST|BAH|
BAH|ZAG,|ZAG|IST|BAH|
BAH|MGQ,|MGQ|JIB|IST|BAH|
BAH|CPT,|CPT|JNB|IST|BAH|
BAH|MBA,|MBA|JRO|IST|BAH|
BAH|NDJ,|NDJ|KAN|IST|BAH|
BAH|CMB,|CMB|MLE|IST|BAH|
BAH|ADE,|ADE|SAH|IST|BAH|
