MNL|ORN,|ORN|IST|CAN|MNL|
MNL|OTP,|OTP|IST|CAN|MNL|
MNL|PRG,|PRG|IST|CAN|MNL|
MNL|PRN,|PRN|IST|CAN|MNL|
MNL|RIX,|RIX|IST|CAN|MNL|
MNL|ROV,|ROV|IST|CAN|MNL|
MNL|RTM,|RTM|IST|CAN|MNL|
MNL|RUH,|RUH|IST|CAN|MNL|
MNL|SAH,|SAH|IST|CAN|MNL|
MNL|SJJ,|SJJ|IST|CAN|MNL|
MNL|SKG,|SKG|IST|CAN|MNL|
MNL|SKP,|SKP|IST|CAN|MNL|
MNL|SSH,|SSH|IST|CAN|MNL|
MNL|STR,|STR|IST|CAN|MNL|
MNL|SVX,|SVX|IST|CAN|MNL|
MNL|SYZ,|SYZ|IST|CAN|MNL|
MNL|SZG,|SZG|IST|CAN|MNL|
MNL|TBZ,|TBZ|IST|CAN|MNL|
MNL|TGD,|TGD|IST|CAN|MNL|
MNL|TIA,|TIA|IST|CAN|MNL|
MNL|TIF,|TIF|IST|CAN|MNL|
MNL|TIP,|TIP|IST|CAN|MNL|
MNL|TLL,|TLL|IST|CAN|MNL|
MNL|TLS,|TLS|IST|CAN|MNL|
MNL|TRN,|TRN|IST|CAN|MNL|
MNL|TUN,|TUN|IST|CAN|MNL|
MNL|TXL,|TXL|IST|CAN|MNL|
MNL|UFA,|UFA|IST|CAN|MNL|
MNL|VAS,|VAS|IST|CAN|MNL|
MNL|VCE,|VCE|IST|CAN|MNL|
MNL|YNB,|YNB|IST|CAN|MNL|
MNL|ZAG,|ZAG|IST|CAN|MNL|
MNL|MGQ,|MGQ|JIB|IST|CAN|MNL|
MNL|CPT,|CPT|JNB|IST|CAN|MNL|
MNL|MBA,|MBA|JRO|IST|CAN|MNL|
MNL|NDJ,|NDJ|KAN|IST|CAN|MNL|
MNL|CMB,|CMB|MLE|CAN|MNL|
MNL|ADE,|ADE|SAH|IST|CAN|MNL|
MNL|ASF,|ASF|SAW|TBS|URC|CAN|MNL|
