MEL|TPE,|TPE|CAN|MEL|
MEL|TSN,|TSN|CAN|MEL|
MEL|TXN,|TXN|CAN|MEL|
MEL|TYN,|TYN|CAN|MEL|
MEL|WNZ,|WNZ|CAN|MEL|
MEL|WUX,|WUX|CAN|MEL|
MEL|XFN,|XFN|CAN|MEL|
MEL|XIY,|XIY|CAN|MEL|
MEL|XUZ,|XUZ|CAN|MEL|
MEL|YIH,|YIH|CAN|MEL|
MEL|YIW,|YIW|CAN|MEL|
MEL|YNT,|YNT|CAN|MEL|
MEL|YNZ,|YNZ|CAN|MEL|
MEL|YTY,|YTY|CAN|MEL|
MEL|ZHA,|ZHA|CAN|MEL|
MEL|ZYI,|ZYI|CAN|MEL|
MEL|BAV,|BAV|CSX|CAN|MEL|
MEL|CJU,|CJU|CSX|CAN|MEL|
MEL|DSN,|DSN|CGO|CAN|MEL|
MEL|HMI,|HMI|CGO|CAN|MEL|
MEL|INC,|INC|XIY|CAN|MEL|
MEL|KHH,|KHH|WUH|CAN|MEL|
MEL|UYN,|UYN|XIY|CAN|MEL|
MEL|XNN,|XNN|CKG|CAN|MEL|
MEL|ZUH,|ZUH|MXZ|CAN|MEL|
MEL|YNJ,|YNJ|ICN|SYD|MEL|
MEL|DAT,|DAT|CIH|CAN|MEL|
MEL|JHG,|JHG|KMG|CAN|MEL|
MEL|LJG,|LJG|KMG|CAN|MEL|
MEL|LXA,|LXA|CKG|CAN|MEL|
MEL|YCU,|YCU|CSX|CAN|MEL|
MEL|LZO,|LZO|CSX|CAN|MEL|
MEL|MDG,|MDG|ICN|SYD|MEL|
MEL|NGO,|NGO|ICN|SYD|MEL|
MEL|TOY,|TOY|DLC|CAN|MEL|
MEL|MFM,|MFM|XMN|CAN|MEL|
MEL|TGO,|TGO|HET|CAN|MEL|
MEL|XIL,|XIL|HET|CAN|MEL|
MEL|HEK,|HEK|HRB|ICN|SYD|MEL|
MEL|KIJ,|KIJ|HRB|ICN|SYD|MEL|
MEL|LDS,|LDS|HRB|ICN|SYD|MEL|
MEL|OHE,|OHE|HRB|ICN|SYD|MEL|
MEL|HSN,|HSN|XMN|CAN|MEL|
MEL|DLU,|DLU|KMG|CAN|MEL|
MEL|SYM,|SYM|KMG|CAN|MEL|
MEL|ZAT,|ZAT|KMG|CAN|MEL|
MEL|LUN,|LUN|NBO|BKK|MEL|
MEL|AOG,|AOG|PEK|CAN|MEL|
MEL|GMP,|GMP|PEK|CAN|MEL|
MEL|ISB,|ISB|URC|CAN|MEL|
MEL|TAS,|TAS|URC|CAN|MEL|
MEL|WUS,|WUS|PEK|CAN|MEL|
MEL|JMU,|JMU|PVG|CAN|MEL|
MEL|NDG,|NDG|PVG|CAN|MEL|
MEL|JXA,|JXA|SHE|ICN|SYD|MEL|
MEL|PUS,|PUS|SHE|ICN|SYD|MEL|
MEL|BKI,|BKI|SZX|MXZ|CAN|MEL|
MEL|AKU,|AKU|URC|CAN|MEL|
MEL|ALA,|ALA|URC|CAN|MEL|
MEL|ASB,|ASB|URC|CAN|MEL|
MEL|DNH,|DNH|XIY|CAN|MEL|
MEL|DYU,|DYU|URC|CAN|MEL|
MEL|FRU,|FRU|URC|CAN|MEL|
MEL|GYD,|GYD|URC|CAN|MEL|
MEL|HTN,|HTN|URC|CAN|MEL|
MEL|IKA,|IKA|URC|CAN|MEL|
MEL|KCA,|KCA|URC|CAN|MEL|
MEL|KHG,|KHG|URC|CAN|MEL|
MEL|KRL,|KRL|URC|CAN|MEL|
MEL|KRY,|KRY|URC|CAN|MEL|
MEL|LBD,|LBD|URC|CAN|MEL|
MEL|NLT,|NLT|URC|CAN|MEL|
MEL|OSS,|OSS|URC|CAN|MEL|
MEL|OVB,|OVB|URC|CAN|MEL|
MEL|TBS,|TBS|URC|CAN|MEL|
MEL|TCG,|TCG|URC|CAN|MEL|
MEL|TSE,|TSE|URC|CAN|MEL|
MEL|YIN,|YIN|URC|CAN|MEL|
MEL|ENH,|ENH|WUH|CAN|MEL|
MEL|ENY,|ENY|XIY|CAN|MEL|
MEL|WXN,|WXN|XMN|CAN|MEL|
MEL|BLL,|BLL|IST|BKK|MEL|
MEL|ESB,|ESB|IST|BKK|MEL|
MEL|SAW,|SAW|ADB|IST|BKK|MEL|
MEL|HAM,|HAM|IST|BKK|MEL|
MEL|HRE,|HRE|ADD|IST|BKK|MEL|
MEL|JUB,|JUB|CAI|IST|BKK|MEL|
MEL|SSG,|SSG|DLA|IST|BKK|MEL|
MEL|BGW,|BGW|IST|BKK|MEL|
MEL|EBL,|EBL|IST|BKK|MEL|
MEL|VKO,|VKO|IST|BKK|MEL|
MEL|MCT,|MCT|IST|BKK|MEL|
MEL|AYT,|AYT|IST|BKK|MEL|
MEL|SCQ,|SCQ|BIO|IST|BKK|MEL|
MEL|AAL,|AAL|IST|BKK|MEL|
MEL|AOE,|AOE|BRU|IST|BKK|MEL|
MEL|JNB,|JNB|IST|BKK|MEL|
MEL|LBV,|LBV|DLA|IST|BKK|MEL|
MEL|ADA,|ADA|IST|BKK|MEL|
MEL|ADB,|ADB|IST|BKK|MEL|
MEL|ADF,|ADF|IST|BKK|MEL|
MEL|AJI,|AJI|IST|BKK|MEL|
MEL|BAL,|BAL|IST|BKK|MEL|
MEL|BJV,|BJV|IST|BKK|MEL|
MEL|CKZ,|CKZ|ESB|IST|BKK|MEL|
MEL|DIY,|DIY|IST|BKK|MEL|
MEL|ECN,|ECN|IST|BKK|MEL|
MEL|ERC,|ERC|IST|BKK|MEL|
MEL|ERZ,|ERZ|IST|BKK|MEL|
MEL|EZS,|EZS|IST|BKK|MEL|
MEL|GNY,|GNY|IST|BKK|MEL|
MEL|GZP,|GZP|ESB|IST|BKK|MEL|
MEL|GZT,|GZT|IST|BKK|MEL|
MEL|HTY,|HTY|IST|BKK|MEL|
MEL|KCM,|KCM|IST|BKK|MEL|
MEL|KSY,|KSY|IST|BKK|MEL|
MEL|MLX,|MLX|IST|BKK|MEL|
MEL|MQM,|MQM|IST|BKK|MEL|
MEL|MSR,|MSR|IST|BKK|MEL|
MEL|TEQ,|TEQ|ESB|IST|BKK|MEL|
MEL|TZX,|TZX|IST|BKK|MEL|
MEL|VAN,|VAN|IST|BKK|MEL|
MEL|ULN,|ULN|FRU|URC|CAN|MEL|
MEL|HIJ,|HIJ|ICN|SYD|MEL|
MEL|VVO,|VVO|ICN|SYD|MEL|
MEL|ACC,|ACC|IST|BKK|MEL|
MEL|AER,|AER|IST|BKK|MEL|
MEL|AGP,|AGP|IST|BKK|MEL|
MEL|ALG,|ALG|IST|BKK|MEL|
MEL|AMM,|AMM|IST|BKK|MEL|
MEL|AQJ,|AQJ|IST|BKK|MEL|
MEL|ARN,|ARN|IST|BKK|MEL|
MEL|ASR,|ASR|IST|BKK|MEL|
MEL|ATH,|ATH|IST|BKK|MEL|
MEL|BAH,|BAH|IST|BKK|MEL|
MEL|BEG,|BEG|IST|BKK|MEL|
MEL|BEN,|BEN|IST|BKK|MEL|
MEL|BEY,|BEY|IST|BKK|MEL|
MEL|BHX,|BHX|IST|BKK|MEL|
MEL|BIO,|BIO|IST|BKK|MEL|
MEL|BLQ,|BLQ|IST|BKK|MEL|
MEL|BOM,|BOM|IST|BKK|MEL|
MEL|BRE,|BRE|IST|BKK|MEL|
MEL|BSL,|BSL|IST|BKK|MEL|
MEL|BSR,|BSR|IST|BKK|MEL|
MEL|BUD,|BUD|IST|BKK|MEL|
MEL|BUS,|BUS|IST|BKK|MEL|
MEL|CAI,|CAI|IST|BKK|MEL|
MEL|CGN,|CGN|IST|BKK|MEL|
MEL|CMN,|CMN|IST|BKK|MEL|
MEL|CND,|CND|IST|BKK|MEL|
MEL|DAR,|DAR|NBO|BKK|MEL|
MEL|DLM,|DLM|IST|BKK|MEL|
MEL|DMM,|DMM|IST|BKK|MEL|
MEL|DNK,|DNK|IST|BKK|MEL|
MEL|DNZ,|DNZ|IST|BKK|MEL|
MEL|DOK,|DOK|IST|BKK|MEL|
MEL|DUS,|DUS|IST|BKK|MEL|
MEL|EDI,|EDI|IST|BKK|MEL|
MEL|ELQ,|ELQ|IST|BKK|MEL|
MEL|FDH,|FDH|IST|BKK|MEL|
MEL|GOA,|GOA|IST|BKK|MEL|
MEL|GOT,|GOT|IST|BKK|MEL|
MEL|HAJ,|HAJ|IST|BKK|MEL|
MEL|HBE,|HBE|IST|BKK|MEL|
MEL|HEL,|HEL|IST|BKK|MEL|
MEL|HRG,|HRG|IST|BKK|MEL|
MEL|IFN,|IFN|IST|BKK|MEL|
MEL|ISE,|ISE|IST|BKK|MEL|
MEL|ISU,|ISU|IST|BKK|MEL|
MEL|JIB,|JIB|IST|BKK|MEL|
MEL|JRO,|JRO|IST|BKK|MEL|
MEL|KAN,|KAN|IST|BKK|MEL|
MEL|KBL,|KBL|IST|BKK|MEL|
MEL|KBP,|KBP|IST|BKK|MEL|
MEL|KFS,|KFS|IST|BKK|MEL|
MEL|KHI,|KHI|IST|BKK|MEL|
MEL|KIV,|KIV|IST|BKK|MEL|
MEL|KRT,|KRT|IST|BKK|MEL|
MEL|KSH,|KSH|IST|BKK|MEL|
MEL|KVD,|KVD|IST|BKK|MEL|
MEL|KWI,|KWI|IST|BKK|MEL|
MEL|KYA,|KYA|IST|BKK|MEL|
MEL|KZN,|KZN|IST|BKK|MEL|
MEL|KZR,|KZR|IST|BKK|MEL|
MEL|LED,|LED|IST|BKK|MEL|
MEL|LEJ,|LEJ|IST|BKK|MEL|
MEL|LGW,|LGW|IST|BKK|MEL|
MEL|LHE,|LHE|IST|BKK|MEL|
MEL|LIS,|LIS|IST|BKK|MEL|
MEL|LJU,|LJU|IST|BKK|MEL|
MEL|LOS,|LOS|IST|BKK|MEL|
MEL|LUX,|LUX|IST|BKK|MEL|
MEL|LWO,|LWO|IST|BKK|MEL|
MEL|LYS,|LYS|IST|BKK|MEL|
MEL|MAD,|MAD|IST|BKK|MEL|
MEL|MAN,|MAN|IST|BKK|MEL|
MEL|MED,|MED|IST|BKK|MEL|
MEL|MHD,|MHD|IST|BKK|MEL|
MEL|MLA,|MLA|IST|BKK|MEL|
MEL|MRS,|MRS|IST|BKK|MEL|
MEL|MSQ,|MSQ|IST|BKK|MEL|
MEL|MXP,|MXP|IST|BKK|MEL|
MEL|MZH,|MZH|IST|BKK|MEL|
MEL|MZR,|MZR|IST|BKK|MEL|
MEL|NAJ,|NAJ|IST|BKK|MEL|
