BFS|KRT,|KRT|IST|BHX|EWR|BFS|
BFS|KSH,|KSH|IST|BHX|EWR|BFS|
BFS|KVD,|KVD|IST|BHX|EWR|BFS|
BFS|KWI,|KWI|SAW|FRA|EWR|BFS|
BFS|KYA,|KYA|IST|BHX|EWR|BFS|
BFS|KZN,|KZN|IST|BHX|EWR|BFS|
BFS|KZR,|KZR|IST|BHX|EWR|BFS|
BFS|LED,|LED|VIE|IAD|EWR|BFS|
BFS|LEJ,|LEJ|IST|BHX|EWR|BFS|
BFS|LGW,|LGW|IST|BHX|EWR|BFS|
BFS|LHE,|LHE|IST|BHX|EWR|BFS|
BFS|LIS,|LIS|EWR|BFS|
BFS|LJU,|LJU|IST|BHX|EWR|BFS|
BFS|LOS,|LOS|FRA|EWR|BFS|
BFS|LUX,|LUX|IST|BHX|EWR|BFS|
BFS|LWO,|LWO|IST|BHX|EWR|BFS|
BFS|LYS,|LYS|IST|BHX|EWR|BFS|
BFS|MAD,|MAD|EWR|BFS|
BFS|MAN,|MAN|EWR|BFS|
BFS|MED,|MED|IST|BHX|EWR|BFS|
BFS|MHD,|MHD|IST|BHX|EWR|BFS|
BFS|MLA,|MLA|IST|BHX|EWR|BFS|
BFS|MRS,|MRS|IST|BHX|EWR|BFS|
BFS|MSQ,|MSQ|IST|BHX|EWR|BFS|
BFS|MXP,|MXP|EWR|BFS|
BFS|MZH,|MZH|IST|BHX|EWR|BFS|
BFS|MZR,|MZR|IST|BHX|EWR|BFS|
BFS|NAJ,|NAJ|IST|BHX|EWR|BFS|
BFS|NAV,|NAV|IST|BHX|EWR|BFS|
BFS|NCE,|NCE|IST|BHX|EWR|BFS|
BFS|NIM,|NIM|IST|BHX|EWR|BFS|
BFS|NJF,|NJF|IST|BHX|EWR|BFS|
BFS|NSI,|NSI|BRU|EWR|BFS|
BFS|NUE,|NUE|IST|BHX|EWR|BFS|
BFS|ODS,|ODS|IST|BHX|EWR|BFS|
BFS|ORN,|ORN|IST|BHX|EWR|BFS|
BFS|OTP,|OTP|IST|BHX|EWR|BFS|
BFS|PRG,|PRG|BRU|EWR|BFS|
