JAX|KTM,|KTM|IST|BHX|EWR|JAX|
JAX|KUL,|KUL|CAN|PEK|ORD|JAX|
JAX|KWE,|KWE|PEK|ORD|JAX|
JAX|KWL,|KWL|PEK|ORD|JAX|
JAX|LHW,|LHW|CGO|PEK|ORD|JAX|
JAX|LYA,|LYA|KHN|DLC|PEK|ORD|JAX|
JAX|LYG,|LYG|HSN|PEK|ORD|JAX|
JAX|LZH,|LZH|CAN|PEK|ORD|JAX|
JAX|MEL,|MEL|SYD|LAX|IAH|JAX|
JAX|MIG,|MIG|CSX|PEK|ORD|JAX|
JAX|MLE,|MLE|IST|BHX|EWR|JAX|
JAX|MNL,|MNL|XMN|PEK|ORD|JAX|
JAX|MXZ,|MXZ|CAN|PEK|ORD|JAX|
JAX|NAO,|NAO|PEK|ORD|JAX|
JAX|NGB,|NGB|PEK|ORD|JAX|
JAX|NKG,|NKG|DLC|PEK|ORD|JAX|
JAX|NNY,|NNY|CGO|PEK|ORD|JAX|
JAX|PEN,|PEN|CAN|PEK|ORD|JAX|
JAX|PER,|PER|CAN|PEK|ORD|JAX|
JAX|PNH,|PNH|CAN|PEK|ORD|JAX|
JAX|REP,|REP|CAN|PEK|ORD|JAX|
JAX|RGN,|RGN|CAN|PEK|ORD|JAX|
JAX|SGN,|SGN|CAN|PEK|ORD|JAX|
JAX|SHA,|SHA|PEK|ORD|JAX|
JAX|SIN,|SIN|HKG|ORD|JAX|
JAX|SVO,|SVO|URC|TSE|FRA|EWR|JAX|
JAX|SYX,|SYX|PEK|ORD|JAX|
JAX|TAO,|TAO|DLC|PEK|ORD|JAX|
JAX|TEN,|TEN|PEK|ORD|JAX|
JAX|TNA,|TNA|DLC|PEK|ORD|JAX|
JAX|TPE,|TPE|PVG|ORD|JAX|
JAX|TSN,|TSN|DLC|PEK|ORD|JAX|
JAX|TXN,|TXN|DLC|PEK|ORD|JAX|
JAX|TYN,|TYN|DAT|CIH|PEK|ORD|JAX|
JAX|WNZ,|WNZ|CGO|PEK|ORD|JAX|
JAX|WUX,|WUX|CAN|PEK|ORD|JAX|
JAX|XFN,|XFN|XMN|PEK|ORD|JAX|
JAX|XIY,|XIY|PEK|ORD|JAX|
JAX|XUZ,|XUZ|LYG|HSN|PEK|ORD|JAX|
JAX|YIH,|YIH|CKG|PEK|ORD|JAX|
JAX|YIW,|YIW|PEK|ORD|JAX|
JAX|YNT,|YNT|SHE|PEK|ORD|JAX|
JAX|YNZ,|YNZ|DLC|PEK|ORD|JAX|
JAX|YTY,|YTY|DLC|PEK|ORD|JAX|
JAX|ZHA,|ZHA|CAN|PEK|ORD|JAX|
JAX|ZYI,|ZYI|PEK|ORD|JAX|
JAX|BAV,|BAV|CGO|PEK|ORD|JAX|
JAX|CJU,|CJU|DLC|PEK|ORD|JAX|
JAX|DSN,|DSN|CGO|PEK|ORD|JAX|
JAX|HMI,|HMI|URC|TSE|FRA|EWR|JAX|
JAX|INC,|INC|PEK|ORD|JAX|
JAX|KHH,|KHH|CGO|PEK|ORD|JAX|
JAX|UYN,|UYN|CGO|PEK|ORD|JAX|
JAX|XNN,|XNN|PEK|ORD|JAX|
JAX|ZUH,|ZUH|PEK|ORD|JAX|
JAX|YNJ,|YNJ|ICN|YVR|DEN|JAX|
JAX|DAT,|DAT|CIH|PEK|ORD|JAX|
JAX|JHG,|JHG|CKG|PEK|ORD|JAX|
JAX|LJG,|LJG|CKG|PEK|ORD|JAX|
JAX|LXA,|LXA|XIY|PEK|ORD|JAX|
JAX|YCU,|YCU|CSX|PEK|ORD|JAX|
JAX|LZO,|LZO|CSX|PEK|ORD|JAX|
JAX|MDG,|MDG|ICN|YVR|DEN|JAX|
JAX|NGO,|NGO|ICN|YVR|DEN|JAX|
JAX|TOY,|TOY|DLC|PEK|ORD|JAX|
JAX|MFM,|MFM|XMN|PEK|ORD|JAX|
JAX|TGO,|TGO|HET|DLC|PEK|ORD|JAX|
JAX|XIL,|XIL|HET|DLC|PEK|ORD|JAX|
JAX|HEK,|HEK|HRB|PEK|ORD|JAX|
JAX|KIJ,|KIJ|HRB|PEK|ORD|JAX|
JAX|LDS,|LDS|HRB|PEK|ORD|JAX|
JAX|OHE,|OHE|HRB|PEK|ORD|JAX|
JAX|HSN,|HSN|PEK|ORD|JAX|
JAX|DLU,|DLU|KMG|PEK|ORD|JAX|
JAX|SYM,|SYM|KMG|PEK|ORD|JAX|
JAX|ZAT,|ZAT|KMG|PEK|ORD|JAX|
JAX|LUN,|LUN|NBO|ZRH|EWR|JAX|
JAX|AOG,|AOG|PEK|ORD|JAX|
JAX|GMP,|GMP|PEK|ORD|JAX|
JAX|ISB,|ISB|IST|BHX|EWR|JAX|
JAX|TAS,|TAS|IST|BHX|EWR|JAX|
JAX|WUS,|WUS|PEK|ORD|JAX|
JAX|JMU,|JMU|PVG|ORD|JAX|
JAX|NDG,|NDG|PVG|ORD|JAX|
JAX|JXA,|JXA|SHE|PEK|ORD|JAX|
JAX|PUS,|PUS|SHE|PEK|ORD|JAX|
JAX|BKI,|BKI|SZX|PEK|ORD|JAX|
JAX|AKU,|AKU|URC|TSE|FRA|EWR|JAX|
JAX|ALA,|ALA|TSE|FRA|EWR|JAX|
JAX|ASB,|ASB|GYD|FRA|EWR|JAX|
JAX|DNH,|DNH|URC|TSE|FRA|EWR|JAX|
JAX|DYU,|DYU|IST|BHX|EWR|JAX|
JAX|FRU,|FRU|IST|BHX|EWR|JAX|
JAX|GYD,|GYD|FRA|EWR|JAX|
JAX|HTN,|HTN|URC|TSE|FRA|EWR|JAX|
JAX|IKA,|IKA|SAW|FRA|EWR|JAX|
JAX|KCA,|KCA|URC|TSE|FRA|EWR|JAX|
JAX|KHG,|KHG|URC|TSE|FRA|EWR|JAX|
JAX|KRL,|KRL|URC|TSE|FRA|EWR|JAX|
JAX|KRY,|KRY|URC|TSE|FRA|EWR|JAX|
JAX|LBD,|LBD|URC|TSE|FRA|EWR|JAX|
JAX|NLT,|NLT|URC|TSE|FRA|EWR|JAX|
JAX|OSS,|OSS|IST|BHX|EWR|JAX|
JAX|OVB,|OVB|IST|BHX|EWR|JAX|
JAX|TBS,|TBS|SAW|FRA|EWR|JAX|
JAX|TCG,|TCG|URC|TSE|FRA|EWR|JAX|
JAX|TSE,|TSE|FRA|EWR|JAX|
JAX|YIN,|YIN|URC|TSE|FRA|EWR|JAX|
JAX|ENH,|ENH|WUH|PEK|ORD|JAX|
JAX|ENY,|ENY|XIY|PEK|ORD|JAX|
JAX|WXN,|WXN|XIY|PEK|ORD|JAX|
JAX|BLL,|BLL|IST|BHX|EWR|JAX|
JAX|ESB,|ESB|FRA|EWR|JAX|
JAX|SAW,|SAW|FRA|EWR|JAX|
JAX|HAM,|HAM|EWR|JAX|
JAX|HRE,|HRE|ADD|JED|FRA|EWR|JAX|
JAX|JUB,|JUB|CAI|JFK|IAD|JAX|
JAX|SSG,|SSG|DLA|BRU|EWR|JAX|
JAX|BGW,|BGW|ESB|FRA|EWR|JAX|
JAX|EBL,|EBL|IST|BHX|EWR|JAX|
JAX|VKO,|VKO|IST|BHX|EWR|JAX|
JAX|MCT,|MCT|IST|BHX|EWR|JAX|
JAX|AYT,|AYT|IST|BHX|EWR|JAX|
JAX|SCQ,|SCQ|BIO|IST|BHX|EWR|JAX|
JAX|AAL,|AAL|IST|BHX|EWR|JAX|
JAX|AOE,|AOE|BRU|EWR|JAX|
JAX|JNB,|JNB|DKR|IAD|JAX|
JAX|LBV,|LBV|DLA|BRU|EWR|JAX|
JAX|ADA,|ADA|SAW|FRA|EWR|JAX|
JAX|ADB,|ADB|HAM|EWR|JAX|
JAX|ADF,|ADF|ESB|FRA|EWR|JAX|
JAX|AJI,|AJI|ESB|FRA|EWR|JAX|
JAX|BAL,|BAL|ESB|FRA|EWR|JAX|
JAX|BJV,|BJV|IST|BHX|EWR|JAX|
JAX|CKZ,|CKZ|ESB|FRA|EWR|JAX|
JAX|DIY,|DIY|ESB|FRA|EWR|JAX|
JAX|ECN,|ECN|IST|BHX|EWR|JAX|
JAX|ERC,|ERC|ESB|FRA|EWR|JAX|
