HTY|BFJ,|BFJ|CAN|IST|HTY|
HTY|BHY,|BHY|CKG|URC|TBS|SAW|HTY|
HTY|BNE,|BNE|BKK|IST|HTY|
HTY|CGD,|CGD|PEK|IST|HTY|
HTY|CGK,|CGK|SIN|IST|HTY|
HTY|CGQ,|CGQ|HET|URC|TBS|SAW|HTY|
HTY|CIH,|CIH|PEK|IST|HTY|
HTY|CNX,|CNX|CAN|IST|HTY|
HTY|CZX,|CZX|TYN|URC|TBS|SAW|HTY|
HTY|DAC,|DAC|IST|HTY|
HTY|DAD,|DAD|CAN|IST|HTY|
HTY|DEL,|DEL|IST|HTY|
HTY|DIG,|DIG|KMG|CTU|URC|TBS|SAW|HTY|
HTY|DLC,|DLC|PEK|IST|HTY|
HTY|DPS,|DPS|CAN|IST|HTY|
HTY|DXB,|DXB|IST|HTY|
HTY|DYG,|DYG|CSX|URC|TBS|SAW|HTY|
HTY|FUG,|FUG|CAN|IST|HTY|
HTY|FUK,|FUK|ICN|IST|HTY|
HTY|HAK,|HAK|CTU|URC|TBS|SAW|HTY|
HTY|HAN,|HAN|CAN|IST|HTY|
HTY|HDG,|HDG|CAN|IST|HTY|
HTY|HET,|HET|URC|TBS|SAW|HTY|
HTY|HFE,|HFE|XIY|URC|TBS|SAW|HTY|
HTY|HJJ,|HJJ|CSX|URC|TBS|SAW|HTY|
HTY|HKT,|HKT|KWE|URC|TBS|SAW|HTY|
HTY|HRB,|HRB|PEK|IST|HTY|
HTY|HZH,|HZH|CAN|IST|HTY|
HTY|JIU,|JIU|CAN|IST|HTY|
HTY|JJN,|JJN|CSX|URC|TBS|SAW|HTY|
HTY|JNG,|JNG|CAN|IST|HTY|
HTY|KHN,|KHN|XIY|URC|TBS|SAW|HTY|
HTY|KIX,|KIX|IST|HTY|
HTY|KOW,|KOW|CAN|IST|HTY|
HTY|KTM,|KTM|IST|HTY|
HTY|KUL,|KUL|IST|HTY|
HTY|KWE,|KWE|URC|TBS|SAW|HTY|
HTY|KWL,|KWL|CKG|URC|TBS|SAW|HTY|
HTY|LHW,|LHW|URC|TBS|SAW|HTY|
HTY|LYA,|LYA|KHN|XIY|URC|TBS|SAW|HTY|
HTY|LYG,|LYG|XUZ|INC|URC|TBS|SAW|HTY|
HTY|LZH,|LZH|CAN|IST|HTY|
