ONT|REP,|REP|CAN|PVG|SFO|ONT|
ONT|RGN,|RGN|CAN|PVG|SFO|ONT|
ONT|SGN,|SGN|HKG|SFO|ONT|
ONT|SHA,|SHA|PEK|SFO|ONT|
ONT|SIN,|SIN|NRT|SFO|ONT|
ONT|SVO,|SVO|URC|PEK|SFO|ONT|
ONT|SYX,|SYX|PVG|SFO|ONT|
ONT|TAO,|TAO|DLC|ICN|SFO|ONT|
ONT|TEN,|TEN|PEK|SFO|ONT|
ONT|TNA,|TNA|DLC|ICN|SFO|ONT|
ONT|TPE,|TPE|SFO|ONT|
ONT|TSN,|TSN|DLC|ICN|SFO|ONT|
ONT|TXN,|TXN|DLC|ICN|SFO|ONT|
ONT|TYN,|TYN|DLC|ICN|SFO|ONT|
ONT|WNZ,|WNZ|CGO|PEK|SFO|ONT|
ONT|WUX,|WUX|CAN|PVG|SFO|ONT|
ONT|XFN,|XFN|CAN|PVG|SFO|ONT|
ONT|XIY,|XIY|PEK|SFO|ONT|
ONT|XUZ,|XUZ|LYG|HSN|PEK|SFO|ONT|
ONT|YIH,|YIH|CKG|PEK|SFO|ONT|
ONT|YIW,|YIW|PEK|SFO|ONT|
ONT|YNT,|YNT|SHE|ICN|SFO|ONT|
ONT|YNZ,|YNZ|DLC|ICN|SFO|ONT|
ONT|YTY,|YTY|DLC|ICN|SFO|ONT|
ONT|ZHA,|ZHA|CAN|PVG|SFO|ONT|
ONT|ZYI,|ZYI|PEK|SFO|ONT|
ONT|BAV,|BAV|SJW|DLC|ICN|SFO|ONT|
ONT|CJU,|CJU|DLC|ICN|SFO|ONT|
ONT|DSN,|DSN|CGO|PEK|SFO|ONT|
ONT|HMI,|HMI|CGO|PEK|SFO|ONT|
ONT|INC,|INC|PEK|SFO|ONT|
ONT|KHH,|KHH|WUH|ICN|SFO|ONT|
ONT|UYN,|UYN|CGO|PEK|SFO|ONT|
ONT|XNN,|XNN|PEK|SFO|ONT|
ONT|ZUH,|ZUH|PVG|SFO|ONT|
ONT|YNJ,|YNJ|ICN|SFO|ONT|
ONT|DAT,|DAT|CIH|PEK|SFO|ONT|
ONT|JHG,|JHG|CKG|PEK|SFO|ONT|
ONT|LJG,|LJG|CKG|PEK|SFO|ONT|
ONT|LXA,|LXA|XIY|PEK|SFO|ONT|
ONT|YCU,|YCU|CSX|ICN|SFO|ONT|
ONT|LZO,|LZO|CSX|ICN|SFO|ONT|
ONT|MDG,|MDG|ICN|SFO|ONT|
ONT|NGO,|NGO|ICN|SFO|ONT|
ONT|TOY,|TOY|DLC|ICN|SFO|ONT|
ONT|MFM,|MFM|HGH|DLC|ICN|SFO|ONT|
ONT|TGO,|TGO|HET|DLC|ICN|SFO|ONT|
ONT|XIL,|XIL|HET|DLC|ICN|SFO|ONT|
ONT|HEK,|HEK|HRB|ICN|SFO|ONT|
ONT|KIJ,|KIJ|HRB|ICN|SFO|ONT|
ONT|LDS,|LDS|HRB|ICN|SFO|ONT|
ONT|OHE,|OHE|HRB|ICN|SFO|ONT|
ONT|HSN,|HSN|PEK|SFO|ONT|
ONT|DLU,|DLU|KMG|PEK|SFO|ONT|
ONT|SYM,|SYM|KMG|PEK|SFO|ONT|
ONT|ZAT,|ZAT|KMG|PEK|SFO|ONT|
ONT|LUN,|LUN|NBO|ZRH|ORD|DEN|ONT|
ONT|AOG,|AOG|PEK|SFO|ONT|
ONT|GMP,|GMP|PEK|SFO|ONT|
ONT|ISB,|ISB|PEK|SFO|ONT|
ONT|TAS,|TAS|PEK|SFO|ONT|
ONT|WUS,|WUS|PEK|SFO|ONT|
ONT|JMU,|JMU|PVG|SFO|ONT|
ONT|NDG,|NDG|PVG|SFO|ONT|
ONT|JXA,|JXA|SHE|ICN|SFO|ONT|
ONT|PUS,|PUS|SHE|ICN|SFO|ONT|
ONT|BKI,|BKI|SZX|PVG|SFO|ONT|
ONT|AKU,|AKU|URC|PEK|SFO|ONT|
ONT|ALA,|ALA|URC|PEK|SFO|ONT|
ONT|ASB,|ASB|GYD|FRA|DEN|ONT|
ONT|DNH,|DNH|XIY|PEK|SFO|ONT|
ONT|DYU,|DYU|URC|PEK|SFO|ONT|
ONT|FRU,|FRU|URC|PEK|SFO|ONT|
ONT|GYD,|GYD|FRA|DEN|ONT|
ONT|HTN,|HTN|URC|PEK|SFO|ONT|
ONT|IKA,|IKA|SAW|FRA|DEN|ONT|
ONT|KCA,|KCA|URC|PEK|SFO|ONT|
ONT|KHG,|KHG|URC|PEK|SFO|ONT|
ONT|KRL,|KRL|URC|PEK|SFO|ONT|
ONT|KRY,|KRY|URC|PEK|SFO|ONT|
ONT|LBD,|LBD|URC|PEK|SFO|ONT|
ONT|NLT,|NLT|URC|PEK|SFO|ONT|
ONT|OSS,|OSS|URC|PEK|SFO|ONT|
ONT|OVB,|OVB|URC|PEK|SFO|ONT|
ONT|TBS,|TBS|SAW|FRA|DEN|ONT|
ONT|TCG,|TCG|URC|PEK|SFO|ONT|
ONT|TSE,|TSE|FRA|DEN|ONT|
ONT|YIN,|YIN|URC|PEK|SFO|ONT|
ONT|ENH,|ENH|WUH|ICN|SFO|ONT|
ONT|ENY,|ENY|XIY|PEK|SFO|ONT|
ONT|WXN,|WXN|XIY|PEK|SFO|ONT|
ONT|BLL,|BLL|IST|FRA|DEN|ONT|
ONT|ESB,|ESB|FRA|DEN|ONT|
ONT|SAW,|SAW|FRA|DEN|ONT|
ONT|HAM,|HAM|EWR|MDW|ONT|
ONT|HRE,|HRE|ADD|JED|FRA|DEN|ONT|
ONT|JUB,|JUB|CAI|IST|FRA|DEN|ONT|
ONT|SSG,|SSG|DLA|BRU|ORD|DEN|ONT|
ONT|BGW,|BGW|ESB|FRA|DEN|ONT|
ONT|EBL,|EBL|IST|FRA|DEN|ONT|
ONT|VKO,|VKO|IST|FRA|DEN|ONT|
ONT|MCT,|MCT|IST|FRA|DEN|ONT|
ONT|AYT,|AYT|IST|FRA|DEN|ONT|
ONT|SCQ,|SCQ|BIO|IST|FRA|DEN|ONT|
ONT|AAL,|AAL|IST|FRA|DEN|ONT|
ONT|AOE,|AOE|BRU|ORD|DEN|ONT|
ONT|JNB,|JNB|DKR|IAD|LAS|ONT|
ONT|LBV,|LBV|DLA|BRU|ORD|DEN|ONT|
ONT|ADA,|ADA|SAW|FRA|DEN|ONT|
ONT|ADB,|ADB|IST|FRA|DEN|ONT|
ONT|ADF,|ADF|ESB|FRA|DEN|ONT|
ONT|AJI,|AJI|ESB|FRA|DEN|ONT|
ONT|BAL,|BAL|ESB|FRA|DEN|ONT|
ONT|BJV,|BJV|IST|FRA|DEN|ONT|
ONT|CKZ,|CKZ|ESB|FRA|DEN|ONT|
ONT|DIY,|DIY|ESB|FRA|DEN|ONT|
ONT|ECN,|ECN|IST|FRA|DEN|ONT|
ONT|ERC,|ERC|ESB|FRA|DEN|ONT|
ONT|ERZ,|ERZ|ESB|FRA|DEN|ONT|
ONT|EZS,|EZS|ESB|FRA|DEN|ONT|
ONT|GNY,|GNY|ESB|FRA|DEN|ONT|
ONT|GZP,|GZP|ESB|FRA|DEN|ONT|
ONT|GZT,|GZT|ESB|FRA|DEN|ONT|
ONT|HTY,|HTY|SAW|FRA|DEN|ONT|
ONT|KCM,|KCM|ESB|FRA|DEN|ONT|
ONT|KSY,|KSY|ESB|FRA|DEN|ONT|
ONT|MLX,|MLX|ESB|FRA|DEN|ONT|
ONT|MQM,|MQM|ESB|FRA|DEN|ONT|
ONT|MSR,|MSR|ESB|FRA|DEN|ONT|
ONT|TEQ,|TEQ|ESB|FRA|DEN|ONT|
ONT|TZX,|TZX|ESB|FRA|DEN|ONT|
ONT|VAN,|VAN|ESB|FRA|DEN|ONT|
ONT|ULN,|ULN|FRU|URC|PEK|SFO|ONT|
ONT|HIJ,|HIJ|ICN|SFO|ONT|
ONT|VVO,|VVO|ICN|SFO|ONT|
ONT|ACC,|ACC|IST|FRA|DEN|ONT|
ONT|AER,|AER|IST|FRA|DEN|ONT|
ONT|AGP,|AGP|IST|FRA|DEN|ONT|
ONT|ALG,|ALG|IST|FRA|DEN|ONT|
ONT|AMM,|AMM|IST|FRA|DEN|ONT|
ONT|AQJ,|AQJ|IST|FRA|DEN|ONT|
ONT|ARN,|ARN|EWR|MDW|ONT|
ONT|ASR,|ASR|SAW|FRA|DEN|ONT|
ONT|ATH,|ATH|IST|FRA|DEN|ONT|
ONT|BAH,|BAH|IST|FRA|DEN|ONT|
ONT|BEG,|BEG|IST|FRA|DEN|ONT|
ONT|BEN,|BEN|IST|FRA|DEN|ONT|
ONT|BEY,|BEY|IST|FRA|DEN|ONT|
ONT|BHX,|BHX|EWR|MDW|ONT|
ONT|BIO,|BIO|IST|FRA|DEN|ONT|
ONT|BLQ,|BLQ|IST|FRA|DEN|ONT|
ONT|BOM,|BOM|IST|FRA|DEN|ONT|
ONT|BRE,|BRE|IST|FRA|DEN|ONT|
ONT|BSL,|BSL|IST|FRA|DEN|ONT|
ONT|BSR,|BSR|IST|FRA|DEN|ONT|
ONT|BUD,|BUD|IST|FRA|DEN|ONT|
ONT|BUS,|BUS|IST|FRA|DEN|ONT|
ONT|CAI,|CAI|IST|FRA|DEN|ONT|
ONT|CGN,|CGN|IST|FRA|DEN|ONT|
ONT|CMN,|CMN|IST|FRA|DEN|ONT|
ONT|CND,|CND|IST|FRA|DEN|ONT|
ONT|DAR,|DAR|NBO|ZRH|ORD|DEN|ONT|
ONT|DLM,|DLM|IST|FRA|DEN|ONT|
ONT|DMM,|DMM|IST|FRA|DEN|ONT|
ONT|DNK,|DNK|IST|FRA|DEN|ONT|
ONT|DNZ,|DNZ|IST|FRA|DEN|ONT|
ONT|DOK,|DOK|IST|FRA|DEN|ONT|
ONT|DUS,|DUS|ORD|DEN|ONT|
ONT|EDI,|EDI|EWR|MDW|ONT|
ONT|ELQ,|ELQ|IST|FRA|DEN|ONT|
ONT|FDH,|FDH|IST|FRA|DEN|ONT|
ONT|GOA,|GOA|IST|FRA|DEN|ONT|
ONT|GOT,|GOT|BRU|ORD|DEN|ONT|
ONT|HAJ,|HAJ|BRU|ORD|DEN|ONT|
ONT|HBE,|HBE|IST|FRA|DEN|ONT|
ONT|HEL,|HEL|IST|FRA|DEN|ONT|
ONT|HRG,|HRG|IST|FRA|DEN|ONT|
ONT|IFN,|IFN|IST|FRA|DEN|ONT|
ONT|ISE,|ISE|IST|FRA|DEN|ONT|
ONT|ISU,|ISU|IST|FRA|DEN|ONT|
ONT|JIB,|JIB|IST|FRA|DEN|ONT|
