SHE|ESB,|ESB|IST|PEK|SHE|
SHE|SAW,|SAW|TBS|URC|HET|SHE|
SHE|HAM,|HAM|IST|PEK|SHE|
SHE|HRE,|HRE|ADD|IST|PEK|SHE|
SHE|JUB,|JUB|CAI|IST|PEK|SHE|
SHE|SSG,|SSG|DLA|IST|PEK|SHE|
SHE|BGW,|BGW|IST|PEK|SHE|
SHE|EBL,|EBL|IST|PEK|SHE|
SHE|VKO,|VKO|IST|PEK|SHE|
SHE|MCT,|MCT|IST|PEK|SHE|
SHE|AYT,|AYT|IST|PEK|SHE|
SHE|SCQ,|SCQ|BIO|IST|PEK|SHE|
SHE|AAL,|AAL|IST|PEK|SHE|
SHE|AOE,|AOE|BRU|IST|PEK|SHE|
SHE|JNB,|JNB|IST|PEK|SHE|
SHE|LBV,|LBV|DLA|IST|PEK|SHE|
SHE|ADA,|ADA|IST|PEK|SHE|
SHE|ADB,|ADB|IST|PEK|SHE|
SHE|ADF,|ADF|IST|PEK|SHE|
SHE|AJI,|AJI|IST|PEK|SHE|
SHE|BAL,|BAL|IST|PEK|SHE|
SHE|BJV,|BJV|IST|PEK|SHE|
SHE|CKZ,|CKZ|ESB|IST|PEK|SHE|
SHE|DIY,|DIY|IST|PEK|SHE|
SHE|ECN,|ECN|IST|PEK|SHE|
SHE|ERC,|ERC|IST|PEK|SHE|
SHE|ERZ,|ERZ|IST|PEK|SHE|
SHE|EZS,|EZS|IST|PEK|SHE|
SHE|GNY,|GNY|IST|PEK|SHE|
SHE|GZP,|GZP|ESB|IST|PEK|SHE|
SHE|GZT,|GZT|IST|PEK|SHE|
SHE|HTY,|HTY|IST|PEK|SHE|
SHE|KCM,|KCM|IST|PEK|SHE|
SHE|KSY,|KSY|IST|PEK|SHE|
SHE|MLX,|MLX|IST|PEK|SHE|
SHE|MQM,|MQM|IST|PEK|SHE|
SHE|MSR,|MSR|IST|PEK|SHE|
SHE|TEQ,|TEQ|ESB|IST|PEK|SHE|
SHE|TZX,|TZX|IST|PEK|SHE|
SHE|VAN,|VAN|IST|PEK|SHE|
SHE|ULN,|ULN|FRU|URC|HET|SHE|
SHE|HIJ,|HIJ|ICN|SHE|
SHE|VVO,|VVO|ICN|SHE|
SHE|ACC,|ACC|IST|PEK|SHE|
SHE|AER,|AER|IST|PEK|SHE|
SHE|AGP,|AGP|IST|PEK|SHE|
SHE|ALG,|ALG|IST|PEK|SHE|
SHE|AMM,|AMM|IST|PEK|SHE|
SHE|AQJ,|AQJ|IST|PEK|SHE|
SHE|ARN,|ARN|IST|PEK|SHE|
SHE|ASR,|ASR|IST|PEK|SHE|
SHE|ATH,|ATH|IST|PEK|SHE|
SHE|BAH,|BAH|IST|PEK|SHE|
SHE|BEG,|BEG|IST|PEK|SHE|
SHE|BEN,|BEN|IST|PEK|SHE|
SHE|BEY,|BEY|IST|PEK|SHE|
SHE|BHX,|BHX|IST|PEK|SHE|
SHE|BIO,|BIO|IST|PEK|SHE|
SHE|BLQ,|BLQ|IST|PEK|SHE|
SHE|BOM,|BOM|IST|PEK|SHE|
SHE|BRE,|BRE|IST|PEK|SHE|
SHE|BSL,|BSL|IST|PEK|SHE|
SHE|BSR,|BSR|IST|PEK|SHE|
SHE|BUD,|BUD|IST|PEK|SHE|
SHE|BUS,|BUS|IST|PEK|SHE|
SHE|CAI,|CAI|IST|PEK|SHE|
SHE|CGN,|CGN|IST|PEK|SHE|
SHE|CMN,|CMN|IST|PEK|SHE|
SHE|CND,|CND|IST|PEK|SHE|
SHE|DAR,|DAR|NBO|CAN|SHE|
SHE|DLM,|DLM|IST|PEK|SHE|
SHE|DMM,|DMM|IST|PEK|SHE|
SHE|DNK,|DNK|IST|PEK|SHE|
SHE|DNZ,|DNZ|IST|PEK|SHE|
SHE|DOK,|DOK|IST|PEK|SHE|
SHE|DUS,|DUS|IST|PEK|SHE|
SHE|EDI,|EDI|IST|PEK|SHE|
SHE|ELQ,|ELQ|IST|PEK|SHE|
SHE|FDH,|FDH|IST|PEK|SHE|
SHE|GOA,|GOA|IST|PEK|SHE|
SHE|GOT,|GOT|IST|PEK|SHE|
SHE|HAJ,|HAJ|IST|PEK|SHE|
SHE|HBE,|HBE|IST|PEK|SHE|
SHE|HEL,|HEL|IST|PEK|SHE|
SHE|HRG,|HRG|IST|PEK|SHE|
SHE|IFN,|IFN|IST|PEK|SHE|
SHE|ISE,|ISE|IST|PEK|SHE|
SHE|ISU,|ISU|IST|PEK|SHE|
SHE|JIB,|JIB|IST|PEK|SHE|
SHE|JRO,|JRO|IST|PEK|SHE|
SHE|KAN,|KAN|IST|PEK|SHE|
SHE|KBL,|KBL|IST|PEK|SHE|
SHE|KBP,|KBP|IST|PEK|SHE|
SHE|KFS,|KFS|IST|PEK|SHE|
SHE|KHI,|KHI|IST|PEK|SHE|
SHE|KIV,|KIV|IST|PEK|SHE|
SHE|KRT,|KRT|IST|PEK|SHE|
SHE|KSH,|KSH|IST|PEK|SHE|
SHE|KVD,|KVD|IST|PEK|SHE|
