YYC|NJF,|NJF|IST|FRA|YYC|
YYC|NSI,|NSI|BRU|YUL|YYC|
YYC|NUE,|NUE|IST|FRA|YYC|
YYC|ODS,|ODS|IST|FRA|YYC|
YYC|ORN,|ORN|IST|FRA|YYC|
YYC|OTP,|OTP|IST|FRA|YYC|
YYC|PRG,|PRG|BRU|YUL|YYC|
YYC|PRN,|PRN|IST|FRA|YYC|
YYC|RIX,|RIX|IST|FRA|YYC|
YYC|ROV,|ROV|IST|FRA|YYC|
YYC|RTM,|RTM|IST|FRA|YYC|
YYC|RUH,|RUH|IST|FRA|YYC|
YYC|SAH,|SAH|IST|FRA|YYC|
YYC|SJJ,|SJJ|IST|FRA|YYC|
YYC|SKG,|SKG|IST|FRA|YYC|
YYC|SKP,|SKP|IST|FRA|YYC|
YYC|SSH,|SSH|IST|FRA|YYC|
YYC|STR,|STR|EWR|YYC|
YYC|SVX,|SVX|IST|FRA|YYC|
YYC|SYZ,|SYZ|IST|FRA|YYC|
YYC|SZG,|SZG|IST|FRA|YYC|
YYC|TBZ,|TBZ|IST|FRA|YYC|
YYC|TGD,|TGD|IST|FRA|YYC|
YYC|TIA,|TIA|IST|FRA|YYC|
YYC|TIF,|TIF|IST|FRA|YYC|
YYC|TIP,|TIP|IST|FRA|YYC|
YYC|TLL,|TLL|VNO|FRA|YYC|
YYC|TLS,|TLS|IST|FRA|YYC|
YYC|TRN,|TRN|IST|FRA|YYC|
YYC|TUN,|TUN|IST|FRA|YYC|
YYC|TXL,|TXL|EWR|YYC|
YYC|UFA,|UFA|IST|FRA|YYC|
YYC|VAS,|VAS|SAW|FRA|YYC|
YYC|VCE,|VCE|IST|FRA|YYC|
YYC|YNB,|YNB|IST|FRA|YYC|
YYC|ZAG,|ZAG|IST|FRA|YYC|
YYC|MGQ,|MGQ|JIB|IST|FRA|YYC|
YYC|CPT,|CPT|JNB|JFK|YYC|
YYC|MBA,|MBA|JRO|IST|FRA|YYC|
YYC|NDJ,|NDJ|KAN|IST|FRA|YYC|
YYC|CMB,|CMB|MLE|IST|FRA|YYC|
YYC|ADE,|ADE|SAH|IST|FRA|YYC|
YYC|ASF,|ASF|SAW|FRA|YYC|
YYC|STW,|STW|SAW|FRA|YYC|
YYC|LFW,|LFW|ABJ|BRU|YUL|YYC|
YYC|CEC,|CEC|ACV|SMF|PDX|YYC|
YYC|SMF,|SMF|PDX|YYC|
YYC|CDR,|CDR|AIA|DEN|YYC|
YYC|FMN,|FMN|DEN|YYC|
YYC|JST,|JST|IAD|ORD|YYC|
YYC|JHW,|JHW|CLE|ORD|YYC|
YYC|SHD,|SHD|IAD|ORD|YYC|
YYC|PTY,|PTY|IAH|YYC|
YYC|FNA,|FNA|BRU|YUL|YYC|
YYC|SXB,|SXB|BRU|YUL|YYC|
YYC|ACV,|ACV|SMF|PDX|YYC|
YYC|MGW,|MGW|IAD|ORD|YYC|
YYC|ALB,|ALB|ORD|YYC|
YYC|AUS,|AUS|DEN|YYC|
YYC|BFD,|BFD|CLE|ORD|YYC|
YYC|BUF,|BUF|ORD|YYC|
YYC|CHS,|CHS|ORD|YYC|
YYC|DAY,|DAY|ORD|YYC|
YYC|DUJ,|DUJ|CLE|ORD|YYC|
YYC|ERI,|ERI|CLE|ORD|YYC|
YYC|FKL,|FKL|CLE|ORD|YYC|
YYC|FNT,|FNT|CLE|ORD|YYC|
YYC|GRR,|GRR|ORD|YYC|
YYC|GSP,|GSP|ORD|YYC|
YYC|PBI,|PBI|ATL|ORD|YYC|
YYC|PKB,|PKB|CLE|ORD|YYC|
YYC|RIC,|RIC|ORD|YYC|
YYC|SDF,|SDF|ORD|YYC|
YYC|GUM,|GUM|NRT|YYC|
YYC|WRL,|WRL|CYS|DEN|YYC|
YYC|LBL,|YYC|
YYC|ABQ,|ABQ|DEN|YYC|
YYC|AIA,|AIA|DEN|YYC|
YYC|ALS,|ALS|DEN|YYC|
YYC|AMA,|AMA|DEN|YYC|
YYC|ANC,|ANC|SEA|YVR|YYC|
