MKE|ZUH,|ZUH|PEK|ORD|MKE|
MKE|YNJ,|YNJ|ICN|SEA|MKE|
MKE|DAT,|DAT|CIH|PEK|ORD|MKE|
MKE|JHG,|JHG|CKG|PEK|ORD|MKE|
MKE|LJG,|LJG|CKG|PEK|ORD|MKE|
MKE|LXA,|LXA|XIY|PEK|ORD|MKE|
MKE|YCU,|YCU|CSX|PEK|ORD|MKE|
MKE|LZO,|LZO|CSX|PEK|ORD|MKE|
MKE|MDG,|MDG|ICN|SEA|MKE|
MKE|NGO,|NGO|ICN|SEA|MKE|
MKE|TOY,|TOY|DLC|PEK|ORD|MKE|
MKE|MFM,|MFM|XMN|PEK|ORD|MKE|
MKE|TGO,|TGO|HET|DLC|PEK|ORD|MKE|
MKE|XIL,|XIL|HET|DLC|PEK|ORD|MKE|
MKE|HEK,|HEK|HRB|PEK|ORD|MKE|
MKE|KIJ,|KIJ|HRB|PEK|ORD|MKE|
MKE|LDS,|LDS|HRB|PEK|ORD|MKE|
MKE|OHE,|OHE|HRB|PEK|ORD|MKE|
MKE|HSN,|HSN|PEK|ORD|MKE|
MKE|DLU,|DLU|KMG|PEK|ORD|MKE|
MKE|SYM,|SYM|KMG|PEK|ORD|MKE|
MKE|ZAT,|ZAT|KMG|PEK|ORD|MKE|
MKE|LUN,|LUN|NBO|ZRH|YYZ|MKE|
MKE|AOG,|AOG|PEK|ORD|MKE|
MKE|GMP,|GMP|PEK|ORD|MKE|
MKE|ISB,|ISB|IST|YYZ|MKE|
MKE|TAS,|TAS|IST|YYZ|MKE|
MKE|WUS,|WUS|PEK|ORD|MKE|
MKE|JMU,|JMU|PVG|ORD|MKE|
MKE|NDG,|NDG|PVG|ORD|MKE|
MKE|JXA,|JXA|SHE|PEK|ORD|MKE|
MKE|PUS,|PUS|SHE|PEK|ORD|MKE|
MKE|BKI,|BKI|SZX|PEK|ORD|MKE|
MKE|AKU,|AKU|URC|TSE|FRA|YYZ|MKE|
MKE|ALA,|ALA|TSE|FRA|YYZ|MKE|
MKE|ASB,|ASB|GYD|FRA|YYZ|MKE|
MKE|DNH,|DNH|XIY|PEK|ORD|MKE|
MKE|DYU,|DYU|IST|YYZ|MKE|
MKE|FRU,|FRU|IST|YYZ|MKE|
MKE|GYD,|GYD|FRA|YYZ|MKE|
MKE|HTN,|HTN|URC|TSE|FRA|YYZ|MKE|
MKE|IKA,|IKA|SAW|VIE|YYZ|MKE|
MKE|KCA,|KCA|URC|TSE|FRA|YYZ|MKE|
MKE|KHG,|KHG|URC|TSE|FRA|YYZ|MKE|
MKE|KRL,|KRL|URC|TSE|FRA|YYZ|MKE|
MKE|KRY,|KRY|URC|TSE|FRA|YYZ|MKE|
MKE|LBD,|LBD|URC|TSE|FRA|YYZ|MKE|
MKE|NLT,|NLT|URC|TSE|FRA|YYZ|MKE|
MKE|OSS,|OSS|IST|YYZ|MKE|
MKE|OVB,|OVB|IST|YYZ|MKE|
MKE|TBS,|TBS|SAW|VIE|YYZ|MKE|
MKE|TCG,|TCG|URC|TSE|FRA|YYZ|MKE|
MKE|TSE,|TSE|FRA|YYZ|MKE|
MKE|YIN,|YIN|URC|TSE|FRA|YYZ|MKE|
MKE|ENH,|ENH|WUH|PEK|ORD|MKE|
MKE|ENY,|ENY|XIY|PEK|ORD|MKE|
