KRY|EBL,|EBL|IST|URC|KRY|
KRY|VKO,|VKO|IST|URC|KRY|
KRY|MCT,|MCT|IST|URC|KRY|
KRY|AYT,|AYT|IST|URC|KRY|
KRY|SCQ,|SCQ|BIO|IST|URC|KRY|
KRY|AAL,|AAL|IST|URC|KRY|
KRY|AOE,|AOE|BRU|IST|URC|KRY|
KRY|JNB,|JNB|IST|URC|KRY|
KRY|LBV,|LBV|DLA|IST|URC|KRY|
KRY|ADA,|ADA|SAW|TBS|URC|KRY|
KRY|ADB,|ADB|IST|URC|KRY|
KRY|ADF,|ADF|ESB|SAW|TBS|URC|KRY|
KRY|AJI,|AJI|ESB|SAW|TBS|URC|KRY|
KRY|BAL,|BAL|ESB|SAW|TBS|URC|KRY|
KRY|BJV,|BJV|IST|URC|KRY|
KRY|CKZ,|CKZ|ESB|SAW|TBS|URC|KRY|
KRY|DIY,|DIY|SAW|TBS|URC|KRY|
KRY|ECN,|ECN|SAW|TBS|URC|KRY|
KRY|ERC,|ERC|ESB|SAW|TBS|URC|KRY|
KRY|ERZ,|ERZ|SAW|TBS|URC|KRY|
KRY|EZS,|EZS|SAW|TBS|URC|KRY|
KRY|GNY,|GNY|ESB|SAW|TBS|URC|KRY|
KRY|GZP,|GZP|ESB|SAW|TBS|URC|KRY|
KRY|GZT,|GZT|SAW|TBS|URC|KRY|
KRY|HTY,|HTY|SAW|TBS|URC|KRY|
KRY|KCM,|KCM|ESB|SAW|TBS|URC|KRY|
KRY|KSY,|KSY|SAW|TBS|URC|KRY|
KRY|MLX,|MLX|ESB|SAW|TBS|URC|KRY|
KRY|MQM,|MQM|SAW|TBS|URC|KRY|
KRY|MSR,|MSR|ESB|SAW|TBS|URC|KRY|
KRY|TEQ,|TEQ|ESB|SAW|TBS|URC|KRY|
KRY|TZX,|TZX|SAW|TBS|URC|KRY|
KRY|VAN,|VAN|SAW|TBS|URC|KRY|
KRY|ULN,|ULN|FRU|URC|KRY|
KRY|HIJ,|HIJ|ICN|PEK|URC|KRY|
KRY|VVO,|VVO|ICN|PEK|URC|KRY|
KRY|ACC,|ACC|IST|URC|KRY|
KRY|AER,|AER|IST|URC|KRY|
KRY|AGP,|AGP|IST|URC|KRY|
KRY|ALG,|ALG|IST|URC|KRY|
KRY|AMM,|AMM|IST|URC|KRY|
KRY|AQJ,|AQJ|IST|URC|KRY|
KRY|ARN,|ARN|IST|URC|KRY|
KRY|ASR,|ASR|SAW|TBS|URC|KRY|
KRY|ATH,|ATH|IST|URC|KRY|
KRY|BAH,|BAH|KWI|SAW|TBS|URC|KRY|
KRY|BEG,|BEG|IST|URC|KRY|
KRY|BEN,|BEN|IST|URC|KRY|
