ZAG|CSX,|CSX|URC|IST|ZAG|
ZAG|SHE,|SHE|PEK|IST|ZAG|
ZAG|SJW,|SJW|URC|IST|ZAG|
ZAG|WUH,|WUH|URC|IST|ZAG|
ZAG|SZX,|SZX|CKG|URC|IST|ZAG|
ZAG|CKG,|CKG|URC|IST|ZAG|
ZAG|KMG,|KMG|CTU|URC|IST|ZAG|
ZAG|FOC,|FOC|XIY|URC|IST|ZAG|
ZAG|NNG,|NNG|KWE|URC|IST|ZAG|
ZAG|SWA,|SWA|CAN|IST|ZAG|
ZAG|ACX,|ACX|CAN|IST|ZAG|
ZAG|AQG,|AQG|CAN|IST|ZAG|
ZAG|AVA,|AVA|CAN|IST|ZAG|
ZAG|BFJ,|BFJ|CAN|IST|ZAG|
ZAG|BHY,|BHY|CKG|URC|IST|ZAG|
ZAG|BNE,|BNE|BKK|IST|ZAG|
ZAG|CGD,|CGD|PEK|IST|ZAG|
ZAG|CGK,|CGK|SIN|IST|ZAG|
ZAG|CGQ,|CGQ|HET|URC|IST|ZAG|
ZAG|CIH,|CIH|PEK|IST|ZAG|
ZAG|CNX,|CNX|CAN|IST|ZAG|
ZAG|CZX,|CZX|TYN|URC|IST|ZAG|
ZAG|DAC,|DAC|IST|ZAG|
ZAG|DAD,|DAD|CAN|IST|ZAG|
ZAG|DEL,|DEL|IST|ZAG|
ZAG|DIG,|DIG|KMG|CTU|URC|IST|ZAG|
ZAG|DLC,|DLC|PEK|IST|ZAG|
ZAG|DPS,|DPS|CAN|IST|ZAG|
ZAG|DXB,|DXB|IST|ZAG|
ZAG|DYG,|DYG|CSX|URC|IST|ZAG|
ZAG|FUG,|FUG|CAN|IST|ZAG|
ZAG|FUK,|FUK|ICN|IST|ZAG|
ZAG|HAK,|HAK|CTU|URC|IST|ZAG|
ZAG|HAN,|HAN|CAN|IST|ZAG|
ZAG|HDG,|HDG|CAN|IST|ZAG|
ZAG|HET,|HET|URC|IST|ZAG|
ZAG|HFE,|HFE|XIY|URC|IST|ZAG|
ZAG|HJJ,|HJJ|CSX|URC|IST|ZAG|
ZAG|HKT,|HKT|KWE|URC|IST|ZAG|
ZAG|HRB,|HRB|PEK|IST|ZAG|
ZAG|HZH,|HZH|CAN|IST|ZAG|
ZAG|JIU,|JIU|CAN|IST|ZAG|
ZAG|JJN,|JJN|CSX|URC|IST|ZAG|
ZAG|JNG,|JNG|CAN|IST|ZAG|
ZAG|KHN,|KHN|XIY|URC|IST|ZAG|
ZAG|KIX,|KIX|IST|ZAG|
ZAG|KOW,|KOW|CAN|IST|ZAG|
ZAG|KTM,|KTM|IST|ZAG|
ZAG|KUL,|KUL|IST|ZAG|
ZAG|KWE,|KWE|URC|IST|ZAG|
ZAG|KWL,|KWL|CKG|URC|IST|ZAG|
ZAG|LHW,|LHW|URC|IST|ZAG|
ZAG|LYA,|LYA|KHN|XIY|URC|IST|ZAG|
ZAG|LYG,|LYG|XUZ|INC|URC|IST|ZAG|
ZAG|LZH,|LZH|CAN|IST|ZAG|
ZAG|MEL,|MEL|BKK|IST|ZAG|
ZAG|MIG,|MIG|CSX|URC|IST|ZAG|
ZAG|MLE,|MLE|IST|ZAG|
ZAG|MNL,|MNL|CAN|IST|ZAG|
ZAG|MXZ,|MXZ|CAN|IST|ZAG|
ZAG|NAO,|NAO|PEK|IST|ZAG|
ZAG|NGB,|NGB|WUH|URC|IST|ZAG|
ZAG|NKG,|NKG|URC|IST|ZAG|
ZAG|NNY,|NNY|CGO|URC|IST|ZAG|
ZAG|PEN,|PEN|CAN|IST|ZAG|
ZAG|PER,|PER|BKK|IST|ZAG|
ZAG|PNH,|PNH|CAN|IST|ZAG|
ZAG|REP,|REP|CAN|IST|ZAG|
ZAG|RGN,|RGN|CAN|IST|ZAG|
ZAG|SGN,|SGN|BKK|IST|ZAG|
ZAG|SHA,|SHA|URC|IST|ZAG|
ZAG|SIN,|SIN|IST|ZAG|
ZAG|SVO,|SVO|URC|IST|ZAG|
ZAG|SYX,|SYX|CKG|URC|IST|ZAG|
ZAG|TAO,|TAO|TYN|URC|IST|ZAG|
ZAG|TEN,|TEN|CAN|IST|ZAG|
ZAG|TNA,|TNA|URC|IST|ZAG|
ZAG|TPE,|TPE|URC|IST|ZAG|
ZAG|TSN,|TSN|HET|URC|IST|ZAG|
ZAG|TXN,|TXN|TYN|URC|IST|ZAG|
ZAG|TYN,|TYN|URC|IST|ZAG|
ZAG|WNZ,|WNZ|XIY|URC|IST|ZAG|
ZAG|WUX,|WUX|CAN|IST|ZAG|
ZAG|XFN,|XFN|CAN|IST|ZAG|
ZAG|XIY,|XIY|URC|IST|ZAG|
ZAG|XUZ,|XUZ|INC|URC|IST|ZAG|
ZAG|YIH,|YIH|CKG|URC|IST|ZAG|
ZAG|YIW,|YIW|URC|IST|ZAG|
ZAG|YNT,|YNT|SHE|PEK|IST|ZAG|
ZAG|YNZ,|YNZ|WUH|URC|IST|ZAG|
ZAG|YTY,|YTY|CGO|URC|IST|ZAG|
ZAG|ZHA,|ZHA|CAN|IST|ZAG|
ZAG|ZYI,|ZYI|CAN|IST|ZAG|
ZAG|BAV,|BAV|URC|IST|ZAG|
ZAG|CJU,|CJU|DLC|PEK|IST|ZAG|
ZAG|DSN,|DSN|CGO|URC|IST|ZAG|
ZAG|HMI,|HMI|URC|IST|ZAG|
ZAG|INC,|INC|URC|IST|ZAG|
ZAG|KHH,|KHH|WUH|URC|IST|ZAG|
ZAG|UYN,|UYN|XIY|URC|IST|ZAG|
ZAG|XNN,|XNN|URC|IST|ZAG|
ZAG|ZUH,|ZUH|KWE|URC|IST|ZAG|
ZAG|YNJ,|YNJ|PEK|IST|ZAG|
ZAG|DAT,|DAT|TYN|URC|IST|ZAG|
ZAG|JHG,|JHG|KMG|CTU|URC|IST|ZAG|
ZAG|LJG,|LJG|KMG|CTU|URC|IST|ZAG|
ZAG|LXA,|LXA|CKG|URC|IST|ZAG|
ZAG|YCU,|YCU|CKG|URC|IST|ZAG|
ZAG|LZO,|LZO|CSX|URC|IST|ZAG|
ZAG|MDG,|MDG|DLC|PEK|IST|ZAG|
ZAG|NGO,|NGO|ICN|IST|ZAG|
ZAG|TOY,|TOY|DLC|PEK|IST|ZAG|
ZAG|MFM,|MFM|XMN|CSX|URC|IST|ZAG|
ZAG|TGO,|TGO|HET|URC|IST|ZAG|
