UIO|EBL,|EBL|IST|IAH|UIO|
UIO|VKO,|VKO|IST|IAH|UIO|
UIO|MCT,|MCT|AUH|YYZ|IAH|UIO|
UIO|AYT,|AYT|IST|IAH|UIO|
UIO|SCQ,|SCQ|BIO|IST|IAH|UIO|
UIO|AAL,|AAL|IST|IAH|UIO|
UIO|AOE,|AOE|BRU|YUL|IAH|UIO|
UIO|JNB,|JNB|DKR|IAD|IAH|UIO|
UIO|LBV,|LBV|DLA|BRU|YUL|IAH|UIO|
UIO|ADA,|ADA|SAW|VIE|YYZ|IAH|UIO|
UIO|ADB,|ADB|HAM|EWR|IAH|UIO|
UIO|ADF,|ADF|ESB|VIE|YYZ|IAH|UIO|
UIO|AJI,|AJI|ESB|VIE|YYZ|IAH|UIO|
UIO|BAL,|BAL|ESB|VIE|YYZ|IAH|UIO|
UIO|BJV,|BJV|IST|IAH|UIO|
UIO|CKZ,|CKZ|ESB|VIE|YYZ|IAH|UIO|
UIO|DIY,|DIY|ESB|VIE|YYZ|IAH|UIO|
UIO|ECN,|ECN|IST|IAH|UIO|
UIO|ERC,|ERC|ESB|VIE|YYZ|IAH|UIO|
UIO|ERZ,|ERZ|ESB|VIE|YYZ|IAH|UIO|
UIO|EZS,|EZS|ESB|VIE|YYZ|IAH|UIO|
UIO|GNY,|GNY|ESB|VIE|YYZ|IAH|UIO|
UIO|GZP,|GZP|ESB|VIE|YYZ|IAH|UIO|
UIO|GZT,|GZT|ESB|VIE|YYZ|IAH|UIO|
UIO|HTY,|HTY|SAW|VIE|YYZ|IAH|UIO|
UIO|KCM,|KCM|ESB|VIE|YYZ|IAH|UIO|
UIO|KSY,|KSY|ESB|VIE|YYZ|IAH|UIO|
UIO|MLX,|MLX|ESB|VIE|YYZ|IAH|UIO|
UIO|MQM,|MQM|ESB|VIE|YYZ|IAH|UIO|
UIO|MSR,|MSR|ESB|VIE|YYZ|IAH|UIO|
UIO|TEQ,|TEQ|ESB|VIE|YYZ|IAH|UIO|
UIO|TZX,|TZX|ESB|VIE|YYZ|IAH|UIO|
UIO|VAN,|VAN|ESB|VIE|YYZ|IAH|UIO|
UIO|ULN,|ULN|FRU|IST|IAH|UIO|
UIO|HIJ,|HIJ|ICN|YVR|IAH|UIO|
UIO|VVO,|VVO|ICN|YVR|IAH|UIO|
UIO|ACC,|ACC|IST|IAH|UIO|
UIO|AER,|AER|IST|IAH|UIO|
UIO|AGP,|AGP|IST|IAH|UIO|
UIO|ALG,|ALG|IST|IAH|UIO|
UIO|AMM,|AMM|IST|IAH|UIO|
UIO|AQJ,|AQJ|IST|IAH|UIO|
UIO|ARN,|ARN|EWR|IAH|UIO|
