SMF|AMM,|AMM|IST|FRA|SEA|SMF|
SMF|AQJ,|AQJ|IST|FRA|SEA|SMF|
SMF|ARN,|ARN|EWR|ORD|SMF|
SMF|ASR,|ASR|SAW|FRA|SEA|SMF|
SMF|ATH,|ATH|IST|FRA|SEA|SMF|
SMF|BAH,|BAH|IST|FRA|SEA|SMF|
SMF|BEG,|BEG|IST|FRA|SEA|SMF|
SMF|BEN,|BEN|IST|FRA|SEA|SMF|
SMF|BEY,|BEY|IST|FRA|SEA|SMF|
SMF|BHX,|BHX|EWR|ORD|SMF|
SMF|BIO,|BIO|IST|FRA|SEA|SMF|
SMF|BLQ,|BLQ|IST|FRA|SEA|SMF|
SMF|BOM,|BOM|IST|FRA|SEA|SMF|
SMF|BRE,|BRE|IST|FRA|SEA|SMF|
SMF|BSL,|BSL|IST|FRA|SEA|SMF|
SMF|BSR,|BSR|IST|FRA|SEA|SMF|
SMF|BUD,|BUD|IST|FRA|SEA|SMF|
SMF|BUS,|BUS|IST|FRA|SEA|SMF|
SMF|CAI,|CAI|IST|FRA|SEA|SMF|
SMF|CGN,|CGN|IST|FRA|SEA|SMF|
SMF|CMN,|CMN|IST|FRA|SEA|SMF|
SMF|CND,|CND|IST|FRA|SEA|SMF|
SMF|DAR,|DAR|NBO|ZRH|SFO|SMF|
SMF|DLM,|DLM|IST|FRA|SEA|SMF|
SMF|DMM,|DMM|IST|FRA|SEA|SMF|
SMF|DNK,|DNK|IST|FRA|SEA|SMF|
SMF|DNZ,|DNZ|IST|FRA|SEA|SMF|
SMF|DOK,|DOK|IST|FRA|SEA|SMF|
SMF|DUS,|DUS|ORD|SMF|
SMF|EDI,|EDI|EWR|ORD|SMF|
SMF|ELQ,|ELQ|IST|FRA|SEA|SMF|
SMF|FDH,|FDH|IST|FRA|SEA|SMF|
SMF|GOA,|GOA|IST|FRA|SEA|SMF|
SMF|GOT,|GOT|BRU|ORD|SMF|
SMF|HAJ,|HAJ|BRU|ORD|SMF|
SMF|HBE,|HBE|IST|FRA|SEA|SMF|
SMF|HEL,|HEL|IST|FRA|SEA|SMF|
SMF|HRG,|HRG|IST|FRA|SEA|SMF|
