OAK|JHG,|JHG|CKG|PEK|SEA|OAK|
OAK|LJG,|LJG|CKG|PEK|SEA|OAK|
OAK|LXA,|LXA|XIY|PEK|SEA|OAK|
OAK|YCU,|YCU|CSX|ICN|SEA|OAK|
OAK|LZO,|LZO|CSX|ICN|SEA|OAK|
OAK|MDG,|MDG|ICN|SEA|OAK|
OAK|NGO,|NGO|ICN|SEA|OAK|
OAK|TOY,|TOY|DLC|ICN|SEA|OAK|
OAK|MFM,|MFM|HGH|DLC|ICN|SEA|OAK|
OAK|TGO,|TGO|HET|DLC|ICN|SEA|OAK|
OAK|XIL,|XIL|HET|DLC|ICN|SEA|OAK|
OAK|HEK,|HEK|HRB|ICN|SEA|OAK|
OAK|KIJ,|KIJ|HRB|ICN|SEA|OAK|
OAK|LDS,|LDS|HRB|ICN|SEA|OAK|
OAK|OHE,|OHE|HRB|ICN|SEA|OAK|
OAK|HSN,|HSN|PEK|SEA|OAK|
OAK|DLU,|DLU|KMG|PEK|SEA|OAK|
OAK|SYM,|SYM|KMG|PEK|SEA|OAK|
OAK|ZAT,|ZAT|KMG|PEK|SEA|OAK|
OAK|LUN,|LUN|NBO|IST|FRA|SEA|OAK|
OAK|AOG,|AOG|PEK|SEA|OAK|
OAK|GMP,|GMP|PEK|SEA|OAK|
OAK|ISB,|ISB|PEK|SEA|OAK|
OAK|TAS,|TAS|PEK|SEA|OAK|
OAK|WUS,|WUS|PEK|SEA|OAK|
OAK|JMU,|JMU|PVG|ICN|SEA|OAK|
OAK|NDG,|NDG|PVG|ICN|SEA|OAK|
OAK|JXA,|JXA|SHE|ICN|SEA|OAK|
OAK|PUS,|PUS|SHE|ICN|SEA|OAK|
OAK|BKI,|BKI|SZX|PVG|ICN|SEA|OAK|
OAK|AKU,|AKU|URC|PEK|SEA|OAK|
OAK|ALA,|ALA|URC|PEK|SEA|OAK|
OAK|ASB,|ASB|GYD|FRA|SEA|OAK|
OAK|DNH,|DNH|XIY|PEK|SEA|OAK|
OAK|DYU,|DYU|URC|PEK|SEA|OAK|
OAK|FRU,|FRU|URC|PEK|SEA|OAK|
OAK|GYD,|GYD|FRA|SEA|OAK|
OAK|HTN,|HTN|URC|PEK|SEA|OAK|
OAK|IKA,|IKA|SAW|FRA|SEA|OAK|
OAK|KCA,|KCA|URC|PEK|SEA|OAK|
OAK|KHG,|KHG|URC|PEK|SEA|OAK|
OAK|KRL,|KRL|URC|PEK|SEA|OAK|
OAK|KRY,|KRY|URC|PEK|SEA|OAK|
OAK|LBD,|LBD|URC|PEK|SEA|OAK|
OAK|NLT,|NLT|URC|PEK|SEA|OAK|
OAK|OSS,|OSS|URC|PEK|SEA|OAK|
OAK|OVB,|OVB|URC|PEK|SEA|OAK|
OAK|TBS,|TBS|SAW|FRA|SEA|OAK|
OAK|TCG,|TCG|URC|PEK|SEA|OAK|
OAK|TSE,|TSE|FRA|SEA|OAK|
OAK|YIN,|YIN|URC|PEK|SEA|OAK|
OAK|ENH,|ENH|WUH|ICN|SEA|OAK|
OAK|ENY,|ENY|XIY|PEK|SEA|OAK|
OAK|WXN,|WXN|XIY|PEK|SEA|OAK|
OAK|BLL,|BLL|IST|FRA|SEA|OAK|
OAK|ESB,|ESB|FRA|SEA|OAK|
OAK|SAW,|SAW|FRA|SEA|OAK|
OAK|HAM,|HAM|EWR|MDW|OAK|
OAK|HRE,|HRE|ADD|JED|FRA|SEA|OAK|
OAK|JUB,|JUB|CAI|IST|FRA|SEA|OAK|
OAK|SSG,|SSG|DLA|BRU|ORD|SLC|OAK|
OAK|BGW,|BGW|ESB|FRA|SEA|OAK|
OAK|EBL,|EBL|IST|FRA|SEA|OAK|
OAK|VKO,|VKO|IST|FRA|SEA|OAK|
OAK|MCT,|MCT|IST|FRA|SEA|OAK|
OAK|AYT,|AYT|IST|FRA|SEA|OAK|
OAK|SCQ,|SCQ|BIO|IST|FRA|SEA|OAK|
OAK|AAL,|AAL|IST|FRA|SEA|OAK|
OAK|AOE,|AOE|BRU|ORD|SLC|OAK|
OAK|JNB,|JNB|DKR|IAD|DEN|OAK|
OAK|LBV,|LBV|DLA|BRU|ORD|SLC|OAK|
OAK|ADA,|ADA|SAW|FRA|SEA|OAK|
OAK|ADB,|ADB|IST|FRA|SEA|OAK|
OAK|ADF,|ADF|ESB|FRA|SEA|OAK|
OAK|AJI,|AJI|ESB|FRA|SEA|OAK|
OAK|BAL,|BAL|ESB|FRA|SEA|OAK|
OAK|BJV,|BJV|IST|FRA|SEA|OAK|
OAK|CKZ,|CKZ|ESB|FRA|SEA|OAK|
OAK|DIY,|DIY|ESB|FRA|SEA|OAK|
OAK|ECN,|ECN|IST|FRA|SEA|OAK|
OAK|ERC,|ERC|ESB|FRA|SEA|OAK|
OAK|ERZ,|ERZ|ESB|FRA|SEA|OAK|
OAK|EZS,|EZS|ESB|FRA|SEA|OAK|
OAK|GNY,|GNY|ESB|FRA|SEA|OAK|
OAK|GZP,|GZP|ESB|FRA|SEA|OAK|
OAK|GZT,|GZT|ESB|FRA|SEA|OAK|
OAK|HTY,|HTY|SAW|FRA|SEA|OAK|
OAK|KCM,|KCM|ESB|FRA|SEA|OAK|
OAK|KSY,|KSY|ESB|FRA|SEA|OAK|
OAK|MLX,|MLX|ESB|FRA|SEA|OAK|
OAK|MQM,|MQM|ESB|FRA|SEA|OAK|
OAK|MSR,|MSR|ESB|FRA|SEA|OAK|
OAK|TEQ,|TEQ|ESB|FRA|SEA|OAK|
OAK|TZX,|TZX|ESB|FRA|SEA|OAK|
OAK|VAN,|VAN|ESB|FRA|SEA|OAK|
OAK|ULN,|ULN|FRU|URC|PEK|SEA|OAK|
OAK|HIJ,|HIJ|ICN|SEA|OAK|
OAK|VVO,|VVO|ICN|SEA|OAK|
OAK|ACC,|ACC|IST|FRA|SEA|OAK|
OAK|AER,|AER|IST|FRA|SEA|OAK|
OAK|AGP,|AGP|IST|FRA|SEA|OAK|
OAK|ALG,|ALG|IST|FRA|SEA|OAK|
OAK|AMM,|AMM|IST|FRA|SEA|OAK|
OAK|AQJ,|AQJ|IST|FRA|SEA|OAK|
OAK|ARN,|ARN|EWR|MDW|OAK|
OAK|ASR,|ASR|SAW|FRA|SEA|OAK|
OAK|ATH,|ATH|IST|FRA|SEA|OAK|
OAK|BAH,|BAH|IST|FRA|SEA|OAK|
OAK|BEG,|BEG|IST|FRA|SEA|OAK|
OAK|BEN,|BEN|IST|FRA|SEA|OAK|
OAK|BEY,|BEY|IST|FRA|SEA|OAK|
OAK|BHX,|BHX|EWR|MDW|OAK|
OAK|BIO,|BIO|IST|FRA|SEA|OAK|
OAK|BLQ,|BLQ|IST|FRA|SEA|OAK|
OAK|BOM,|BOM|IST|FRA|SEA|OAK|
OAK|BRE,|BRE|IST|FRA|SEA|OAK|
OAK|BSL,|BSL|IST|FRA|SEA|OAK|
OAK|BSR,|BSR|IST|FRA|SEA|OAK|
OAK|BUD,|BUD|IST|FRA|SEA|OAK|
OAK|BUS,|BUS|IST|FRA|SEA|OAK|
OAK|CAI,|CAI|IST|FRA|SEA|OAK|
OAK|CGN,|CGN|IST|FRA|SEA|OAK|
OAK|CMN,|CMN|IST|FRA|SEA|OAK|
OAK|CND,|CND|IST|FRA|SEA|OAK|
OAK|DAR,|DAR|IST|FRA|SEA|OAK|
OAK|DLM,|DLM|IST|FRA|SEA|OAK|
OAK|DMM,|DMM|IST|FRA|SEA|OAK|
OAK|DNK,|DNK|IST|FRA|SEA|OAK|
OAK|DNZ,|DNZ|IST|FRA|SEA|OAK|
OAK|DOK,|DOK|IST|FRA|SEA|OAK|
OAK|DUS,|DUS|ORD|SLC|OAK|
OAK|EDI,|EDI|EWR|MDW|OAK|
OAK|ELQ,|ELQ|IST|FRA|SEA|OAK|
OAK|FDH,|FDH|IST|FRA|SEA|OAK|
OAK|GOA,|GOA|IST|FRA|SEA|OAK|
OAK|GOT,|GOT|BRU|ORD|SLC|OAK|
OAK|HAJ,|HAJ|BRU|ORD|SLC|OAK|
OAK|HBE,|HBE|IST|FRA|SEA|OAK|
OAK|HEL,|HEL|IST|FRA|SEA|OAK|
OAK|HRG,|HRG|IST|FRA|SEA|OAK|
OAK|IFN,|IFN|IST|FRA|SEA|OAK|
OAK|ISE,|ISE|IST|FRA|SEA|OAK|
OAK|ISU,|ISU|IST|FRA|SEA|OAK|
OAK|JIB,|JIB|IST|FRA|SEA|OAK|
OAK|JRO,|JRO|IST|FRA|SEA|OAK|
OAK|KAN,|KAN|IST|FRA|SEA|OAK|
OAK|KBL,|KBL|IST|FRA|SEA|OAK|
OAK|KBP,|KBP|IST|FRA|SEA|OAK|
OAK|KFS,|KFS|IST|FRA|SEA|OAK|
OAK|KHI,|KHI|IST|FRA|SEA|OAK|
OAK|KIV,|KIV|IST|FRA|SEA|OAK|
OAK|KRT,|KRT|IST|FRA|SEA|OAK|
OAK|KSH,|KSH|IST|FRA|SEA|OAK|
OAK|KVD,|KVD|IST|FRA|SEA|OAK|
OAK|KWI,|KWI|SAW|FRA|SEA|OAK|
OAK|KYA,|KYA|IST|FRA|SEA|OAK|
OAK|KZN,|KZN|IST|FRA|SEA|OAK|
OAK|KZR,|KZR|IST|FRA|SEA|OAK|
OAK|LED,|LED|VIE|ORD|SLC|OAK|
OAK|LEJ,|LEJ|IST|FRA|SEA|OAK|
OAK|LGW,|LGW|IST|FRA|SEA|OAK|
OAK|LHE,|LHE|IST|FRA|SEA|OAK|
OAK|LIS,|LIS|EWR|MDW|OAK|
OAK|LJU,|LJU|IST|FRA|SEA|OAK|
OAK|LOS,|LOS|IAH|LAS|OAK|
OAK|LUX,|LUX|IST|FRA|SEA|OAK|
OAK|LWO,|LWO|IST|FRA|SEA|OAK|
OAK|LYS,|LYS|IST|FRA|SEA|OAK|
OAK|MAD,|MAD|EWR|MDW|OAK|
OAK|MAN,|MAN|EWR|MDW|OAK|
OAK|MED,|MED|IST|FRA|SEA|OAK|
OAK|MHD,|MHD|IST|FRA|SEA|OAK|
OAK|MLA,|MLA|IST|FRA|SEA|OAK|
OAK|MRS,|MRS|IST|FRA|SEA|OAK|
OAK|MSQ,|MSQ|IST|FRA|SEA|OAK|
OAK|MXP,|MXP|EWR|MDW|OAK|
OAK|MZH,|MZH|IST|FRA|SEA|OAK|
OAK|MZR,|MZR|IST|FRA|SEA|OAK|
OAK|NAJ,|NAJ|IST|FRA|SEA|OAK|
OAK|NAV,|NAV|IST|FRA|SEA|OAK|
OAK|NCE,|NCE|IST|FRA|SEA|OAK|
OAK|NIM,|NIM|IST|FRA|SEA|OAK|
OAK|NJF,|NJF|IST|FRA|SEA|OAK|
OAK|NSI,|NSI|BRU|ORD|SLC|OAK|
OAK|NUE,|NUE|IST|FRA|SEA|OAK|
OAK|ODS,|ODS|IST|FRA|SEA|OAK|
OAK|ORN,|ORN|IST|FRA|SEA|OAK|
OAK|OTP,|OTP|IST|FRA|SEA|OAK|
OAK|PRG,|PRG|BRU|ORD|SLC|OAK|
OAK|PRN,|PRN|IST|FRA|SEA|OAK|
OAK|RIX,|RIX|IST|FRA|SEA|OAK|
OAK|ROV,|ROV|IST|FRA|SEA|OAK|
OAK|RTM,|RTM|IST|FRA|SEA|OAK|
OAK|RUH,|RUH|IST|FRA|SEA|OAK|
OAK|SAH,|SAH|IST|FRA|SEA|OAK|
OAK|SJJ,|SJJ|IST|FRA|SEA|OAK|
OAK|SKG,|SKG|IST|FRA|SEA|OAK|
OAK|SKP,|SKP|IST|FRA|SEA|OAK|
OAK|SSH,|SSH|IST|FRA|SEA|OAK|
OAK|STR,|STR|EWR|MDW|OAK|
OAK|SVX,|SVX|IST|FRA|SEA|OAK|
