AKU|AYT,|AYT|IST|URC|AKU|
AKU|SCQ,|SCQ|BIO|IST|URC|AKU|
AKU|AAL,|AAL|IST|URC|AKU|
AKU|AOE,|AOE|BRU|IST|URC|AKU|
AKU|JNB,|JNB|IST|URC|AKU|
AKU|LBV,|LBV|DLA|IST|URC|AKU|
AKU|ADA,|ADA|SAW|TBS|URC|AKU|
AKU|ADB,|ADB|IST|URC|AKU|
AKU|ADF,|ADF|ESB|SAW|TBS|URC|AKU|
AKU|AJI,|AJI|ESB|SAW|TBS|URC|AKU|
AKU|BAL,|BAL|ESB|SAW|TBS|URC|AKU|
AKU|BJV,|BJV|IST|URC|AKU|
AKU|CKZ,|CKZ|ESB|SAW|TBS|URC|AKU|
AKU|DIY,|DIY|SAW|TBS|URC|AKU|
AKU|ECN,|ECN|SAW|TBS|URC|AKU|
AKU|ERC,|ERC|ESB|SAW|TBS|URC|AKU|
AKU|ERZ,|ERZ|SAW|TBS|URC|AKU|
AKU|EZS,|EZS|SAW|TBS|URC|AKU|
AKU|GNY,|GNY|ESB|SAW|TBS|URC|AKU|
AKU|GZP,|GZP|ESB|SAW|TBS|URC|AKU|
AKU|GZT,|GZT|SAW|TBS|URC|AKU|
AKU|HTY,|HTY|SAW|TBS|URC|AKU|
AKU|KCM,|KCM|ESB|SAW|TBS|URC|AKU|
AKU|KSY,|KSY|SAW|TBS|URC|AKU|
AKU|MLX,|MLX|ESB|SAW|TBS|URC|AKU|
AKU|MQM,|MQM|SAW|TBS|URC|AKU|
AKU|MSR,|MSR|ESB|SAW|TBS|URC|AKU|
AKU|TEQ,|TEQ|ESB|SAW|TBS|URC|AKU|
AKU|TZX,|TZX|SAW|TBS|URC|AKU|
AKU|VAN,|VAN|SAW|TBS|URC|AKU|
AKU|ULN,|ULN|FRU|URC|AKU|
AKU|HIJ,|HIJ|ICN|PEK|URC|AKU|
AKU|VVO,|VVO|ICN|PEK|URC|AKU|
AKU|ACC,|ACC|IST|URC|AKU|
AKU|AER,|AER|IST|URC|AKU|
AKU|AGP,|AGP|IST|URC|AKU|
AKU|ALG,|ALG|IST|URC|AKU|
AKU|AMM,|AMM|IST|URC|AKU|
AKU|AQJ,|AQJ|IST|URC|AKU|
AKU|ARN,|ARN|IST|URC|AKU|
AKU|ASR,|ASR|SAW|TBS|URC|AKU|
AKU|ATH,|ATH|IST|URC|AKU|
AKU|BAH,|BAH|KWI|SAW|TBS|URC|AKU|
AKU|BEG,|BEG|IST|URC|AKU|
