SYD|SZX,|SZX|MXZ|CAN|SYD|
SYD|CKG,|CKG|CAN|SYD|
SYD|KMG,|KMG|CAN|SYD|
SYD|FOC,|FOC|CAN|SYD|
SYD|NNG,|NNG|CAN|SYD|
SYD|SWA,|SWA|CAN|SYD|
SYD|ACX,|ACX|CAN|SYD|
SYD|AQG,|AQG|CAN|SYD|
SYD|AVA,|AVA|CAN|SYD|
SYD|BFJ,|BFJ|CAN|SYD|
SYD|BHY,|BHY|CAN|SYD|
SYD|BNE,|BNE|CAN|SYD|
SYD|CGD,|CGD|CAN|SYD|
SYD|CGK,|CGK|CAN|SYD|
SYD|CGQ,|CGQ|ICN|SYD|
SYD|CIH,|CIH|CAN|SYD|
SYD|CNX,|CNX|CAN|SYD|
SYD|CZX,|CZX|CAN|SYD|
SYD|DAC,|DAC|CAN|SYD|
SYD|DAD,|DAD|CAN|SYD|
SYD|DEL,|DEL|CAN|SYD|
SYD|DIG,|DIG|CAN|SYD|
SYD|DLC,|DLC|ICN|SYD|
SYD|DPS,|DPS|CAN|SYD|
SYD|DXB,|DXB|CAN|SYD|
SYD|DYG,|DYG|CAN|SYD|
SYD|FUG,|FUG|CAN|SYD|
SYD|FUK,|FUK|ICN|SYD|
SYD|HAK,|HAK|CAN|SYD|
SYD|HAN,|HAN|CAN|SYD|
SYD|HDG,|HDG|CAN|SYD|
SYD|HET,|HET|CAN|SYD|
SYD|HFE,|HFE|CAN|SYD|
SYD|HJJ,|HJJ|CAN|SYD|
SYD|HKT,|HKT|CAN|SYD|
SYD|HRB,|HRB|ICN|SYD|
SYD|HZH,|HZH|CAN|SYD|
SYD|JIU,|JIU|CAN|SYD|
SYD|JJN,|JJN|CAN|SYD|
SYD|JNG,|JNG|CAN|SYD|
SYD|KHN,|KHN|CAN|SYD|
SYD|KIX,|KIX|CAN|SYD|
SYD|KOW,|KOW|CAN|SYD|
SYD|KTM,|KTM|CAN|SYD|
SYD|KUL,|KUL|BKK|SYD|
SYD|KWE,|KWE|CAN|SYD|
SYD|KWL,|KWL|CAN|SYD|
SYD|LHW,|LHW|CAN|SYD|
SYD|LYA,|LYA|CAN|SYD|
SYD|LYG,|LYG|CAN|SYD|
SYD|LZH,|LZH|CAN|SYD|
SYD|MEL,|MEL|SYD|
SYD|MIG,|MIG|CAN|SYD|
SYD|MLE,|MLE|CAN|SYD|
SYD|MNL,|MNL|CAN|SYD|
SYD|MXZ,|MXZ|CAN|SYD|
SYD|NAO,|NAO|CAN|SYD|
SYD|NGB,|NGB|CAN|SYD|
SYD|NKG,|NKG|CAN|SYD|
SYD|NNY,|NNY|CAN|SYD|
SYD|PEN,|PEN|CAN|SYD|
SYD|PER,|PER|BKK|SYD|
SYD|PNH,|PNH|CAN|SYD|
SYD|REP,|REP|CAN|SYD|
SYD|RGN,|RGN|CAN|SYD|
SYD|SGN,|SGN|BKK|SYD|
SYD|SHA,|SHA|CAN|SYD|
SYD|SIN,|SIN|CAN|SYD|
SYD|SVO,|SVO|CAN|SYD|
SYD|SYX,|SYX|CAN|SYD|
SYD|TAO,|TAO|CAN|SYD|
SYD|TEN,|TEN|CAN|SYD|
SYD|TNA,|TNA|CAN|SYD|
SYD|TPE,|TPE|CAN|SYD|
SYD|TSN,|TSN|DLC|ICN|SYD|
SYD|TXN,|TXN|CAN|SYD|
SYD|TYN,|TYN|CAN|SYD|
SYD|WNZ,|WNZ|CAN|SYD|
SYD|WUX,|WUX|CAN|SYD|
SYD|XFN,|XFN|CAN|SYD|
SYD|XIY,|XIY|CAN|SYD|
SYD|XUZ,|XUZ|CAN|SYD|
SYD|YIH,|YIH|CAN|SYD|
SYD|YIW,|YIW|CAN|SYD|
SYD|YNT,|YNT|CAN|SYD|
SYD|YNZ,|YNZ|CAN|SYD|
SYD|YTY,|YTY|CAN|SYD|
SYD|ZHA,|ZHA|CAN|SYD|
SYD|ZYI,|ZYI|CAN|SYD|
SYD|BAV,|BAV|CSX|CAN|SYD|
SYD|CJU,|CJU|CSX|CAN|SYD|
SYD|DSN,|DSN|CGO|CAN|SYD|
SYD|HMI,|HMI|CGO|CAN|SYD|
SYD|INC,|INC|XIY|CAN|SYD|
SYD|KHH,|KHH|WUH|CAN|SYD|
SYD|UYN,|UYN|XIY|CAN|SYD|
SYD|XNN,|XNN|CKG|CAN|SYD|
SYD|ZUH,|ZUH|MXZ|CAN|SYD|
SYD|YNJ,|YNJ|ICN|SYD|
SYD|DAT,|DAT|CIH|CAN|SYD|
SYD|JHG,|JHG|KMG|CAN|SYD|
SYD|LJG,|LJG|KMG|CAN|SYD|
SYD|LXA,|LXA|CKG|CAN|SYD|
SYD|YCU,|YCU|CSX|CAN|SYD|
SYD|LZO,|LZO|CSX|CAN|SYD|
SYD|MDG,|MDG|ICN|SYD|
SYD|NGO,|NGO|ICN|SYD|
SYD|TOY,|TOY|DLC|ICN|SYD|
SYD|MFM,|MFM|XMN|CAN|SYD|
SYD|TGO,|TGO|HET|CAN|SYD|
SYD|XIL,|XIL|HET|CAN|SYD|
SYD|HEK,|HEK|HRB|ICN|SYD|
SYD|KIJ,|KIJ|HRB|ICN|SYD|
SYD|LDS,|LDS|HRB|ICN|SYD|
SYD|OHE,|OHE|HRB|ICN|SYD|
SYD|HSN,|HSN|XMN|CAN|SYD|
SYD|DLU,|DLU|KMG|CAN|SYD|
SYD|SYM,|SYM|KMG|CAN|SYD|
SYD|ZAT,|ZAT|KMG|CAN|SYD|
SYD|LUN,|LUN|NBO|BKK|SYD|
SYD|AOG,|AOG|PEK|ICN|SYD|
SYD|GMP,|GMP|PEK|ICN|SYD|
SYD|ISB,|ISB|URC|CAN|SYD|
SYD|TAS,|TAS|URC|CAN|SYD|
SYD|WUS,|WUS|PEK|ICN|SYD|
SYD|JMU,|JMU|PVG|CAN|SYD|
SYD|NDG,|NDG|PVG|CAN|SYD|
SYD|JXA,|JXA|SHE|ICN|SYD|
SYD|PUS,|PUS|SHE|ICN|SYD|
SYD|BKI,|BKI|SZX|MXZ|CAN|SYD|
SYD|AKU,|AKU|URC|CAN|SYD|
SYD|ALA,|ALA|URC|CAN|SYD|
SYD|ASB,|ASB|URC|CAN|SYD|
SYD|DNH,|DNH|XIY|CAN|SYD|
SYD|DYU,|DYU|URC|CAN|SYD|
SYD|FRU,|FRU|URC|CAN|SYD|
SYD|GYD,|GYD|URC|CAN|SYD|
SYD|HTN,|HTN|URC|CAN|SYD|
SYD|IKA,|IKA|URC|CAN|SYD|
SYD|KCA,|KCA|URC|CAN|SYD|
SYD|KHG,|KHG|URC|CAN|SYD|
SYD|KRL,|KRL|URC|CAN|SYD|
SYD|KRY,|KRY|URC|CAN|SYD|
SYD|LBD,|LBD|URC|CAN|SYD|
SYD|NLT,|NLT|URC|CAN|SYD|
SYD|OSS,|OSS|URC|CAN|SYD|
SYD|OVB,|OVB|URC|CAN|SYD|
SYD|TBS,|TBS|URC|CAN|SYD|
SYD|TCG,|TCG|URC|CAN|SYD|
SYD|TSE,|TSE|URC|CAN|SYD|
SYD|YIN,|YIN|URC|CAN|SYD|
SYD|ENH,|ENH|WUH|CAN|SYD|
SYD|ENY,|ENY|XIY|CAN|SYD|
SYD|WXN,|WXN|XMN|CAN|SYD|
SYD|BLL,|BLL|IST|BKK|SYD|
SYD|ESB,|ESB|IST|BKK|SYD|
SYD|SAW,|SAW|TBS|URC|CAN|SYD|
SYD|HAM,|HAM|IST|BKK|SYD|
SYD|HRE,|HRE|ADD|IST|BKK|SYD|
SYD|JUB,|JUB|CAI|IST|BKK|SYD|
SYD|SSG,|SSG|DLA|IST|BKK|SYD|
SYD|BGW,|BGW|IST|BKK|SYD|
SYD|EBL,|EBL|IST|BKK|SYD|
SYD|VKO,|VKO|IST|BKK|SYD|
SYD|MCT,|MCT|IST|BKK|SYD|
SYD|AYT,|AYT|IST|BKK|SYD|
SYD|SCQ,|SCQ|BIO|IST|BKK|SYD|
SYD|AAL,|AAL|IST|BKK|SYD|
SYD|AOE,|AOE|BRU|IST|BKK|SYD|
SYD|JNB,|JNB|IST|BKK|SYD|
SYD|LBV,|LBV|DLA|IST|BKK|SYD|
SYD|ADA,|ADA|IST|BKK|SYD|
SYD|ADB,|ADB|IST|BKK|SYD|
SYD|ADF,|ADF|IST|BKK|SYD|
SYD|AJI,|AJI|IST|BKK|SYD|
SYD|BAL,|BAL|IST|BKK|SYD|
SYD|BJV,|BJV|IST|BKK|SYD|
SYD|CKZ,|CKZ|ESB|IST|BKK|SYD|
SYD|DIY,|DIY|IST|BKK|SYD|
SYD|ECN,|ECN|IST|BKK|SYD|
SYD|ERC,|ERC|IST|BKK|SYD|
SYD|ERZ,|ERZ|IST|BKK|SYD|
SYD|EZS,|EZS|IST|BKK|SYD|
SYD|GNY,|GNY|IST|BKK|SYD|
SYD|GZP,|GZP|ESB|IST|BKK|SYD|
SYD|GZT,|GZT|IST|BKK|SYD|
SYD|HTY,|HTY|IST|BKK|SYD|
SYD|KCM,|KCM|IST|BKK|SYD|
SYD|KSY,|KSY|IST|BKK|SYD|
SYD|MLX,|MLX|IST|BKK|SYD|
SYD|MQM,|MQM|IST|BKK|SYD|
SYD|MSR,|MSR|IST|BKK|SYD|
SYD|TEQ,|TEQ|ESB|IST|BKK|SYD|
SYD|TZX,|TZX|IST|BKK|SYD|
SYD|VAN,|VAN|IST|BKK|SYD|
SYD|ULN,|ULN|FRU|URC|CAN|SYD|
SYD|HIJ,|HIJ|ICN|SYD|
SYD|VVO,|VVO|ICN|SYD|
SYD|ACC,|ACC|IST|BKK|SYD|
SYD|AER,|AER|IST|BKK|SYD|
SYD|AGP,|AGP|IST|BKK|SYD|
SYD|ALG,|ALG|IST|BKK|SYD|
SYD|AMM,|AMM|IST|BKK|SYD|
SYD|AQJ,|AQJ|IST|BKK|SYD|
SYD|ARN,|ARN|IST|BKK|SYD|
SYD|ASR,|ASR|IST|BKK|SYD|
SYD|ATH,|ATH|IST|BKK|SYD|
SYD|BAH,|BAH|IST|BKK|SYD|
SYD|BEG,|BEG|IST|BKK|SYD|
SYD|BEN,|BEN|IST|BKK|SYD|
SYD|BEY,|BEY|IST|BKK|SYD|
SYD|BHX,|BHX|IST|BKK|SYD|
SYD|BIO,|BIO|IST|BKK|SYD|
SYD|BLQ,|BLQ|IST|BKK|SYD|
SYD|BOM,|BOM|IST|BKK|SYD|
SYD|BRE,|BRE|IST|BKK|SYD|
SYD|BSL,|BSL|IST|BKK|SYD|
SYD|BSR,|BSR|IST|BKK|SYD|
SYD|BUD,|BUD|IST|BKK|SYD|
SYD|BUS,|BUS|IST|BKK|SYD|
SYD|CAI,|CAI|IST|BKK|SYD|
SYD|CGN,|CGN|IST|BKK|SYD|
SYD|CMN,|CMN|IST|BKK|SYD|
SYD|CND,|CND|IST|BKK|SYD|
SYD|DAR,|DAR|NBO|BKK|SYD|
SYD|DLM,|DLM|IST|BKK|SYD|
SYD|DMM,|DMM|IST|BKK|SYD|
SYD|DNK,|DNK|IST|BKK|SYD|
SYD|DNZ,|DNZ|IST|BKK|SYD|
SYD|DOK,|DOK|IST|BKK|SYD|
