FAY|DAR,|DAR|NBO|ZRH|IAD|FAY|
FAY|DLM,|DLM|IST|IAD|FAY|
FAY|DMM,|DMM|IST|IAD|FAY|
FAY|DNK,|DNK|IST|IAD|FAY|
FAY|DNZ,|DNZ|IST|IAD|FAY|
FAY|DOK,|DOK|IST|IAD|FAY|
FAY|DUS,|DUS|EWR|IAD|FAY|
FAY|EDI,|EDI|EWR|IAD|FAY|
FAY|ELQ,|ELQ|IST|IAD|FAY|
FAY|FDH,|FDH|IST|IAD|FAY|
FAY|GOA,|GOA|IST|IAD|FAY|
FAY|GOT,|GOT|BRU|IAD|FAY|
FAY|HAJ,|HAJ|BRU|IAD|FAY|
FAY|HBE,|HBE|IST|IAD|FAY|
FAY|HEL,|HEL|IST|IAD|FAY|
FAY|HRG,|HRG|IST|IAD|FAY|
FAY|IFN,|IFN|IST|IAD|FAY|
FAY|ISE,|ISE|IST|IAD|FAY|
FAY|ISU,|ISU|IST|IAD|FAY|
FAY|JIB,|JIB|IST|IAD|FAY|
FAY|JRO,|JRO|IST|IAD|FAY|
FAY|KAN,|KAN|IST|IAD|FAY|
FAY|KBL,|KBL|IST|IAD|FAY|
FAY|KBP,|KBP|IST|IAD|FAY|
FAY|KFS,|KFS|IST|IAD|FAY|
FAY|KHI,|KHI|IST|IAD|FAY|
FAY|KIV,|KIV|IST|IAD|FAY|
FAY|KRT,|KRT|IST|IAD|FAY|
FAY|KSH,|KSH|IST|IAD|FAY|
FAY|KVD,|KVD|IST|IAD|FAY|
FAY|KWI,|KWI|IAD|FAY|
FAY|KYA,|KYA|IST|IAD|FAY|
FAY|KZN,|KZN|IST|IAD|FAY|
FAY|KZR,|KZR|IST|IAD|FAY|
FAY|LED,|LED|VIE|IAD|FAY|
FAY|LEJ,|LEJ|IST|IAD|FAY|
FAY|LGW,|LGW|IST|IAD|FAY|
FAY|LHE,|LHE|IST|IAD|FAY|
FAY|LIS,|LIS|EWR|IAD|FAY|
FAY|LJU,|LJU|IST|IAD|FAY|
FAY|LOS,|LOS|FRA|IAD|FAY|
FAY|LUX,|LUX|IST|IAD|FAY|
FAY|LWO,|LWO|IST|IAD|FAY|
FAY|LYS,|LYS|IST|IAD|FAY|
FAY|MAD,|MAD|EWR|IAD|FAY|
FAY|MAN,|MAN|IAD|FAY|
FAY|MED,|MED|IST|IAD|FAY|
FAY|MHD,|MHD|IST|IAD|FAY|
FAY|MLA,|MLA|IST|IAD|FAY|
FAY|MRS,|MRS|IST|IAD|FAY|
FAY|MSQ,|MSQ|IST|IAD|FAY|
FAY|MXP,|MXP|EWR|IAD|FAY|
FAY|MZH,|MZH|IST|IAD|FAY|
FAY|MZR,|MZR|IST|IAD|FAY|
FAY|NAJ,|NAJ|IST|IAD|FAY|
FAY|NAV,|NAV|IST|IAD|FAY|
FAY|NCE,|NCE|IST|IAD|FAY|
FAY|NIM,|NIM|IST|IAD|FAY|
FAY|NJF,|NJF|IST|IAD|FAY|
FAY|NSI,|NSI|BRU|IAD|FAY|
FAY|NUE,|NUE|IST|IAD|FAY|
FAY|ODS,|ODS|IST|IAD|FAY|
FAY|ORN,|ORN|IST|IAD|FAY|
FAY|OTP,|OTP|IST|IAD|FAY|
FAY|PRG,|PRG|BRU|IAD|FAY|
FAY|PRN,|PRN|IST|IAD|FAY|
FAY|RIX,|RIX|IST|IAD|FAY|
FAY|ROV,|ROV|IST|IAD|FAY|
