STR|ERI,|ERI|CLE|EWR|STR|
STR|FKL,|FKL|CLE|EWR|STR|
STR|FNT,|FNT|CLE|EWR|STR|
STR|GRR,|GRR|EWR|STR|
STR|GSP,|GSP|EWR|STR|
STR|PBI,|PBI|EWR|STR|
STR|PKB,|PKB|CLE|EWR|STR|
STR|RIC,|RIC|EWR|STR|
STR|SDF,|SDF|EWR|STR|
STR|GUM,|GUM|FUK|ICN|IST|STR|
STR|WRL,|WRL|CYS|DEN|EWR|STR|
STR|LBL,|STR|
STR|ABQ,|ABQ|MCI|EWR|STR|
STR|AIA,|AIA|DEN|EWR|STR|
STR|ALS,|ALS|DEN|EWR|STR|
STR|AMA,|AMA|DAL|LIT|BWI|EWR|STR|
STR|ANC,|ANC|ORD|EWR|STR|
STR|ASE,|ASE|DEN|EWR|STR|
STR|BFL,|BFL|DEN|EWR|STR|
STR|BHM,|BHM|BWI|EWR|STR|
STR|BIL,|BIL|DEN|EWR|STR|
STR|BIS,|BIS|DEN|EWR|STR|
STR|BOI,|BOI|ORD|EWR|STR|
STR|BUR,|BUR|LAS|EWR|STR|
STR|BZN,|BZN|ORD|EWR|STR|
STR|CID,|CID|ORD|EWR|STR|
STR|COD,|COD|DEN|EWR|STR|
STR|COS,|COS|ORD|EWR|STR|
STR|CPR,|CPR|DEN|EWR|STR|
STR|CYS,|CYS|DEN|EWR|STR|
STR|DIK,|DIK|DEN|EWR|STR|
STR|DRO,|DRO|DEN|EWR|STR|
STR|DSM,|DSM|EWR|STR|
STR|EGE,|EGE|DEN|EWR|STR|
STR|ELP,|ELP|DAL|LIT|BWI|EWR|STR|
STR|EUG,|EUG|PDX|EWR|STR|
STR|FAR,|FAR|ORD|EWR|STR|
STR|FAT,|FAT|DEN|EWR|STR|
STR|FCA,|FCA|DEN|EWR|STR|
STR|FSD,|FSD|ORD|EWR|STR|
STR|GCC,|GCC|DEN|EWR|STR|
STR|GEG,|GEG|DEN|EWR|STR|
STR|GJT,|GJT|DEN|EWR|STR|
STR|GTF,|GTF|DEN|EWR|STR|
STR|GUC,|GUC|DEN|EWR|STR|
STR|HDN,|HDN|DEN|EWR|STR|
STR|HLN,|HLN|DEN|EWR|STR|
STR|HSV,|HSV|IAD|EWR|STR|
STR|ICT,|ICT|MDW|EWR|STR|
STR|IDA,|IDA|DEN|EWR|STR|
STR|ISN,|ISN|DEN|EWR|STR|
STR|JAC,|JAC|DEN|EWR|STR|
STR|KOA,|KOA|SFO|EWR|STR|
STR|LAR,|LAR|DEN|EWR|STR|
STR|LBB,|LBB|DAL|LIT|BWI|EWR|STR|
STR|LIH,|LIH|SFO|EWR|STR|
STR|LIT,|LIT|BWI|EWR|STR|
STR|LNK,|LNK|ORD|EWR|STR|
STR|MAF,|MAF|DAL|LIT|BWI|EWR|STR|
STR|MEM,|MEM|EWR|STR|
STR|MFR,|MFR|DEN|EWR|STR|
STR|MLI,|MLI|ORD|EWR|STR|
STR|MOT,|MOT|DEN|EWR|STR|
STR|MRY,|MRY|DEN|EWR|STR|
STR|MSN,|MSN|EWR|STR|
STR|MSO,|MSO|DEN|EWR|STR|
STR|MTJ,|MTJ|DEN|EWR|STR|
STR|OKC,|OKC|EWR|STR|
STR|OMA,|OMA|EWR|STR|
STR|ONT,|ONT|MDW|EWR|STR|
STR|PIA,|PIA|ORD|EWR|STR|
STR|PIR,|PIR|DEN|EWR|STR|
STR|PSC,|PSC|DEN|EWR|STR|
STR|PSP,|PSP|DEN|EWR|STR|
STR|PUB,|PUB|DEN|EWR|STR|
STR|RAP,|RAP|ORD|EWR|STR|
STR|RDM,|RDM|DEN|EWR|STR|
STR|RKS,|RKS|DEN|EWR|STR|
STR|RNO,|RNO|MDW|EWR|STR|
STR|SAF,|SAF|DEN|EWR|STR|
STR|SAT,|SAT|EWR|STR|
STR|SBA,|SBA|DEN|EWR|STR|
STR|SGF,|SGF|ORD|EWR|STR|
STR|SGU,|SGU|DEN|EWR|STR|
STR|SHV,|SHV|IAH|EWR|STR|
