SAN|KWI,|KWI|IST|LAX|SAN|
SAN|KYA,|KYA|IST|LAX|SAN|
SAN|KZN,|KZN|IST|LAX|SAN|
SAN|KZR,|KZR|IST|LAX|SAN|
SAN|LED,|LED|VIE|ORD|SAN|
SAN|LEJ,|LEJ|IST|LAX|SAN|
SAN|LGW,|LGW|IST|LAX|SAN|
SAN|LHE,|LHE|IST|LAX|SAN|
SAN|LIS,|LIS|EWR|SAN|
SAN|LJU,|LJU|IST|LAX|SAN|
SAN|LOS,|LOS|IAH|SAN|
SAN|LUX,|LUX|IST|LAX|SAN|
SAN|LWO,|LWO|IST|LAX|SAN|
SAN|LYS,|LYS|IST|LAX|SAN|
SAN|MAD,|MAD|EWR|SAN|
SAN|MAN,|MAN|EWR|SAN|
SAN|MED,|MED|IST|LAX|SAN|
SAN|MHD,|MHD|IST|LAX|SAN|
SAN|MLA,|MLA|IST|LAX|SAN|
SAN|MRS,|MRS|IST|LAX|SAN|
SAN|MSQ,|MSQ|IST|LAX|SAN|
SAN|MXP,|MXP|EWR|SAN|
SAN|MZH,|MZH|IST|LAX|SAN|
SAN|MZR,|MZR|IST|LAX|SAN|
SAN|NAJ,|NAJ|IST|LAX|SAN|
SAN|NAV,|NAV|IST|LAX|SAN|
SAN|NCE,|NCE|IST|LAX|SAN|
SAN|NIM,|NIM|IST|LAX|SAN|
SAN|NJF,|NJF|IST|LAX|SAN|
SAN|NSI,|NSI|BRU|ORD|SAN|
SAN|NUE,|NUE|IST|LAX|SAN|
SAN|ODS,|ODS|IST|LAX|SAN|
SAN|ORN,|ORN|IST|LAX|SAN|
SAN|OTP,|OTP|IST|LAX|SAN|
SAN|PRG,|PRG|BRU|ORD|SAN|
SAN|PRN,|PRN|IST|LAX|SAN|
SAN|RIX,|RIX|IST|LAX|SAN|
SAN|ROV,|ROV|IST|LAX|SAN|
SAN|RTM,|RTM|IST|LAX|SAN|
SAN|RUH,|RUH|IST|LAX|SAN|
SAN|SAH,|SAH|IST|LAX|SAN|
SAN|SJJ,|SJJ|IST|LAX|SAN|
SAN|SKG,|SKG|IST|LAX|SAN|
SAN|SKP,|SKP|IST|LAX|SAN|
SAN|SSH,|SSH|IST|LAX|SAN|
SAN|STR,|STR|EWR|SAN|
SAN|SVX,|SVX|IST|LAX|SAN|
SAN|SYZ,|SYZ|IST|LAX|SAN|
SAN|SZG,|SZG|IST|LAX|SAN|
SAN|TBZ,|TBZ|IST|LAX|SAN|
SAN|TGD,|TGD|IST|LAX|SAN|
SAN|TIA,|TIA|IST|LAX|SAN|
SAN|TIF,|TIF|IST|LAX|SAN|
SAN|TIP,|TIP|IST|LAX|SAN|
SAN|TLL,|TLL|VNO|CPH|YYZ|SAN|
