HJJ|GMP,|GMP|PEK|CSX|HJJ|
HJJ|ISB,|ISB|URC|CSX|HJJ|
HJJ|TAS,|TAS|URC|CSX|HJJ|
HJJ|WUS,|WUS|PEK|CSX|HJJ|
HJJ|JMU,|JMU|PVG|CSX|HJJ|
HJJ|NDG,|NDG|PVG|CSX|HJJ|
HJJ|JXA,|JXA|SHE|TAO|CSX|HJJ|
HJJ|PUS,|PUS|SHE|TAO|CSX|HJJ|
HJJ|BKI,|BKI|SZX|CSX|HJJ|
HJJ|AKU,|AKU|URC|CSX|HJJ|
HJJ|ALA,|ALA|URC|CSX|HJJ|
HJJ|ASB,|ASB|URC|CSX|HJJ|
HJJ|DNH,|DNH|XIY|CSX|HJJ|
HJJ|DYU,|DYU|URC|CSX|HJJ|
HJJ|FRU,|FRU|URC|CSX|HJJ|
HJJ|GYD,|GYD|URC|CSX|HJJ|
HJJ|HTN,|HTN|URC|CSX|HJJ|
HJJ|IKA,|IKA|URC|CSX|HJJ|
HJJ|KCA,|KCA|URC|CSX|HJJ|
HJJ|KHG,|KHG|URC|CSX|HJJ|
HJJ|KRL,|KRL|URC|CSX|HJJ|
HJJ|KRY,|KRY|URC|CSX|HJJ|
HJJ|LBD,|LBD|URC|CSX|HJJ|
HJJ|NLT,|NLT|URC|CSX|HJJ|
HJJ|OSS,|OSS|URC|CSX|HJJ|
HJJ|OVB,|OVB|URC|CSX|HJJ|
HJJ|TBS,|TBS|URC|CSX|HJJ|
HJJ|TCG,|TCG|URC|CSX|HJJ|
HJJ|TSE,|TSE|URC|CSX|HJJ|
HJJ|YIN,|YIN|URC|CSX|HJJ|
HJJ|ENH,|ENH|WUH|CAN|HJJ|
HJJ|ENY,|ENY|XIY|CSX|HJJ|
HJJ|WXN,|WXN|XIY|CSX|HJJ|
HJJ|BLL,|BLL|IST|URC|CSX|HJJ|
HJJ|ESB,|ESB|SAW|TBS|URC|CSX|HJJ|
HJJ|SAW,|SAW|TBS|URC|CSX|HJJ|
HJJ|HAM,|HAM|IST|URC|CSX|HJJ|
HJJ|HRE,|HRE|ADD|IST|URC|CSX|HJJ|
HJJ|JUB,|JUB|CAI|IST|URC|CSX|HJJ|
HJJ|SSG,|SSG|DLA|IST|URC|CSX|HJJ|
HJJ|BGW,|BGW|ESB|SAW|TBS|URC|CSX|HJJ|
