BUD|LEJ,|LEJ|IST|BUD|
BUD|LGW,|LGW|IST|BUD|
BUD|LHE,|LHE|IST|BUD|
BUD|LIS,|LIS|IST|BUD|
BUD|LJU,|LJU|IST|BUD|
BUD|LOS,|LOS|IST|BUD|
BUD|LUX,|LUX|IST|BUD|
BUD|LWO,|LWO|IST|BUD|
BUD|LYS,|LYS|IST|BUD|
BUD|MAD,|MAD|IST|BUD|
BUD|MAN,|MAN|IST|BUD|
BUD|MED,|MED|IST|BUD|
BUD|MHD,|MHD|IST|BUD|
BUD|MLA,|MLA|IST|BUD|
BUD|MRS,|MRS|IST|BUD|
BUD|MSQ,|MSQ|IST|BUD|
BUD|MXP,|MXP|IST|BUD|
BUD|MZH,|MZH|IST|BUD|
BUD|MZR,|MZR|IST|BUD|
BUD|NAJ,|NAJ|IST|BUD|
BUD|NAV,|NAV|IST|BUD|
BUD|NCE,|NCE|IST|BUD|
BUD|NIM,|NIM|IST|BUD|
BUD|NJF,|NJF|IST|BUD|
BUD|NSI,|NSI|IST|BUD|
BUD|NUE,|NUE|IST|BUD|
BUD|ODS,|ODS|IST|BUD|
BUD|ORN,|ORN|IST|BUD|
BUD|OTP,|OTP|IST|BUD|
BUD|PRG,|PRG|IST|BUD|
BUD|PRN,|PRN|IST|BUD|
BUD|RIX,|RIX|IST|BUD|
BUD|ROV,|ROV|IST|BUD|
BUD|RTM,|RTM|IST|BUD|
BUD|RUH,|RUH|IST|BUD|
BUD|SAH,|SAH|IST|BUD|
BUD|SJJ,|SJJ|IST|BUD|
BUD|SKG,|SKG|IST|BUD|
BUD|SKP,|SKP|IST|BUD|
BUD|SSH,|SSH|IST|BUD|
BUD|STR,|STR|IST|BUD|
BUD|SVX,|SVX|IST|BUD|
BUD|SYZ,|SYZ|IST|BUD|
BUD|SZG,|SZG|IST|BUD|
BUD|TBZ,|TBZ|IST|BUD|
BUD|TGD,|TGD|IST|BUD|
BUD|TIA,|TIA|IST|BUD|
BUD|TIF,|TIF|IST|BUD|
BUD|TIP,|TIP|IST|BUD|
BUD|TLL,|TLL|IST|BUD|
BUD|TLS,|TLS|IST|BUD|
BUD|TRN,|TRN|IST|BUD|
BUD|TUN,|TUN|IST|BUD|
BUD|TXL,|TXL|IST|BUD|
BUD|UFA,|UFA|IST|BUD|
BUD|VAS,|VAS|IST|BUD|
BUD|VCE,|VCE|IST|BUD|
BUD|YNB,|YNB|IST|BUD|
BUD|ZAG,|ZAG|IST|BUD|
BUD|MGQ,|MGQ|JIB|IST|BUD|
BUD|CPT,|CPT|JNB|IST|BUD|
BUD|MBA,|MBA|JRO|IST|BUD|
BUD|NDJ,|NDJ|KAN|IST|BUD|
