MDE|CKG,|CKG|PEK|ORD|MIA|MDE|
MDE|KMG,|KMG|PEK|ORD|MIA|MDE|
MDE|FOC,|FOC|PEK|ORD|MIA|MDE|
MDE|NNG,|NNG|PEK|ORD|MIA|MDE|
MDE|SWA,|SWA|PEK|ORD|MIA|MDE|
MDE|ACX,|ACX|CAN|PEK|ORD|MIA|MDE|
MDE|AQG,|AQG|CAN|PEK|ORD|MIA|MDE|
MDE|AVA,|AVA|CAN|PEK|ORD|MIA|MDE|
MDE|BFJ,|BFJ|CAN|PEK|ORD|MIA|MDE|
MDE|BHY,|BHY|CGO|PEK|ORD|MIA|MDE|
MDE|BNE,|BNE|CAN|PEK|ORD|MIA|MDE|
MDE|CGD,|CGD|PEK|ORD|MIA|MDE|
MDE|CGK,|CGK|CAN|PEK|ORD|MIA|MDE|
MDE|CGQ,|CGQ|PEK|ORD|MIA|MDE|
MDE|CIH,|CIH|PEK|ORD|MIA|MDE|
MDE|CNX,|CNX|CAN|PEK|ORD|MIA|MDE|
MDE|CZX,|CZX|SHE|PEK|ORD|MIA|MDE|
MDE|DAC,|DAC|IST|ZRH|MIA|MDE|
MDE|DAD,|DAD|CAN|PEK|ORD|MIA|MDE|
MDE|DEL,|DEL|EWR|MIA|MDE|
MDE|DIG,|DIG|KMG|PEK|ORD|MIA|MDE|
MDE|DLC,|DLC|PEK|ORD|MIA|MDE|
MDE|DPS,|DPS|SZX|PEK|ORD|MIA|MDE|
MDE|DXB,|DXB|IST|ZRH|MIA|MDE|
MDE|DYG,|DYG|PEK|ORD|MIA|MDE|
MDE|FUG,|FUG|CAN|PEK|ORD|MIA|MDE|
MDE|FUK,|FUK|ICN|YVR|DEN|MIA|MDE|
MDE|HAK,|HAK|PEK|ORD|MIA|MDE|
MDE|HAN,|HAN|PEK|ORD|MIA|MDE|
MDE|HDG,|HDG|CAN|PEK|ORD|MIA|MDE|
MDE|HET,|HET|DLC|PEK|ORD|MIA|MDE|
MDE|HFE,|HFE|XIY|PEK|ORD|MIA|MDE|
MDE|HJJ,|HJJ|CSX|PEK|ORD|MIA|MDE|
MDE|HKT,|HKT|KWE|PEK|ORD|MIA|MDE|
MDE|HRB,|HRB|PEK|ORD|MIA|MDE|
MDE|HZH,|HZH|CAN|PEK|ORD|MIA|MDE|
MDE|JIU,|JIU|CAN|PEK|ORD|MIA|MDE|
MDE|JJN,|JJN|PEK|ORD|MIA|MDE|
MDE|JNG,|JNG|CAN|PEK|ORD|MIA|MDE|
MDE|KHN,|KHN|DLC|PEK|ORD|MIA|MDE|
MDE|KIX,|KIX|SFO|MSY|MIA|MDE|
MDE|KOW,|KOW|PEK|ORD|MIA|MDE|
MDE|KTM,|KTM|IST|ZRH|MIA|MDE|
MDE|KUL,|KUL|CAN|PEK|ORD|MIA|MDE|
MDE|KWE,|KWE|PEK|ORD|MIA|MDE|
MDE|KWL,|KWL|PEK|ORD|MIA|MDE|
MDE|LHW,|LHW|CGO|PEK|ORD|MIA|MDE|
MDE|LYA,|LYA|KHN|DLC|PEK|ORD|MIA|MDE|
MDE|LYG,|LYG|HSN|PEK|ORD|MIA|MDE|
MDE|LZH,|LZH|CAN|PEK|ORD|MIA|MDE|
MDE|MEL,|MEL|SYD|LAX|IAH|MIA|MDE|
MDE|MIG,|MIG|CSX|PEK|ORD|MIA|MDE|
MDE|MLE,|MLE|IST|ZRH|MIA|MDE|
MDE|MNL,|MNL|XMN|PEK|ORD|MIA|MDE|
MDE|MXZ,|MXZ|CAN|PEK|ORD|MIA|MDE|
MDE|NAO,|NAO|PEK|ORD|MIA|MDE|
MDE|NGB,|NGB|PEK|ORD|MIA|MDE|
MDE|NKG,|NKG|DLC|PEK|ORD|MIA|MDE|
MDE|NNY,|NNY|CGO|PEK|ORD|MIA|MDE|
MDE|PEN,|PEN|CAN|PEK|ORD|MIA|MDE|
MDE|PER,|PER|CAN|PEK|ORD|MIA|MDE|
MDE|PNH,|PNH|CAN|PEK|ORD|MIA|MDE|
MDE|REP,|REP|CAN|PEK|ORD|MIA|MDE|
MDE|RGN,|RGN|CAN|PEK|ORD|MIA|MDE|
MDE|SGN,|SGN|CAN|PEK|ORD|MIA|MDE|
MDE|SHA,|SHA|PEK|ORD|MIA|MDE|
MDE|SIN,|SIN|HKG|ORD|MIA|MDE|
MDE|SVO,|SVO|URC|TSE|FRA|MIA|MDE|
MDE|SYX,|SYX|PEK|ORD|MIA|MDE|
MDE|TAO,|TAO|DLC|PEK|ORD|MIA|MDE|
MDE|TEN,|TEN|PEK|ORD|MIA|MDE|
MDE|TNA,|TNA|DLC|PEK|ORD|MIA|MDE|
MDE|TPE,|TPE|PVG|ORD|MIA|MDE|
MDE|TSN,|TSN|DLC|PEK|ORD|MIA|MDE|
MDE|TXN,|TXN|DLC|PEK|ORD|MIA|MDE|
MDE|TYN,|TYN|DAT|CIH|PEK|ORD|MIA|MDE|
MDE|WNZ,|WNZ|CGO|PEK|ORD|MIA|MDE|
MDE|WUX,|WUX|CAN|PEK|ORD|MIA|MDE|
MDE|XFN,|XFN|XMN|PEK|ORD|MIA|MDE|
MDE|XIY,|XIY|PEK|ORD|MIA|MDE|
MDE|XUZ,|XUZ|LYG|HSN|PEK|ORD|MIA|MDE|
MDE|YIH,|YIH|CKG|PEK|ORD|MIA|MDE|
MDE|YIW,|YIW|PEK|ORD|MIA|MDE|
MDE|YNT,|YNT|SHE|PEK|ORD|MIA|MDE|
MDE|YNZ,|YNZ|DLC|PEK|ORD|MIA|MDE|
MDE|YTY,|YTY|DLC|PEK|ORD|MIA|MDE|
