ECP|HIJ,|HIJ|ICN|YVR|DEN|STL|ECP|
ECP|VVO,|VVO|ICN|YVR|DEN|STL|ECP|
ECP|ACC,|ACC|IST|BHX|EWR|BWI|ECP|
ECP|AER,|AER|IST|BHX|EWR|BWI|ECP|
ECP|AGP,|AGP|IST|BHX|EWR|BWI|ECP|
ECP|ALG,|ALG|IST|BHX|EWR|BWI|ECP|
ECP|AMM,|AMM|IST|BHX|EWR|BWI|ECP|
ECP|AQJ,|AQJ|IST|BHX|EWR|BWI|ECP|
ECP|ARN,|ARN|EWR|BWI|ECP|
ECP|ASR,|ASR|SAW|FRA|EWR|BWI|ECP|
ECP|ATH,|ATH|IST|BHX|EWR|BWI|ECP|
ECP|BAH,|BAH|IST|BHX|EWR|BWI|ECP|
ECP|BEG,|BEG|IST|BHX|EWR|BWI|ECP|
ECP|BEN,|BEN|IST|BHX|EWR|BWI|ECP|
ECP|BEY,|BEY|IST|BHX|EWR|BWI|ECP|
ECP|BHX,|BHX|EWR|BWI|ECP|
ECP|BIO,|BIO|IST|BHX|EWR|BWI|ECP|
ECP|BLQ,|BLQ|IST|BHX|EWR|BWI|ECP|
ECP|BOM,|BOM|EWR|BWI|ECP|
ECP|BRE,|BRE|IST|BHX|EWR|BWI|ECP|
ECP|BSL,|BSL|IST|BHX|EWR|BWI|ECP|
ECP|BSR,|BSR|IST|BHX|EWR|BWI|ECP|
ECP|BUD,|BUD|IST|BHX|EWR|BWI|ECP|
ECP|BUS,|BUS|IST|BHX|EWR|BWI|ECP|
ECP|CAI,|CAI|IST|BHX|EWR|BWI|ECP|
ECP|CGN,|CGN|IST|BHX|EWR|BWI|ECP|
ECP|CMN,|CMN|IST|BHX|EWR|BWI|ECP|
ECP|CND,|CND|IST|BHX|EWR|BWI|ECP|
ECP|DAR,|DAR|NBO|ZRH|BOS|BWI|ECP|
ECP|DLM,|DLM|IST|BHX|EWR|BWI|ECP|
ECP|DMM,|DMM|IST|BHX|EWR|BWI|ECP|
ECP|DNK,|DNK|IST|BHX|EWR|BWI|ECP|
ECP|DNZ,|DNZ|IST|BHX|EWR|BWI|ECP|
ECP|DOK,|DOK|IST|BHX|EWR|BWI|ECP|
ECP|DUS,|DUS|EWR|BWI|ECP|
ECP|EDI,|EDI|EWR|BWI|ECP|
ECP|ELQ,|ELQ|IST|BHX|EWR|BWI|ECP|
ECP|FDH,|FDH|IST|BHX|EWR|BWI|ECP|
ECP|GOA,|GOA|IST|BHX|EWR|BWI|ECP|
ECP|GOT,|GOT|BRU|EWR|BWI|ECP|
ECP|HAJ,|HAJ|BRU|EWR|BWI|ECP|
ECP|HBE,|HBE|IST|BHX|EWR|BWI|ECP|
ECP|HEL,|HEL|IST|BHX|EWR|BWI|ECP|
ECP|HRG,|HRG|IST|BHX|EWR|BWI|ECP|
ECP|IFN,|IFN|IST|BHX|EWR|BWI|ECP|
ECP|ISE,|ISE|IST|BHX|EWR|BWI|ECP|
ECP|ISU,|ISU|IST|BHX|EWR|BWI|ECP|
ECP|JIB,|JIB|IST|BHX|EWR|BWI|ECP|
ECP|JRO,|JRO|IST|BHX|EWR|BWI|ECP|
ECP|KAN,|KAN|IST|BHX|EWR|BWI|ECP|
ECP|KBL,|KBL|IST|BHX|EWR|BWI|ECP|
ECP|KBP,|KBP|IST|BHX|EWR|BWI|ECP|
ECP|KFS,|KFS|IST|BHX|EWR|BWI|ECP|
ECP|KHI,|KHI|IST|BHX|EWR|BWI|ECP|
ECP|KIV,|KIV|IST|BHX|EWR|BWI|ECP|
ECP|KRT,|KRT|IST|BHX|EWR|BWI|ECP|
ECP|KSH,|KSH|IST|BHX|EWR|BWI|ECP|
ECP|KVD,|KVD|IST|BHX|EWR|BWI|ECP|
ECP|KWI,|KWI|SAW|FRA|EWR|BWI|ECP|
