LIT|BAL,|BAL|ESB|VIE|ORD|LIT|
LIT|BJV,|BJV|IST|ORD|LIT|
LIT|CKZ,|CKZ|ESB|VIE|ORD|LIT|
LIT|DIY,|DIY|ESB|VIE|ORD|LIT|
LIT|ECN,|ECN|IST|ORD|LIT|
LIT|ERC,|ERC|ESB|VIE|ORD|LIT|
LIT|ERZ,|ERZ|ESB|VIE|ORD|LIT|
LIT|EZS,|EZS|ESB|VIE|ORD|LIT|
LIT|GNY,|GNY|ESB|VIE|ORD|LIT|
LIT|GZP,|GZP|ESB|VIE|ORD|LIT|
LIT|GZT,|GZT|ESB|VIE|ORD|LIT|
LIT|HTY,|HTY|IST|ORD|LIT|
LIT|KCM,|KCM|ESB|VIE|ORD|LIT|
LIT|KSY,|KSY|ESB|VIE|ORD|LIT|
LIT|MLX,|MLX|ESB|VIE|ORD|LIT|
LIT|MQM,|MQM|ESB|VIE|ORD|LIT|
LIT|MSR,|MSR|ESB|VIE|ORD|LIT|
LIT|TEQ,|TEQ|ESB|VIE|ORD|LIT|
LIT|TZX,|TZX|ESB|VIE|ORD|LIT|
LIT|VAN,|VAN|ESB|VIE|ORD|LIT|
LIT|ULN,|ULN|FRU|IST|ORD|LIT|
LIT|HIJ,|HIJ|ICN|YVR|DEN|LIT|
LIT|VVO,|VVO|ICN|YVR|DEN|LIT|
LIT|ACC,|ACC|IST|ORD|LIT|
LIT|AER,|AER|IST|ORD|LIT|
LIT|AGP,|AGP|IST|ORD|LIT|
LIT|ALG,|ALG|IST|ORD|LIT|
LIT|AMM,|AMM|IST|ORD|LIT|
LIT|AQJ,|AQJ|IST|ORD|LIT|
LIT|ARN,|ARN|EWR|BWI|LIT|
LIT|ASR,|ASR|SAW|VIE|ORD|LIT|
LIT|ATH,|ATH|IST|ORD|LIT|
LIT|BAH,|BAH|IST|ORD|LIT|
LIT|BEG,|BEG|IST|ORD|LIT|
LIT|BEN,|BEN|IST|ORD|LIT|
LIT|BEY,|BEY|IST|ORD|LIT|
LIT|BHX,|BHX|EWR|BWI|LIT|
LIT|BIO,|BIO|IST|ORD|LIT|
LIT|BLQ,|BLQ|IST|ORD|LIT|
LIT|BOM,|BOM|EWR|BWI|LIT|
LIT|BRE,|BRE|IST|ORD|LIT|
LIT|BSL,|BSL|IST|ORD|LIT|
LIT|BSR,|BSR|IST|ORD|LIT|
LIT|BUD,|BUD|IST|ORD|LIT|
LIT|BUS,|BUS|IST|ORD|LIT|
LIT|CAI,|CAI|IST|ORD|LIT|
LIT|CGN,|CGN|IST|ORD|LIT|
LIT|CMN,|CMN|IST|ORD|LIT|
LIT|CND,|CND|IST|ORD|LIT|
LIT|DAR,|DAR|NBO|ZRH|ORD|LIT|
LIT|DLM,|DLM|IST|ORD|LIT|
LIT|DMM,|DMM|IST|ORD|LIT|
LIT|DNK,|DNK|IST|ORD|LIT|
LIT|DNZ,|DNZ|IST|ORD|LIT|
LIT|DOK,|DOK|IST|ORD|LIT|
LIT|DUS,|DUS|ORD|LIT|
LIT|EDI,|EDI|EWR|BWI|LIT|
LIT|ELQ,|ELQ|IST|ORD|LIT|
LIT|FDH,|FDH|IST|ORD|LIT|
LIT|GOA,|GOA|IST|ORD|LIT|
LIT|GOT,|GOT|BRU|ORD|LIT|
LIT|HAJ,|HAJ|BRU|ORD|LIT|
LIT|HBE,|HBE|IST|ORD|LIT|
LIT|HEL,|HEL|IST|ORD|LIT|
LIT|HRG,|HRG|IST|ORD|LIT|
LIT|IFN,|IFN|IST|ORD|LIT|
LIT|ISE,|ISE|IST|ORD|LIT|
LIT|ISU,|ISU|IST|ORD|LIT|
LIT|JIB,|JIB|IST|ORD|LIT|
LIT|JRO,|JRO|IST|ORD|LIT|
LIT|KAN,|KAN|IST|ORD|LIT|
LIT|KBL,|KBL|IST|ORD|LIT|
LIT|KBP,|KBP|IST|ORD|LIT|
LIT|KFS,|KFS|IST|ORD|LIT|
LIT|KHI,|KHI|IST|ORD|LIT|
LIT|KIV,|KIV|IST|ORD|LIT|
LIT|KRT,|KRT|IST|ORD|LIT|
LIT|KSH,|KSH|IST|ORD|LIT|
LIT|KVD,|KVD|IST|ORD|LIT|
LIT|KWI,|KWI|SAW|VIE|ORD|LIT|
LIT|KYA,|KYA|IST|ORD|LIT|
LIT|KZN,|KZN|IST|ORD|LIT|
LIT|KZR,|KZR|IST|ORD|LIT|
LIT|LED,|LED|VIE|ORD|LIT|
LIT|LEJ,|LEJ|IST|ORD|LIT|
LIT|LGW,|LGW|IST|ORD|LIT|
LIT|LHE,|LHE|IST|ORD|LIT|
LIT|LIS,|LIS|EWR|BWI|LIT|
LIT|LJU,|LJU|IST|ORD|LIT|
LIT|LOS,|LOS|IAH|LIT|
LIT|LUX,|LUX|IST|ORD|LIT|
LIT|LWO,|LWO|IST|ORD|LIT|
LIT|LYS,|LYS|IST|ORD|LIT|
LIT|MAD,|MAD|EWR|BWI|LIT|
LIT|MAN,|MAN|EWR|BWI|LIT|
LIT|MED,|MED|IST|ORD|LIT|
LIT|MHD,|MHD|IST|ORD|LIT|
LIT|MLA,|MLA|IST|ORD|LIT|
LIT|MRS,|MRS|IST|ORD|LIT|
LIT|MSQ,|MSQ|IST|ORD|LIT|
LIT|MXP,|MXP|EWR|BWI|LIT|
LIT|MZH,|MZH|IST|ORD|LIT|
LIT|MZR,|MZR|IST|ORD|LIT|
LIT|NAJ,|NAJ|IST|ORD|LIT|
LIT|NAV,|NAV|IST|ORD|LIT|
LIT|NCE,|NCE|IST|ORD|LIT|
LIT|NIM,|NIM|IST|ORD|LIT|
LIT|NJF,|NJF|IST|ORD|LIT|
LIT|NSI,|NSI|BRU|ORD|LIT|
LIT|NUE,|NUE|IST|ORD|LIT|
LIT|ODS,|ODS|IST|ORD|LIT|
LIT|ORN,|ORN|IST|ORD|LIT|
LIT|OTP,|OTP|IST|ORD|LIT|
LIT|PRG,|PRG|BRU|ORD|LIT|
LIT|PRN,|PRN|IST|ORD|LIT|
LIT|RIX,|RIX|IST|ORD|LIT|
LIT|ROV,|ROV|IST|ORD|LIT|
LIT|RTM,|RTM|IST|ORD|LIT|
LIT|RUH,|RUH|IST|ORD|LIT|
LIT|SAH,|SAH|IST|ORD|LIT|
LIT|SJJ,|SJJ|IST|ORD|LIT|
LIT|SKG,|SKG|IST|ORD|LIT|
LIT|SKP,|SKP|IST|ORD|LIT|
LIT|SSH,|SSH|IST|ORD|LIT|
LIT|STR,|STR|EWR|BWI|LIT|
LIT|SVX,|SVX|IST|ORD|LIT|
LIT|SYZ,|SYZ|IST|ORD|LIT|
LIT|SZG,|SZG|IST|ORD|LIT|
LIT|TBZ,|TBZ|IST|ORD|LIT|
LIT|TGD,|TGD|IST|ORD|LIT|
LIT|TIA,|TIA|IST|ORD|LIT|
LIT|TIF,|TIF|IST|ORD|LIT|
LIT|TIP,|TIP|IST|ORD|LIT|
LIT|TLL,|TLL|VNO|CPH|YYZ|DTW|MDW|LIT|
LIT|TLS,|TLS|IST|ORD|LIT|
LIT|TRN,|TRN|IST|ORD|LIT|
