CNX|HBE,|HBE|IST|CAN|CNX|
CNX|HEL,|HEL|IST|CAN|CNX|
CNX|HRG,|HRG|IST|CAN|CNX|
CNX|IFN,|IFN|IST|CAN|CNX|
CNX|ISE,|ISE|IST|CAN|CNX|
CNX|ISU,|ISU|IST|CAN|CNX|
CNX|JIB,|JIB|IST|CAN|CNX|
CNX|JRO,|JRO|IST|CAN|CNX|
CNX|KAN,|KAN|IST|CAN|CNX|
CNX|KBL,|KBL|IST|CAN|CNX|
CNX|KBP,|KBP|IST|CAN|CNX|
CNX|KFS,|KFS|IST|CAN|CNX|
CNX|KHI,|KHI|IST|CAN|CNX|
CNX|KIV,|KIV|IST|CAN|CNX|
CNX|KRT,|KRT|IST|CAN|CNX|
CNX|KSH,|KSH|IST|CAN|CNX|
CNX|KVD,|KVD|IST|CAN|CNX|
CNX|KWI,|KWI|IST|CAN|CNX|
CNX|KYA,|KYA|IST|CAN|CNX|
CNX|KZN,|KZN|IST|CAN|CNX|
CNX|KZR,|KZR|IST|CAN|CNX|
CNX|LED,|LED|IST|CAN|CNX|
CNX|LEJ,|LEJ|IST|CAN|CNX|
CNX|LGW,|LGW|IST|CAN|CNX|
CNX|LHE,|LHE|IST|CAN|CNX|
CNX|LIS,|LIS|IST|CAN|CNX|
CNX|LJU,|LJU|IST|CAN|CNX|
CNX|LOS,|LOS|IST|CAN|CNX|
CNX|LUX,|LUX|IST|CAN|CNX|
CNX|LWO,|LWO|IST|CAN|CNX|
CNX|LYS,|LYS|IST|CAN|CNX|
CNX|MAD,|MAD|IST|CAN|CNX|
CNX|MAN,|MAN|IST|CAN|CNX|
CNX|MED,|MED|IST|CAN|CNX|
CNX|MHD,|MHD|IST|CAN|CNX|
CNX|MLA,|MLA|IST|CAN|CNX|
CNX|MRS,|MRS|IST|CAN|CNX|
CNX|MSQ,|MSQ|IST|CAN|CNX|
CNX|MXP,|MXP|IST|CAN|CNX|
CNX|MZH,|MZH|IST|CAN|CNX|
CNX|MZR,|MZR|IST|CAN|CNX|
CNX|NAJ,|NAJ|IST|CAN|CNX|
CNX|NAV,|NAV|IST|CAN|CNX|
CNX|NCE,|NCE|IST|CAN|CNX|
CNX|NIM,|NIM|IST|CAN|CNX|
CNX|NJF,|NJF|IST|CAN|CNX|
CNX|NSI,|NSI|IST|CAN|CNX|
