TXN|DLM,|DLM|IST|URC|TYN|TXN|
TXN|DMM,|DMM|IST|URC|TYN|TXN|
TXN|DNK,|DNK|IST|URC|TYN|TXN|
TXN|DNZ,|DNZ|IST|URC|TYN|TXN|
TXN|DOK,|DOK|IST|URC|TYN|TXN|
TXN|DUS,|DUS|IST|URC|TYN|TXN|
TXN|EDI,|EDI|IST|URC|TYN|TXN|
TXN|ELQ,|ELQ|IST|URC|TYN|TXN|
TXN|FDH,|FDH|IST|URC|TYN|TXN|
TXN|GOA,|GOA|IST|URC|TYN|TXN|
TXN|GOT,|GOT|IST|URC|TYN|TXN|
TXN|HAJ,|HAJ|IST|URC|TYN|TXN|
TXN|HBE,|HBE|IST|URC|TYN|TXN|
TXN|HEL,|HEL|IST|URC|TYN|TXN|
TXN|HRG,|HRG|IST|URC|TYN|TXN|
TXN|IFN,|IFN|IST|URC|TYN|TXN|
TXN|ISE,|ISE|IST|URC|TYN|TXN|
TXN|ISU,|ISU|IST|URC|TYN|TXN|
TXN|JIB,|JIB|IST|URC|TYN|TXN|
TXN|JRO,|JRO|IST|URC|TYN|TXN|
TXN|KAN,|KAN|IST|URC|TYN|TXN|
TXN|KBL,|KBL|IST|URC|TYN|TXN|
TXN|KBP,|KBP|IST|URC|TYN|TXN|
TXN|KFS,|KFS|IST|URC|TYN|TXN|
TXN|KHI,|KHI|IST|URC|TYN|TXN|
TXN|KIV,|KIV|IST|URC|TYN|TXN|
TXN|KRT,|KRT|IST|URC|TYN|TXN|
TXN|KSH,|KSH|IST|URC|TYN|TXN|
TXN|KVD,|KVD|IST|URC|TYN|TXN|
TXN|KWI,|KWI|SAW|TBS|URC|TYN|TXN|
TXN|KYA,|KYA|SAW|TBS|URC|TYN|TXN|
TXN|KZN,|KZN|IST|URC|TYN|TXN|
TXN|KZR,|KZR|IST|URC|TYN|TXN|
TXN|LED,|LED|IST|URC|TYN|TXN|
TXN|LEJ,|LEJ|IST|URC|TYN|TXN|
TXN|LGW,|LGW|IST|URC|TYN|TXN|
TXN|LHE,|LHE|IST|URC|TYN|TXN|
TXN|LIS,|LIS|IST|URC|TYN|TXN|
TXN|LJU,|LJU|IST|URC|TYN|TXN|
TXN|LOS,|LOS|IST|URC|TYN|TXN|
TXN|LUX,|LUX|IST|URC|TYN|TXN|
TXN|LWO,|LWO|IST|URC|TYN|TXN|
TXN|LYS,|LYS|IST|URC|TYN|TXN|
TXN|MAD,|MAD|IST|URC|TYN|TXN|
TXN|MAN,|MAN|IST|URC|TYN|TXN|
TXN|MED,|MED|IST|URC|TYN|TXN|
TXN|MHD,|MHD|IST|URC|TYN|TXN|
TXN|MLA,|MLA|IST|URC|TYN|TXN|
TXN|MRS,|MRS|IST|URC|TYN|TXN|
TXN|MSQ,|MSQ|IST|URC|TYN|TXN|
TXN|MXP,|MXP|IST|URC|TYN|TXN|
TXN|MZH,|MZH|IST|URC|TYN|TXN|
TXN|MZR,|MZR|IST|URC|TYN|TXN|
TXN|NAJ,|NAJ|IST|URC|TYN|TXN|
TXN|NAV,|NAV|IST|URC|TYN|TXN|
TXN|NCE,|NCE|IST|URC|TYN|TXN|
TXN|NIM,|NIM|IST|URC|TYN|TXN|
TXN|NJF,|NJF|IST|URC|TYN|TXN|
TXN|NSI,|NSI|IST|URC|TYN|TXN|
TXN|NUE,|NUE|IST|URC|TYN|TXN|
TXN|ODS,|ODS|IST|URC|TYN|TXN|
TXN|ORN,|ORN|IST|URC|TYN|TXN|
TXN|OTP,|OTP|IST|URC|TYN|TXN|
TXN|PRG,|PRG|IST|URC|TYN|TXN|
TXN|PRN,|PRN|IST|URC|TYN|TXN|
TXN|RIX,|RIX|IST|URC|TYN|TXN|
TXN|ROV,|ROV|IST|URC|TYN|TXN|
TXN|RTM,|RTM|IST|URC|TYN|TXN|
TXN|RUH,|RUH|IST|URC|TYN|TXN|
TXN|SAH,|SAH|IST|URC|TYN|TXN|
TXN|SJJ,|SJJ|IST|URC|TYN|TXN|
TXN|SKG,|SKG|IST|URC|TYN|TXN|
TXN|SKP,|SKP|IST|URC|TYN|TXN|
TXN|SSH,|SSH|IST|URC|TYN|TXN|
TXN|STR,|STR|IST|URC|TYN|TXN|
TXN|SVX,|SVX|IST|URC|TYN|TXN|
