JMU|KCA,|KCA|URC|PVG|JMU|
JMU|KHG,|KHG|URC|PVG|JMU|
JMU|KRL,|KRL|URC|PVG|JMU|
JMU|KRY,|KRY|URC|PVG|JMU|
JMU|LBD,|LBD|URC|PVG|JMU|
JMU|NLT,|NLT|URC|PVG|JMU|
JMU|OSS,|OSS|URC|PVG|JMU|
JMU|OVB,|OVB|URC|PVG|JMU|
JMU|TBS,|TBS|URC|PVG|JMU|
JMU|TCG,|TCG|URC|PVG|JMU|
JMU|TSE,|TSE|URC|PVG|JMU|
JMU|YIN,|YIN|URC|PVG|JMU|
JMU|ENH,|ENH|WUH|PVG|JMU|
JMU|ENY,|ENY|XIY|PVG|JMU|
JMU|WXN,|WXN|XIY|PVG|JMU|
JMU|BLL,|BLL|IST|PVG|JMU|
JMU|ESB,|ESB|SAW|TBS|URC|PVG|JMU|
JMU|SAW,|SAW|TBS|URC|PVG|JMU|
JMU|HAM,|HAM|IST|PVG|JMU|
JMU|HRE,|HRE|ADD|IST|PVG|JMU|
JMU|JUB,|JUB|CAI|IST|PVG|JMU|
JMU|SSG,|SSG|DLA|IST|PVG|JMU|
JMU|BGW,|BGW|IST|PVG|JMU|
JMU|EBL,|EBL|IST|PVG|JMU|
JMU|VKO,|VKO|IST|PVG|JMU|
JMU|MCT,|MCT|IST|PVG|JMU|
JMU|AYT,|AYT|IST|PVG|JMU|
JMU|SCQ,|SCQ|BIO|IST|PVG|JMU|
JMU|AAL,|AAL|IST|PVG|JMU|
JMU|AOE,|AOE|BRU|IST|PVG|JMU|
JMU|JNB,|JNB|IST|PVG|JMU|
JMU|LBV,|LBV|DLA|IST|PVG|JMU|
JMU|ADA,|ADA|SAW|TBS|URC|PVG|JMU|
JMU|ADB,|ADB|IST|PVG|JMU|
JMU|ADF,|ADF|ESB|SAW|TBS|URC|PVG|JMU|
JMU|AJI,|AJI|ESB|SAW|TBS|URC|PVG|JMU|
JMU|BAL,|BAL|ESB|SAW|TBS|URC|PVG|JMU|
JMU|BJV,|BJV|IST|PVG|JMU|
JMU|CKZ,|CKZ|ESB|SAW|TBS|URC|PVG|JMU|
JMU|DIY,|DIY|SAW|TBS|URC|PVG|JMU|
JMU|ECN,|ECN|IST|PVG|JMU|
JMU|ERC,|ERC|ESB|SAW|TBS|URC|PVG|JMU|
JMU|ERZ,|ERZ|SAW|TBS|URC|PVG|JMU|
JMU|EZS,|EZS|SAW|TBS|URC|PVG|JMU|
JMU|GNY,|GNY|ESB|SAW|TBS|URC|PVG|JMU|
JMU|GZP,|GZP|ESB|SAW|TBS|URC|PVG|JMU|
JMU|GZT,|GZT|SAW|TBS|URC|PVG|JMU|
JMU|HTY,|HTY|SAW|TBS|URC|PVG|JMU|
JMU|KCM,|KCM|IST|PVG|JMU|
JMU|KSY,|KSY|SAW|TBS|URC|PVG|JMU|
JMU|MLX,|MLX|ESB|SAW|TBS|URC|PVG|JMU|
JMU|MQM,|MQM|SAW|TBS|URC|PVG|JMU|
JMU|MSR,|MSR|ESB|SAW|TBS|URC|PVG|JMU|
JMU|TEQ,|TEQ|ESB|SAW|TBS|URC|PVG|JMU|
JMU|TZX,|TZX|SAW|TBS|URC|PVG|JMU|
JMU|VAN,|VAN|SAW|TBS|URC|PVG|JMU|
JMU|ULN,|ULN|FRU|URC|PVG|JMU|
JMU|HIJ,|HIJ|ICN|PVG|JMU|
JMU|VVO,|VVO|ICN|PVG|JMU|
JMU|ACC,|ACC|IST|PVG|JMU|
JMU|AER,|AER|IST|PVG|JMU|
JMU|AGP,|AGP|IST|PVG|JMU|
JMU|ALG,|ALG|IST|PVG|JMU|
JMU|AMM,|AMM|IST|PVG|JMU|
JMU|AQJ,|AQJ|IST|PVG|JMU|
JMU|ARN,|ARN|IST|PVG|JMU|
JMU|ASR,|ASR|SAW|TBS|URC|PVG|JMU|
