SJU|GZP,|GZP|ESB|FRA|EWR|SJU|
SJU|GZT,|GZT|ESB|FRA|EWR|SJU|
SJU|HTY,|HTY|SAW|FRA|EWR|SJU|
SJU|KCM,|KCM|ESB|FRA|EWR|SJU|
SJU|KSY,|KSY|ESB|FRA|EWR|SJU|
SJU|MLX,|MLX|ESB|FRA|EWR|SJU|
SJU|MQM,|MQM|ESB|FRA|EWR|SJU|
SJU|MSR,|MSR|ESB|FRA|EWR|SJU|
SJU|TEQ,|TEQ|ESB|FRA|EWR|SJU|
SJU|TZX,|TZX|ESB|FRA|EWR|SJU|
SJU|VAN,|VAN|ESB|FRA|EWR|SJU|
SJU|ULN,|ULN|FRU|IST|BHX|EWR|SJU|
SJU|HIJ,|HIJ|ICN|JFK|IAD|SJU|
SJU|VVO,|VVO|ICN|JFK|IAD|SJU|
SJU|ACC,|ACC|IST|BHX|EWR|SJU|
SJU|AER,|AER|IST|BHX|EWR|SJU|
SJU|AGP,|AGP|IST|BHX|EWR|SJU|
SJU|ALG,|ALG|IST|BHX|EWR|SJU|
SJU|AMM,|AMM|IST|BHX|EWR|SJU|
SJU|AQJ,|AQJ|IST|BHX|EWR|SJU|
SJU|ARN,|ARN|EWR|SJU|
SJU|ASR,|ASR|SAW|FRA|EWR|SJU|
SJU|ATH,|ATH|IST|BHX|EWR|SJU|
SJU|BAH,|BAH|IST|BHX|EWR|SJU|
SJU|BEG,|BEG|IST|BHX|EWR|SJU|
SJU|BEN,|BEN|IST|BHX|EWR|SJU|
SJU|BEY,|BEY|IST|BHX|EWR|SJU|
SJU|BHX,|BHX|EWR|SJU|
SJU|BIO,|BIO|IST|BHX|EWR|SJU|
SJU|BLQ,|BLQ|IST|BHX|EWR|SJU|
SJU|BOM,|BOM|EWR|SJU|
SJU|BRE,|BRE|IST|BHX|EWR|SJU|
SJU|BSL,|BSL|IST|BHX|EWR|SJU|
SJU|BSR,|BSR|IST|BHX|EWR|SJU|
SJU|BUD,|BUD|IST|BHX|EWR|SJU|
SJU|BUS,|BUS|IST|BHX|EWR|SJU|
SJU|CAI,|CAI|IST|BHX|EWR|SJU|
SJU|CGN,|CGN|IST|BHX|EWR|SJU|
SJU|CMN,|CMN|IST|BHX|EWR|SJU|
SJU|CND,|CND|IST|BHX|EWR|SJU|
SJU|DAR,|DAR|NBO|ZRH|EWR|SJU|
SJU|DLM,|DLM|IST|BHX|EWR|SJU|
SJU|DMM,|DMM|IST|BHX|EWR|SJU|
SJU|DNK,|DNK|IST|BHX|EWR|SJU|
SJU|DNZ,|DNZ|IST|BHX|EWR|SJU|
SJU|DOK,|DOK|IST|BHX|EWR|SJU|
SJU|DUS,|DUS|EWR|SJU|
SJU|EDI,|EDI|EWR|SJU|
SJU|ELQ,|ELQ|IST|BHX|EWR|SJU|
SJU|FDH,|FDH|IST|BHX|EWR|SJU|
SJU|GOA,|GOA|IST|BHX|EWR|SJU|
SJU|GOT,|GOT|BRU|EWR|SJU|
SJU|HAJ,|HAJ|BRU|EWR|SJU|
SJU|HBE,|HBE|IST|BHX|EWR|SJU|
SJU|HEL,|HEL|IST|BHX|EWR|SJU|
SJU|HRG,|HRG|IST|BHX|EWR|SJU|
SJU|IFN,|IFN|IST|BHX|EWR|SJU|
SJU|ISE,|ISE|IST|BHX|EWR|SJU|
SJU|ISU,|ISU|IST|BHX|EWR|SJU|
SJU|JIB,|JIB|IST|BHX|EWR|SJU|
SJU|JRO,|JRO|IST|BHX|EWR|SJU|
SJU|KAN,|KAN|IST|BHX|EWR|SJU|
SJU|KBL,|KBL|IST|BHX|EWR|SJU|
SJU|KBP,|KBP|IST|BHX|EWR|SJU|
SJU|KFS,|KFS|IST|BHX|EWR|SJU|
SJU|KHI,|KHI|IST|BHX|EWR|SJU|
SJU|KIV,|KIV|IST|BHX|EWR|SJU|
SJU|KRT,|KRT|IST|BHX|EWR|SJU|
SJU|KSH,|KSH|IST|BHX|EWR|SJU|
SJU|KVD,|KVD|IST|BHX|EWR|SJU|
SJU|KWI,|KWI|SAW|FRA|EWR|SJU|
SJU|KYA,|KYA|IST|BHX|EWR|SJU|
SJU|KZN,|KZN|IST|BHX|EWR|SJU|
SJU|KZR,|KZR|IST|BHX|EWR|SJU|
SJU|LED,|LED|VIE|IAD|SJU|
SJU|LEJ,|LEJ|IST|BHX|EWR|SJU|
SJU|LGW,|LGW|IST|BHX|EWR|SJU|
SJU|LHE,|LHE|IST|BHX|EWR|SJU|
SJU|LIS,|LIS|EWR|SJU|
SJU|LJU,|LJU|IST|BHX|EWR|SJU|
SJU|LOS,|LOS|FRA|EWR|SJU|
SJU|LUX,|LUX|IST|BHX|EWR|SJU|
SJU|LWO,|LWO|IST|BHX|EWR|SJU|
SJU|LYS,|LYS|IST|BHX|EWR|SJU|
SJU|MAD,|MAD|EWR|SJU|
SJU|MAN,|MAN|EWR|SJU|
SJU|MED,|MED|IST|BHX|EWR|SJU|
SJU|MHD,|MHD|IST|BHX|EWR|SJU|
SJU|MLA,|MLA|IST|BHX|EWR|SJU|
SJU|MRS,|MRS|IST|BHX|EWR|SJU|
SJU|MSQ,|MSQ|IST|BHX|EWR|SJU|
SJU|MXP,|MXP|EWR|SJU|
SJU|MZH,|MZH|IST|BHX|EWR|SJU|
SJU|MZR,|MZR|IST|BHX|EWR|SJU|
SJU|NAJ,|NAJ|IST|BHX|EWR|SJU|
SJU|NAV,|NAV|IST|BHX|EWR|SJU|
SJU|NCE,|NCE|IST|BHX|EWR|SJU|
SJU|NIM,|NIM|IST|BHX|EWR|SJU|
SJU|NJF,|NJF|IST|BHX|EWR|SJU|
SJU|NSI,|NSI|BRU|EWR|SJU|
SJU|NUE,|NUE|IST|BHX|EWR|SJU|
SJU|ODS,|ODS|IST|BHX|EWR|SJU|
SJU|ORN,|ORN|IST|BHX|EWR|SJU|
SJU|OTP,|OTP|IST|BHX|EWR|SJU|
SJU|PRG,|PRG|BRU|EWR|SJU|
SJU|PRN,|PRN|IST|BHX|EWR|SJU|
SJU|RIX,|RIX|IST|BHX|EWR|SJU|
SJU|ROV,|ROV|IST|BHX|EWR|SJU|
SJU|RTM,|RTM|IST|BHX|EWR|SJU|
SJU|RUH,|RUH|IST|BHX|EWR|SJU|
SJU|SAH,|SAH|IST|BHX|EWR|SJU|
SJU|SJJ,|SJJ|IST|BHX|EWR|SJU|
SJU|SKG,|SKG|IST|BHX|EWR|SJU|
SJU|SKP,|SKP|IST|BHX|EWR|SJU|
SJU|SSH,|SSH|IST|BHX|EWR|SJU|
SJU|STR,|STR|EWR|SJU|
SJU|SVX,|SVX|IST|BHX|EWR|SJU|
SJU|SYZ,|SYZ|IST|BHX|EWR|SJU|
SJU|SZG,|SZG|IST|BHX|EWR|SJU|
SJU|TBZ,|TBZ|IST|BHX|EWR|SJU|
SJU|TGD,|TGD|IST|BHX|EWR|SJU|
SJU|TIA,|TIA|IST|BHX|EWR|SJU|
SJU|TIF,|TIF|IST|BHX|EWR|SJU|
SJU|TIP,|TIP|IST|BHX|EWR|SJU|
SJU|TLL,|TLL|VNO|CPH|AMS|EWR|SJU|
SJU|TLS,|TLS|IST|BHX|EWR|SJU|
SJU|TRN,|TRN|IST|BHX|EWR|SJU|
SJU|TUN,|TUN|IST|BHX|EWR|SJU|
SJU|TXL,|TXL|EWR|SJU|
SJU|UFA,|UFA|IST|BHX|EWR|SJU|
SJU|VAS,|VAS|SAW|FRA|EWR|SJU|
