SAV|RTM,|RTM|IST|BHX|EWR|SAV|
SAV|RUH,|RUH|IST|BHX|EWR|SAV|
SAV|SAH,|SAH|IST|BHX|EWR|SAV|
SAV|SJJ,|SJJ|IST|BHX|EWR|SAV|
SAV|SKG,|SKG|IST|BHX|EWR|SAV|
SAV|SKP,|SKP|IST|BHX|EWR|SAV|
SAV|SSH,|SSH|IST|BHX|EWR|SAV|
SAV|STR,|STR|EWR|SAV|
SAV|SVX,|SVX|IST|BHX|EWR|SAV|
SAV|SYZ,|SYZ|IST|BHX|EWR|SAV|
SAV|SZG,|SZG|IST|BHX|EWR|SAV|
SAV|TBZ,|TBZ|IST|BHX|EWR|SAV|
SAV|TGD,|TGD|IST|BHX|EWR|SAV|
SAV|TIA,|TIA|IST|BHX|EWR|SAV|
SAV|TIF,|TIF|IST|BHX|EWR|SAV|
SAV|TIP,|TIP|IST|BHX|EWR|SAV|
SAV|TLL,|TLL|VNO|CPH|AMS|EWR|SAV|
SAV|TLS,|TLS|IST|BHX|EWR|SAV|
SAV|TRN,|TRN|IST|BHX|EWR|SAV|
SAV|TUN,|TUN|IST|BHX|EWR|SAV|
