FUG|DLU,|DLU|KMG|CAN|FUG|
FUG|SYM,|SYM|KMG|CAN|FUG|
FUG|ZAT,|ZAT|KMG|CAN|FUG|
FUG|LUN,|LUN|NBO|CAN|FUG|
FUG|AOG,|AOG|PEK|CAN|FUG|
FUG|GMP,|GMP|PEK|CAN|FUG|
FUG|ISB,|ISB|URC|CAN|FUG|
FUG|TAS,|TAS|URC|CAN|FUG|
FUG|WUS,|WUS|PEK|CAN|FUG|
FUG|JMU,|JMU|PVG|CAN|FUG|
FUG|NDG,|NDG|PVG|CAN|FUG|
FUG|JXA,|JXA|SHE|CAN|FUG|
FUG|PUS,|PUS|SHE|CAN|FUG|
FUG|BKI,|BKI|SZX|MXZ|CAN|FUG|
FUG|AKU,|AKU|URC|CAN|FUG|
FUG|ALA,|ALA|URC|CAN|FUG|
FUG|ASB,|ASB|URC|CAN|FUG|
FUG|DNH,|DNH|XIY|CAN|FUG|
FUG|DYU,|DYU|URC|CAN|FUG|
FUG|FRU,|FRU|URC|CAN|FUG|
FUG|GYD,|GYD|URC|CAN|FUG|
FUG|HTN,|HTN|URC|CAN|FUG|
FUG|IKA,|IKA|URC|CAN|FUG|
FUG|KCA,|KCA|URC|CAN|FUG|
FUG|KHG,|KHG|URC|CAN|FUG|
FUG|KRL,|KRL|URC|CAN|FUG|
FUG|KRY,|KRY|URC|CAN|FUG|
FUG|LBD,|LBD|URC|CAN|FUG|
FUG|NLT,|NLT|URC|CAN|FUG|
FUG|OSS,|OSS|URC|CAN|FUG|
FUG|OVB,|OVB|URC|CAN|FUG|
FUG|TBS,|TBS|URC|CAN|FUG|
FUG|TCG,|TCG|URC|CAN|FUG|
FUG|TSE,|TSE|URC|CAN|FUG|
FUG|YIN,|YIN|URC|CAN|FUG|
FUG|ENH,|ENH|WUH|CAN|FUG|
FUG|ENY,|ENY|XIY|CAN|FUG|
FUG|WXN,|WXN|XMN|CAN|FUG|
FUG|BLL,|BLL|IST|CAN|FUG|
FUG|ESB,|ESB|IST|CAN|FUG|
FUG|SAW,|SAW|TBS|URC|CAN|FUG|
FUG|HAM,|HAM|IST|CAN|FUG|
FUG|HRE,|HRE|ADD|IST|CAN|FUG|
FUG|JUB,|JUB|CAI|IST|CAN|FUG|
FUG|SSG,|SSG|DLA|IST|CAN|FUG|
FUG|BGW,|BGW|IST|CAN|FUG|
FUG|EBL,|EBL|IST|CAN|FUG|
FUG|VKO,|VKO|IST|CAN|FUG|
FUG|MCT,|MCT|IST|CAN|FUG|
FUG|AYT,|AYT|IST|CAN|FUG|
FUG|SCQ,|SCQ|BIO|IST|CAN|FUG|
FUG|AAL,|AAL|IST|CAN|FUG|
FUG|AOE,|AOE|BRU|DEL|CAN|FUG|
FUG|JNB,|JNB|IST|CAN|FUG|
FUG|LBV,|LBV|DLA|IST|CAN|FUG|
FUG|ADA,|ADA|IST|CAN|FUG|
FUG|ADB,|ADB|IST|CAN|FUG|
FUG|ADF,|ADF|IST|CAN|FUG|
FUG|AJI,|AJI|IST|CAN|FUG|
FUG|BAL,|BAL|IST|CAN|FUG|
FUG|BJV,|BJV|IST|CAN|FUG|
FUG|CKZ,|CKZ|ESB|IST|CAN|FUG|
FUG|DIY,|DIY|IST|CAN|FUG|
FUG|ECN,|ECN|IST|CAN|FUG|
FUG|ERC,|ERC|IST|CAN|FUG|
FUG|ERZ,|ERZ|IST|CAN|FUG|
FUG|EZS,|EZS|IST|CAN|FUG|
FUG|GNY,|GNY|IST|CAN|FUG|
FUG|GZP,|GZP|ESB|IST|CAN|FUG|
FUG|GZT,|GZT|IST|CAN|FUG|
FUG|HTY,|HTY|IST|CAN|FUG|
FUG|KCM,|KCM|IST|CAN|FUG|
FUG|KSY,|KSY|IST|CAN|FUG|
FUG|MLX,|MLX|IST|CAN|FUG|
FUG|MQM,|MQM|IST|CAN|FUG|
FUG|MSR,|MSR|IST|CAN|FUG|
FUG|TEQ,|TEQ|ESB|IST|CAN|FUG|
FUG|TZX,|TZX|IST|CAN|FUG|
FUG|VAN,|VAN|IST|CAN|FUG|
FUG|ULN,|ULN|FRU|URC|CAN|FUG|
FUG|HIJ,|HIJ|ICN|CAN|FUG|
FUG|VVO,|VVO|ICN|CAN|FUG|
FUG|ACC,|ACC|IST|CAN|FUG|
FUG|AER,|AER|IST|CAN|FUG|
FUG|AGP,|AGP|IST|CAN|FUG|
FUG|ALG,|ALG|IST|CAN|FUG|
FUG|AMM,|AMM|IST|CAN|FUG|
FUG|AQJ,|AQJ|IST|CAN|FUG|
FUG|ARN,|ARN|IST|CAN|FUG|
FUG|ASR,|ASR|IST|CAN|FUG|
FUG|ATH,|ATH|IST|CAN|FUG|
FUG|BAH,|BAH|IST|CAN|FUG|
FUG|BEG,|BEG|IST|CAN|FUG|
FUG|BEN,|BEN|IST|CAN|FUG|
FUG|BEY,|BEY|IST|CAN|FUG|
FUG|BHX,|BHX|BRU|DEL|CAN|FUG|
FUG|BIO,|BIO|IST|CAN|FUG|
FUG|BLQ,|BLQ|IST|CAN|FUG|
FUG|BOM,|BOM|IST|CAN|FUG|
FUG|BRE,|BRE|IST|CAN|FUG|
FUG|BSL,|BSL|IST|CAN|FUG|
FUG|BSR,|BSR|IST|CAN|FUG|
FUG|BUD,|BUD|IST|CAN|FUG|
FUG|BUS,|BUS|IST|CAN|FUG|
FUG|CAI,|CAI|IST|CAN|FUG|
FUG|CGN,|CGN|IST|CAN|FUG|
FUG|CMN,|CMN|IST|CAN|FUG|
FUG|CND,|CND|IST|CAN|FUG|
FUG|DAR,|DAR|NBO|CAN|FUG|
FUG|DLM,|DLM|IST|CAN|FUG|
FUG|DMM,|DMM|IST|CAN|FUG|
FUG|DNK,|DNK|IST|CAN|FUG|
FUG|DNZ,|DNZ|IST|CAN|FUG|
FUG|DOK,|DOK|IST|CAN|FUG|
FUG|DUS,|DUS|IST|CAN|FUG|
FUG|EDI,|EDI|IST|CAN|FUG|
FUG|ELQ,|ELQ|IST|CAN|FUG|
FUG|FDH,|FDH|IST|CAN|FUG|
FUG|GOA,|GOA|IST|CAN|FUG|
FUG|GOT,|GOT|IST|CAN|FUG|
FUG|HAJ,|HAJ|IST|CAN|FUG|
FUG|HBE,|HBE|IST|CAN|FUG|
FUG|HEL,|HEL|IST|CAN|FUG|
FUG|HRG,|HRG|IST|CAN|FUG|
FUG|IFN,|IFN|IST|CAN|FUG|
FUG|ISE,|ISE|IST|CAN|FUG|
FUG|ISU,|ISU|IST|CAN|FUG|
FUG|JIB,|JIB|IST|CAN|FUG|
FUG|JRO,|JRO|IST|CAN|FUG|
FUG|KAN,|KAN|IST|CAN|FUG|
FUG|KBL,|KBL|IST|CAN|FUG|
FUG|KBP,|KBP|IST|CAN|FUG|
FUG|KFS,|KFS|IST|CAN|FUG|
FUG|KHI,|KHI|IST|CAN|FUG|
FUG|KIV,|KIV|IST|CAN|FUG|
FUG|KRT,|KRT|IST|CAN|FUG|
FUG|KSH,|KSH|IST|CAN|FUG|
FUG|KVD,|KVD|IST|CAN|FUG|
FUG|KWI,|KWI|IST|CAN|FUG|
FUG|KYA,|KYA|IST|CAN|FUG|
FUG|KZN,|KZN|IST|CAN|FUG|
FUG|KZR,|KZR|IST|CAN|FUG|
FUG|LED,|LED|IST|CAN|FUG|
FUG|LEJ,|LEJ|IST|CAN|FUG|
FUG|LGW,|LGW|IST|CAN|FUG|
FUG|LHE,|LHE|IST|CAN|FUG|
FUG|LIS,|LIS|IST|CAN|FUG|
FUG|LJU,|LJU|IST|CAN|FUG|
FUG|LOS,|LOS|IST|CAN|FUG|
FUG|LUX,|LUX|IST|CAN|FUG|
FUG|LWO,|LWO|IST|CAN|FUG|
FUG|LYS,|LYS|IST|CAN|FUG|
FUG|MAD,|MAD|IST|CAN|FUG|
FUG|MAN,|MAN|IST|CAN|FUG|
FUG|MED,|MED|IST|CAN|FUG|
FUG|MHD,|MHD|IST|CAN|FUG|
FUG|MLA,|MLA|IST|CAN|FUG|
FUG|MRS,|MRS|IST|CAN|FUG|
FUG|MSQ,|MSQ|IST|CAN|FUG|
FUG|MXP,|MXP|IST|CAN|FUG|
FUG|MZH,|MZH|IST|CAN|FUG|
FUG|MZR,|MZR|IST|CAN|FUG|
FUG|NAJ,|NAJ|IST|CAN|FUG|
FUG|NAV,|NAV|IST|CAN|FUG|
FUG|NCE,|NCE|IST|CAN|FUG|
FUG|NIM,|NIM|IST|CAN|FUG|
FUG|NJF,|NJF|IST|CAN|FUG|
FUG|NSI,|NSI|IST|CAN|FUG|
FUG|NUE,|NUE|IST|CAN|FUG|
FUG|ODS,|ODS|IST|CAN|FUG|
FUG|ORN,|ORN|IST|CAN|FUG|
FUG|OTP,|OTP|IST|CAN|FUG|
FUG|PRG,|PRG|IST|CAN|FUG|
FUG|PRN,|PRN|IST|CAN|FUG|
FUG|RIX,|RIX|IST|CAN|FUG|
FUG|ROV,|ROV|IST|CAN|FUG|
FUG|RTM,|RTM|IST|CAN|FUG|
FUG|RUH,|RUH|IST|CAN|FUG|
FUG|SAH,|SAH|IST|CAN|FUG|
FUG|SJJ,|SJJ|IST|CAN|FUG|
FUG|SKG,|SKG|IST|CAN|FUG|
FUG|SKP,|SKP|IST|CAN|FUG|
FUG|SSH,|SSH|IST|CAN|FUG|
FUG|STR,|STR|IST|CAN|FUG|
FUG|SVX,|SVX|IST|CAN|FUG|
FUG|SYZ,|SYZ|IST|CAN|FUG|
FUG|SZG,|SZG|IST|CAN|FUG|
FUG|TBZ,|TBZ|IST|CAN|FUG|
FUG|TGD,|TGD|IST|CAN|FUG|
FUG|TIA,|TIA|IST|CAN|FUG|
FUG|TIF,|TIF|IST|CAN|FUG|
FUG|TIP,|TIP|IST|CAN|FUG|
FUG|TLL,|TLL|IST|CAN|FUG|
FUG|TLS,|TLS|IST|CAN|FUG|
FUG|TRN,|TRN|IST|CAN|FUG|
FUG|TUN,|TUN|IST|CAN|FUG|
FUG|TXL,|TXL|IST|CAN|FUG|
FUG|UFA,|UFA|IST|CAN|FUG|
FUG|VAS,|VAS|IST|CAN|FUG|
FUG|VCE,|VCE|IST|CAN|FUG|
FUG|YNB,|YNB|IST|CAN|FUG|
FUG|ZAG,|ZAG|IST|CAN|FUG|
FUG|MGQ,|MGQ|JIB|IST|CAN|FUG|
FUG|CPT,|CPT|JNB|IST|CAN|FUG|
FUG|MBA,|MBA|JRO|IST|CAN|FUG|
FUG|NDJ,|NDJ|KAN|IST|CAN|FUG|
FUG|CMB,|CMB|MLE|CAN|FUG|
FUG|ADE,|ADE|SAH|IST|CAN|FUG|
FUG|ASF,|ASF|SAW|TBS|URC|CAN|FUG|
FUG|STW,|STW|SAW|TBS|URC|CAN|FUG|
FUG|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|FUG|
FUG|CEC,|CEC|SFO|PVG|CAN|FUG|
FUG|SMF,|SMF|SFO|PVG|CAN|FUG|
FUG|CDR,|CDR|AIA|DEN|YVR|CAN|FUG|
FUG|FMN,|FMN|DEN|YVR|CAN|FUG|
FUG|JST,|JST|IAD|PEK|CAN|FUG|
